Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,239.0,239.0,239.0,239.0
150,239.0,243.97,239.41,244.0986308875
300,239.0,245.53,239.8,245.65851204166665
450,239.0,248.56,240.3,248.7228443875
600,239.01,251.4,240.89,251.56002101666667
750,239.02,252.6,241.37,252.78290235
900,239.05,255.95,242.01,256.18184655
1050,239.11,259.06,242.78,259.27528478333335
1200,239.19,260.18,243.39,260.4014504666667
1350,239.3,262.9,244.07,263.18405308750005
1500,239.44,266.36,244.94,266.64242948333333
1650,239.61,268.32,245.73,268.61200335833337
1800,239.81,270.62,246.54,270.92751815
1950,240.05,272.96,247.38,273.277669275
2100,240.33,276.62,248.32,277.01126754166665
2250,240.64,278.67,249.31,278.9972510625
2400,240.98,280.46,250.17,280.8270012666667
2550,241.36,284.3,251.21,284.72265957083334
2700,241.77,286.06,252.21,286.4275865
2850,242.21,288.67,253.18,289.0901405625
3000,242.69,292.34,254.31,292.7952823333333
3150,243.2,294.63,255.43,295.071107675
3300,243.74,296.86,256.52,297.313356725
3450,244.32,298.76,257.59,299.20927735833334
3600,244.92,301.99,258.76,302.4892753
3750,245.56,304.44,259.94,304.93581615
3900,246.23,308.18,261.25,308.6986780666667
4050,246.93,309.93,262.46,310.4633026875
4200,247.66,313.34,263.78,313.8845940833333
4350,248.42,315.43,265.05,315.97782770833334
4500,249.21,317.96,266.34,318.525990625
4650,250.03,321.24,267.71,321.83144162083335
4800,250.89,324.41,269.16,325.00587203333333
4950,251.77,326.29,270.53,326.863682425
5100,252.68,327.6,271.8,328.1720343416667
5250,253.62,330.3,273.1,330.9052791
5400,254.57,333.98,274.55,334.6116961
5550,255.55,336.16,275.97,336.7539916125
5700,256.55,338.84,277.36,339.49663400833333
5850,257.57,341.92,278.87,342.5674007375
6000,258.61,344.82,280.38,345.4916357
6150,259.68,347.04,281.88,347.6973249416667
6300,260.77,349.36,283.36,350.0326537
6450,261.88,351.68,284.85,352.35232517500003
6600,263.02,353.36,286.31,354.01727346666667
6750,264.18,355.66,287.77,356.33928385
6900,265.36,358.54,289.32,359.243918925
7050,266.56,363.19,291.04,363.962780575
7200,267.79,363.65,292.58,364.3246749
7350,269.03,368.34,294.3,369.1194507041666
7500,270.29,371.14,296.03,371.90633334166665
7650,271.57,373.36,297.71,374.0894992875
7800,272.87,374.1,299.22,374.8702095666667
7950,274.16,378.84,300.96,379.5929863375
8100,275.48,380.14,302.55,380.862129225
8250,276.81,382.22,304.1,383.0157453125
8400,278.16,386.26,305.9,387.0162213666667
8550,279.52,387.47,307.5,388.23921305
8700,280.9,390.08,309.16,390.868558175
8850,282.3,393.27,310.9,394.0783747958333
9000,283.71,395.49,312.64,396.2614765
9150,285.14,397.74,314.31,398.56180527083336
9300,286.58,401.13,316.12,401.9626459166667
9450,288.04,404.59,317.98,405.4499424375
9600,289.52,406.05,319.77,406.8434625
9750,291.01,407.91,321.46,408.7371804041667
9900,292.52,411.11,323.27,411.968597675
10050,294.04,414.11,325.13,414.9708590208333
10200,295.59,415.84,326.93,416.675758
10350,297.13,420.44,328.85,421.3433617625
10500,298.66,421.62,330.63,422.4307221416667
10650,300.19,423.45,332.35,424.2829615
10800,301.75,426.85,334.18,427.7244161
10950,303.31,428.87,335.98,429.73672150416667
11100,304.89,433.03,337.93,433.9101909583333
11250,306.48,433.98,339.71,434.8611270875
11400,308.08,437.63,341.62,438.5293129
11550,309.7,440.02,343.52,440.90416081666666
11700,311.32,442.19,345.38,443.087300675
11850,312.97,444.96,347.28,445.8644209291666
12000,314.62,447.8,349.2,448.7314664
12150,316.29,450.47,351.18,451.3576347375
12300,317.97,451.97,353.01,452.885571425
12450,319.67,455.34,354.96,456.2901976958333
12600,321.38,458.59,357.0,459.5283022
12750,323.1,460.3,358.93,461.20669189166665
12900,324.83,462.89,360.86,463.8534702416667
13050,326.54,466.07,362.89,467.0227217
13200,328.23,468.21,364.84,469.1402214666667
13350,329.94,471.91,366.85,472.9110192833333
13500,331.65,474.84,368.92,475.80197965
13650,333.38,477.15,370.92,478.1096184375
13800,335.12,478.43,372.83,479.36275366666666
13950,336.87,482.41,374.86,483.42313015
14100,338.64,483.29,376.8,484.2172520166666
14250,340.42,487.9,378.88,488.9312837291667
14400,342.21,488.24,380.81,489.1669185
