Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
150,100.0,105.34,100.7,105.55555555555556
300,100.0,110.81,101.74,111.11111111111111
450,100.0,116.29,102.98,116.66666666666666
600,100.03,121.78,104.35,122.22222222222224
750,100.08,127.28,105.85,127.77777777777776
900,100.2,132.77,107.46,133.33333333333331
1050,100.38,138.28,109.16,138.88888888888889
1200,100.64,143.78,110.95,144.44444444444446
1350,100.99,149.29,112.8,150.0
1500,101.43,154.8,114.72,155.55555555555554
1650,101.96,160.3,116.73,161.11111111111111
1800,102.58,165.81,118.82,166.66666666666666
1950,103.3,171.32,120.99,172.22222222222223
2100,104.11,176.83,123.23,177.77777777777777
2250,105.01,182.35,125.54,183.3333333333333
2400,106.01,187.86,127.91,188.88888888888889
2550,107.09,193.39,130.31,194.44444444444449
2700,108.26,198.9,132.74,200.0
2850,109.5,204.42,135.24,205.55555555555551
3000,110.83,209.93,137.81,211.1111111111111
3150,112.23,215.45,140.45,216.66666666666663
3300,113.71,220.97,143.15,222.22222222222223
3450,115.27,226.49,145.91,227.77777777777777
3600,116.91,232.01,148.72,233.3333333333333
3750,118.62,237.56,151.56,238.88888888888889
3900,120.37,243.08,154.37,244.44444444444443
4050,122.18,248.59,157.26,250.0
4200,124.06,254.12,160.2,255.55555555555551
4350,126.01,259.64,163.2,261.1111111111111
4500,128.01,265.16,166.25,266.66666666666663
4650,130.08,270.69,169.35,272.2222222222222
4800,132.22,276.21,172.5,277.77777777777777
4950,134.41,281.74,175.7,283.3333333333333
5100,136.61,287.3,178.81,288.8888888888889
5250,138.86,292.82,181.98,294.44444444444446
5400,141.16,298.35,185.21,300.0
5550,143.51,303.87,188.48,305.55555555555554
5700,145.91,309.4,191.8,311.1111111111111
5850,148.37,314.93,195.16,316.66666666666663
6000,150.87,320.45,198.57,322.2222222222222
6150,153.44,325.98,202.01,327.77777777777777
6300,155.99,331.56,205.39,333.3333333333333
6450,158.56,337.08,208.78,338.8888888888889
6600,161.17,342.61,212.21,344.44444444444446
6750,163.83,348.14,215.69,350.0
6900,166.53,353.67,219.21,355.55555555555554
7050,169.27,359.2,222.77,361.1111111111111
7200,172.06,364.73,226.37,366.6666666666666
7350,174.89,370.27,230.0,372.22222222222223
7500,177.73,375.85,233.6,377.77777777777777
7650,180.54,381.38,237.14,383.3333333333333
7800,183.38,386.91,240.73,388.88888888888886
7950,186.27,392.44,244.37,394.4444444444444
8100,189.19,397.97,248.04,400.0
8250,192.15,403.51,251.74,405.55555555555554
8400,195.15,409.04,255.48,411.1111111111111
8550,198.19,414.58,259.25,416.6666666666666
8700,201.25,420.17,263.03,422.22222222222223
8850,204.24,425.7,266.69,427.77777777777777
9000,207.27,431.23,270.41,433.3333333333333
9150,210.33,436.77,274.16,438.88888888888886
9300,213.43,442.3,277.95,444.4444444444444
9450,216.56,447.84,281.77,450.0
9600,219.72,453.37,285.62,455.55555555555554
9750,222.92,458.91,289.5,461.1111111111111
9900,226.15,464.44,293.4,466.6666666666666
10050,229.33,470.02,297.29,472.22222222222223
10200,232.52,475.56,301.16,477.77777777777777
10350,235.74,481.09,305.05,483.3333333333333
10500,238.99,486.63,308.97,488.88888888888886
10650,242.27,492.17,312.91,494.4444444444444
10800,245.59,497.7,316.88,500.0
10950,248.93,497.89,320.25,500.0
11100,252.31,497.96,323.36,500.0
11250,255.72,498.01,326.31,500.0
11400,259.16,498.05,329.17,500.0
11550,262.62,498.09,331.94,500.0
11700,266.09,498.13,334.64,500.0
11850,269.51,498.17,337.29,500.0
12000,272.79,498.22,339.86,500.0
12150,276.04,498.25,342.34,500.0
12300,279.26,498.29,344.75,500.0
12450,282.46,498.32,347.1,500.0
12600,285.63,498.34,349.42,500.0
12750,288.77,498.37,351.69,500.0
12900,291.87,498.4,353.92,500.0
13050,294.94,498.42,356.11,500.0
13200,297.97,498.44,358.27,500.0
13350,300.96,498.47,360.4,500.0
13500,303.92,498.49,362.49,500.0
13650,306.83,498.51,364.55,500.0
13800,309.7,498.54,366.57,500.0
13950,312.54,498.56,368.57,500.0
14100,315.3,498.58,370.54,500.0
14250,317.9,498.61,372.47,500.0
14400,320.47,498.63,374.35,500.0
