Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,261.967472186802,261.967472186802,261.967472186802,261.967472186802
150,261.97,266.35,262.35,266.523078799254
300,261.97,265.84,262.61,265.83337338168803
450,261.97,265.78,262.59,265.944828045366
600,261.98,272.59,263.32,272.90391490155
750,261.99,268.92,263.46,268.91626065787955
900,262.01,269.36,263.54,269.4917092214535
1050,262.04,273.86,264.05,274.1801849008492
1200,262.09,282.06,265.17,282.531612004644
1350,262.16,287.16,266.33,287.622401972787
1500,262.23,286.87,267.15,287.11225968573
1650,262.34,288.06,267.66,288.53476880546924
1800,262.48,298.73,269.19,299.423512994001
1950,262.66,302.43,270.58,302.9907170601668
2100,262.88,304.6,271.76,305.1145555151785
2250,263.14,305.72,272.77,306.1933452049407
2400,263.46,306.18,273.62,306.625402975358
2550,263.83,314.12,275.01,314.83130623566274
2700,264.26,314.67,276.23,315.1174470242135
2850,264.73,315.92,277.05,316.62521191379176
3000,265.24,327.56,278.96,328.495987477179
3150,265.8,322.67,279.95,323.1127668689955
3300,266.4,327.48,281.07,328.2868601965535
3450,267.04,334.82,282.91,335.576287173082
3600,267.72,335.84,284.29,336.53906751181
3750,268.44,332.8,285.18,333.3146588972328
3900,269.2,335.82,286.22,336.5676717884105
4050,270.01,342.21,287.81,343.057635738046
4200,270.84,348.62,289.63,349.544080298842
4350,271.71,351.78,291.32,352.6240877301865
4500,272.6,355.47,292.94,356.346344588256
4650,273.52,357.86,294.54,358.64893162226724
4800,274.48,356.76,295.75,357.469929581437
4950,275.47,359.68,297.12,360.50838465025225
5100,276.5,361.47,298.52,362.2640502378665
5250,277.56,362.49,299.81,363.2560838744082
5400,278.65,363.25,301.05,364.003643090006
5550,279.77,370.77,302.8,371.785239869996
5700,280.91,379.17,304.96,380.312609542689
5850,282.06,383.98,307.19,384.9300802041535
6000,283.23,380.2,308.52,380.981979950458
6150,284.43,383.89,310.1,384.8638013716848
6300,285.66,386.19,311.75,387.124001794679
6450,286.93,388.72,313.36,389.7232316843268
6600,288.23,393.55,315.23,394.622141505514
6750,289.55,395.11,316.96,396.0904509214532
6900,290.9,397.44,318.62,398.4191158253145
7050,292.24,401.14,320.34,402.21449159216974
7200,293.59,406.94,322.36,408.082933597091
7350,294.97,408.39,324.17,409.426944151826
7500,296.37,402.91,325.38,403.583373381688
7650,297.78,396.85,325.93,397.5698280453663
7800,299.22,397.63,326.92,398.40391490155
7950,300.68,387.91,327.17,388.29126065787926
8100,302.14,382.31,327.2,382.7417092214535
8250,303.59,380.77,327.49,381.3051849008495
8400,305.02,382.92,328.22,383.531612004644
8550,306.42,381.97,328.88,382.4974019727868
8700,307.77,375.61,329.12,375.86225968573
8850,309.06,370.74,328.96,371.1597688054695
9000,310.31,375.35,329.66,375.923512994001
9150,311.5,372.98,330.14,373.3657170601672
9300,312.65,369.09,330.34,369.3645555151785
9450,313.74,364.14,330.29,364.3183452049402
9600,314.78,358.53,330.01,358.625402975358
9750,315.78,360.39,330.19,360.7063062356633
9900,316.73,354.87,330.13,354.867447024214
10050,317.61,350.05,329.6,350.250211913792
10200,318.44,355.61,330.06,355.995987477179
10350,319.22,344.65,329.54,344.4877668689952
10500,319.94,343.38,329.08,343.536860196553
10650,320.62,344.65,329.24,344.7012871730815
10800,321.25,339.6,328.88,339.53906751181
10950,321.83,330.48,327.98,330.1896588972325
11100,322.36,327.43,327.16,327.31767178841
11250,322.84,327.73,326.8,327.6826357380455
11400,323.27,328.07,326.6,328.044080298842
11550,323.65,325.13,326.22,324.99908773018626
11700,323.97,322.73,325.76,322.596344588256
11850,324.24,319.05,325.21,318.77393162226747
12000,324.47,311.87,324.21,311.469929581437
12150,324.65,308.71,323.3,308.3833846502528
12300,324.78,304.42,322.33,304.0140502378665
12450,324.88,299.35,321.21,298.8810838744077
12600,324.93,294.03,319.96,293.503643090006
12750,324.92,295.47,319.2,295.16023986999573
12900,324.87,297.77,318.77,297.5626095426885
13050,324.76,296.51,318.36,296.055080204153
13200,324.59,286.64,316.99,285.981979950458
13350,324.37,284.24,315.83,283.73880137168453
13500,324.11,280.45,314.68,279.874001794679
13650,323.82,276.89,313.44,276.348231684327
13800,323.48,275.64,312.41,275.122141505514
13950,323.11,271.1,311.18,270.465450921453
14100,322.69,267.31,309.87,266.6691158253145
14250,322.23,264.93,308.62,264.33949159217
14400,321.72,264.63,307.61,264.082933597091
