Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
150,246.08,253.95,246.76,254.26966109166568
300,246.08,256.89,247.51,257.07503815359144
450,246.08,260.38,248.11,260.7928163686786
600,246.09,271.11,249.59,271.72434664073626
750,246.12,276.61,251.03,277.15923451997253
900,246.17,280.97,252.39,281.5110769435537
1050,246.27,285.92,253.76,286.57167154438923
1200,246.42,293.4,255.44,294.1328159553886
1350,246.64,300.73,257.28,301.5471406886551
1500,246.92,310.42,259.43,311.42102140626434
1650,247.28,319.51,261.88,320.502313924531
1800,247.71,324.56,264.05,325.5388740597696
1950,248.23,324.8,265.74,325.6098881047075
2100,248.84,333.02,267.76,334.1850365261752
2250,249.55,342.58,270.35,343.6650873119707
2400,250.35,345.41,272.45,346.45080844989207
2550,251.23,350.41,274.6,351.5181198026884
2700,252.2,356.94,276.9,358.15168803063625
2850,253.24,363.49,279.38,364.7196313265891
3000,254.37,368.35,281.77,369.5900678834002
3150,255.57,374.65,284.28,375.96130044852544
3300,256.84,382.47,286.95,383.8655532595689
3450,258.17,390.26,289.76,391.6890636565782
3600,259.57,396.36,292.53,397.8180689796007
3750,261.04,396.57,294.84,397.8303058650444
3900,262.58,395.92,296.82,397.0886895470374
4050,264.19,394.34,298.53,395.4035022390693
4200,265.86,391.6,299.96,392.5850261546297
4350,267.59,394.34,301.65,395.4721145156505
4500,269.36,396.24,303.44,397.3474739404933
4650,271.16,396.66,305.13,397.68979981890266
4800,272.97,395.01,306.55,395.9777875406233
4950,274.79,395.78,308.03,396.7964864000325
5100,276.6,395.79,309.49,396.7615781433008
5250,278.41,395.02,310.84,395.9386072376816
5400,280.21,393.52,312.05,394.3931181504277
5550,281.99,394.36,313.36,395.2890867382517
5700,283.76,393.65,314.61,394.50658866333777
5850,285.5,393.36,315.78,394.26327361024056
6000,287.22,395.83,317.2,396.776791263515
6150,288.92,392.96,318.3,393.7235926554248
6300,290.59,391.98,319.31,392.78405943486257
6450,292.23,392.19,320.42,392.99194496553525
6600,293.84,392.58,321.57,393.38100261114994
6750,295.43,389.52,322.44,390.17882440979497
6900,296.99,392.59,323.56,393.4940961308199
7050,298.52,396.49,325.14,397.32016570895047
7200,300.02,394.9,326.28,395.6503810789121
7350,301.47,387.32,326.76,387.7802027909733
7500,302.84,382.64,327.01,383.1153702209253
7650,304.19,377.19,327.2,377.44968960071577
7800,305.52,366.51,326.69,366.5769671622924
7950,306.83,362.56,326.35,362.7408781214447
8100,308.09,357.08,325.99,357.15631051230696
8250,309.31,351.02,325.43,351.0474328071715
8400,310.46,345.66,324.84,345.63841347833085
8550,311.53,339.48,324.11,339.3788912645388
8700,312.53,332.17,323.18,331.9479786793128
8850,313.44,325.18,322.07,324.93765447591505
9000,314.27,320.21,321.06,319.93989740760736
9150,315.01,313.85,319.93,313.48765582308823
9300,315.66,308.34,318.75,307.9628282683196
9450,316.21,303.16,317.57,302.73819376581275
9600,316.67,297.66,316.29,297.1865313380789
9750,317.03,291.51,314.88,290.9605427809413
9900,317.31,283.44,313.24,282.7456204756256
10050,317.49,275.69,311.38,274.99320031258213
10200,317.58,270.86,309.7,270.15471818226086
10350,317.57,262.82,307.79,261.9675039801421
10500,317.48,256.04,305.78,255.17238221489785
10650,317.29,250.46,303.76,249.5763242237182
10800,317.0,245.88,301.85,244.9863013437933
10950,316.62,247.95,300.53,247.29552079837543
11100,316.14,246.51,299.3,245.76296439453108
11250,315.56,244.7,297.94,244.0311905357495
11400,314.9,246.33,296.97,245.7427576255201
11550,314.17,245.48,295.97,244.84731280297316
11700,313.37,246.43,295.09,245.8917717365432
11850,312.53,246.74,294.33,246.1315020606956
12000,311.65,243.5,293.23,242.82187140989552
12150,310.75,245.03,292.4,244.5043040487213
12300,309.83,246.09,291.71,245.5850844852772
12450,308.91,246.87,291.06,246.3790956406088
12600,307.97,247.67,290.45,247.2012204357617
12750,307.04,248.32,289.87,247.8666229521964
12900,306.11,247.16,289.17,246.63014302867936
13050,305.19,244.95,288.28,244.38310154444437
13200,304.28,242.61,287.3,242.0168193787248
13350,303.38,243.62,286.54,243.1407520887914
13500,302.5,243.7,285.85,243.19611642942016
13650,301.62,244.95,285.2,244.58285601202104
13800,300.75,249.95,285.05,249.70091444800408
13950,299.89,245.79,284.35,245.2518257898007
14100,299.03,245.54,283.6,245.1324749022371
14250,298.19,246.46,283.11,246.02590592026183
14400,297.36,245.08,282.43,244.61516297882343
