Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,420.0,420.0,420.0,420.0
150,420.0,424.16,420.66,424.1666666666667
300,420.0,428.33,421.51,428.3333333333333
450,420.0,432.49,422.48,432.5
600,420.0,436.66,423.54,436.6666666666667
750,420.01,440.82,424.68,440.8333333333333
900,420.03,444.99,425.88,445.0
1050,420.06,449.16,427.15,449.1666666666667
1200,420.12,453.32,428.47,453.3333333333333
1350,420.21,457.49,429.84,457.5
1500,420.33,461.65,431.26,461.6666666666667
1650,420.5,465.82,432.73,465.8333333333333
1800,420.7,469.98,434.23,470.0
1950,420.94,469.99,435.13,470.0
2100,421.23,469.99,435.87,470.0
2250,421.57,469.99,436.53,470.0
2400,421.95,469.99,437.14,470.0
2550,422.38,469.99,437.7,470.0
2700,422.84,469.99,438.24,470.0
2850,423.33,469.99,438.75,470.0
3000,423.85,469.99,439.23,470.0
3150,424.39,469.99,439.71,470.0
3300,424.94,469.99,440.16,470.0
3450,425.5,469.99,440.6,470.0
3600,426.06,469.99,441.03,470.0
3750,426.63,469.99,441.45,470.0
3900,427.2,469.99,441.86,470.0
4050,427.77,469.99,442.27,470.0
4200,428.34,469.99,442.66,470.0
4350,428.9,469.99,443.05,470.0
4500,429.46,469.99,443.43,470.0
4650,430.01,469.99,443.81,470.0
4800,430.56,469.99,444.17,470.0
4950,431.1,469.99,444.54,470.0
5100,431.64,469.99,444.89,470.0
5250,432.17,469.99,445.25,470.0
5400,432.69,469.99,445.59,470.0
5550,433.21,469.99,445.93,470.0
5700,433.72,469.99,446.27,470.0
5850,434.22,469.99,446.6,470.0
6000,434.72,469.99,446.93,470.0
6150,435.21,469.99,447.25,470.0
6300,435.7,469.99,447.57,470.0
6450,436.17,469.99,447.88,470.0
6600,436.64,469.99,448.19,470.0
6750,437.11,469.99,448.49,470.0
6900,437.57,469.99,448.79,470.0
7050,438.02,469.99,449.09,470.0
7200,438.46,469.99,449.38,470.0
7350,438.9,465.83,449.01,465.8333333333333
7500,439.34,461.67,448.44,461.6666666666667
7650,439.76,457.5,447.75,457.5
7800,440.18,453.34,446.97,453.3333333333333
7950,440.59,449.17,446.1,449.1666666666667
8100,440.98,445.0,445.16,445.0
8250,441.35,440.84,444.16,440.8333333333333
8400,441.69,436.67,443.1,436.6666666666667
8550,441.99,432.51,441.99,432.5
8700,442.26,428.34,440.82,428.3333333333333
8850,442.48,424.18,439.6,424.1666666666667
9000,442.65,420.01,438.34,420.0
9150,442.78,420.01,437.69,420.0
9300,442.85,420.01,437.19,420.0
9450,442.88,420.01,436.76,420.0
9600,442.85,420.01,436.39,420.0
9750,442.78,420.01,436.05,420.0
9900,442.66,420.01,435.75,420.0
10050,442.51,420.0,435.46,420.0
10200,442.33,420.0,435.19,420.0
10350,442.12,420.0,434.94,420.0
10500,441.9,420.0,434.7,420.0
10650,441.66,420.0,434.46,420.0
10800,441.42,420.0,434.24,420.0
10950,441.16,420.0,434.03,420.0
11100,440.9,420.0,433.82,420.0
11250,440.64,420.0,433.62,420.0
11400,440.37,420.0,433.42,420.0
11550,440.11,420.0,433.22,420.0
11700,439.84,420.0,433.03,420.0
11850,439.58,420.0,432.85,420.0
12000,439.31,420.0,432.67,420.0
12150,439.05,420.0,432.49,420.0
12300,438.79,420.0,432.31,420.0
12450,438.53,420.0,432.14,420.0
12600,438.28,420.0,431.97,420.0
12750,438.03,420.0,431.8,420.0
12900,437.78,420.0,431.63,420.0
13050,437.53,420.0,431.47,420.0
13200,437.29,420.0,431.31,420.0
13350,437.05,420.0,431.15,420.0
13500,436.81,420.0,431.0,420.0
13650,436.58,420.0,430.84,420.0
13800,436.35,420.0,430.69,420.0
13950,436.12,420.0,430.54,420.0
14100,435.9,420.0,430.4,420.0
14250,435.67,420.0,430.25,420.0
14400,435.46,420.0,430.11,420.0
