Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
150,200.0,201.82,200.3,201.82291666666663
300,200.0,203.65,200.7,203.64583333333331
450,200.0,205.47,201.15,205.46875
600,200.0,207.29,201.65,207.29166666666663
750,200.01,209.11,202.18,209.11458333333331
900,200.04,210.94,202.75,210.9375
1050,200.07,212.76,203.35,212.76041666666663
1200,200.13,214.58,203.97,214.58333333333331
1350,200.21,216.41,204.62,216.40625
1500,200.31,218.23,205.3,218.22916666666663
1650,200.44,220.05,205.99,220.05208333333331
1800,200.59,221.88,206.71,221.875
1950,200.77,223.7,207.45,223.69791666666663
2100,200.98,225.52,208.21,225.52083333333331
2250,201.21,227.34,208.98,227.34375
2400,201.47,229.17,209.78,229.16666666666663
2550,201.76,230.99,210.6,230.98958333333331
2700,202.08,232.81,211.43,232.8125
2850,202.42,234.64,212.29,234.63541666666663
3000,202.78,236.46,213.16,236.45833333333331
3150,203.18,238.28,214.04,238.28125
3300,203.6,240.1,214.95,240.10416666666663
3450,204.04,241.93,215.87,241.92708333333331
3600,204.51,243.75,216.8,243.75
3750,205.0,245.57,217.75,245.57291666666663
3900,205.51,247.4,218.69,247.39583333333331
4050,206.04,249.22,219.65,249.21875
4200,206.6,251.04,220.63,251.04166666666663
4350,207.17,252.86,221.63,252.86458333333331
4500,207.77,254.69,222.64,254.6875
4650,208.38,256.51,223.66,256.5104166666667
4800,209.02,258.33,224.7,258.3333333333333
4950,209.67,260.16,225.76,260.15625
5100,210.35,261.98,226.82,261.9791666666667
5250,211.04,263.8,227.9,263.8020833333333
5400,211.76,265.63,229.0,265.625
5550,212.49,267.45,230.11,267.4479166666667
5700,213.24,269.27,231.23,269.2708333333333
5850,214.01,271.09,232.36,271.09375
6000,214.8,272.92,233.5,272.9166666666667
6150,215.6,274.74,234.66,274.7395833333333
6300,216.43,276.56,235.83,276.5625
6450,217.27,278.39,237.0,278.3854166666667
6600,218.13,280.21,238.19,280.2083333333333
6750,219.0,282.03,239.4,282.03125
6900,219.89,283.85,240.61,283.8541666666667
7050,220.8,285.68,241.83,285.6770833333333
7200,221.73,287.5,243.06,287.5
7350,222.67,289.32,244.31,289.3229166666667
7500,223.62,291.15,245.55,291.1458333333333
7650,224.56,292.97,246.77,292.96875
7800,225.52,294.79,248.0,294.7916666666667
7950,226.5,296.61,249.25,296.6145833333333
8100,227.48,298.44,250.51,298.4375
8250,228.48,300.26,251.78,300.2604166666667
8400,229.48,302.08,253.06,302.0833333333333
8550,230.51,303.91,254.35,303.90625
8700,231.54,305.73,255.65,305.7291666666667
8850,232.58,307.55,256.96,307.5520833333333
9000,233.64,309.38,258.28,309.375
9150,234.71,311.2,259.61,311.1979166666667
9300,235.8,313.02,260.94,313.0208333333333
9450,236.89,314.84,262.29,314.84375
9600,238.0,316.67,263.64,316.6666666666667
9750,239.12,318.49,265.0,318.4895833333333
9900,240.25,320.31,266.37,320.3125
10050,241.39,322.14,267.74,322.1354166666667
10200,242.54,323.96,269.12,323.9583333333333
10350,243.71,325.78,270.51,325.78125
10500,244.89,327.6,271.91,327.6041666666667
10650,246.07,329.43,273.32,329.42708333333337
10800,247.27,331.25,274.73,331.25
10950,248.48,333.07,276.15,333.07291666666663
11100,249.7,334.9,277.57,334.89583333333337
11250,250.91,336.72,278.98,336.71875
11400,252.11,338.54,280.36,338.54166666666663
11550,253.31,340.36,281.76,340.36458333333337
11700,254.52,342.19,283.17,342.1875
11850,255.74,344.01,284.58,344.01041666666663
12000,256.97,345.83,286.0,345.83333333333337
12150,258.21,347.66,287.43,347.65625
12300,259.45,349.48,288.87,349.47916666666663
12450,260.7,351.3,290.31,351.30208333333337
12600,261.96,353.13,291.76,353.125
12750,263.23,354.95,293.21,354.94791666666663
12900,264.51,356.77,294.68,356.77083333333337
13050,265.8,358.59,296.14,358.59375
13200,267.09,360.42,297.62,360.4166666666666
13350,268.39,362.24,299.1,362.23958333333337
13500,269.7,364.06,300.58,364.0625
13650,271.02,365.89,302.07,365.8854166666666
13800,272.35,367.71,303.57,367.70833333333337
13950,273.68,369.53,305.07,369.53125
14100,275.02,371.35,306.58,371.3541666666666
14250,276.38,373.18,308.09,373.17708333333337
14400,277.73,375.0,309.61,375.0
