Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
150,350.0,356.0,351.03,356.1722222222222
300,350.0,358.97,351.76,359.17555555555555
450,350.0,361.94,352.54,362.1788888888889
600,350.01,364.05,353.25,364.27
750,350.02,365.68,353.87,365.905
900,350.05,367.3,354.49,367.54
1050,350.1,368.81,355.1,369.049
1200,350.17,370.07,355.67,370.306
1350,350.27,371.32,356.23,371.563
1500,350.39,372.57,356.8,372.82
1650,350.53,373.63,357.34,373.879
1800,350.7,374.68,357.88,374.938
1950,350.9,375.74,358.42,375.997
2100,351.11,376.68,358.95,376.943
2250,351.34,377.57,359.46,377.8325
2400,351.59,378.46,359.98,378.722
2550,351.85,379.34,360.49,379.6115
2700,352.13,380.23,361.01,380.501
2850,352.43,381.11,361.53,381.3905
3000,352.73,382.0,362.06,382.28
3150,353.05,382.75,362.57,383.0285
3300,353.38,383.49,363.07,383.777
3450,353.72,384.24,363.58,384.5255
3600,354.07,384.99,364.08,385.274
3750,354.43,385.73,364.59,386.0225
3900,354.8,386.48,365.1,386.771
4050,355.18,387.2,365.61,387.49
4200,355.56,387.86,366.11,388.15
4350,355.95,388.52,366.61,388.81
4500,356.34,389.17,367.11,389.47
4650,356.74,389.83,367.61,390.13
4800,357.15,390.49,368.11,390.79
4950,357.56,391.15,368.62,391.45
5100,357.98,391.77,369.12,392.067
5250,358.4,392.36,369.61,392.6625
5400,358.83,392.96,370.11,393.258
5550,359.26,393.55,370.6,393.8535
5700,359.69,394.15,371.1,394.449
5850,360.13,394.74,371.6,395.0445
6000,360.57,395.34,372.09,395.64
6150,361.01,395.89,372.56,396.189
6300,361.44,396.44,373.04,396.738
6450,361.89,396.99,373.51,397.287
6600,362.33,397.54,373.99,397.836
6750,362.77,398.08,374.47,398.385
6900,363.22,398.63,374.95,398.934
7050,363.67,399.17,375.43,399.475
7200,364.12,399.7,375.91,400.0
7350,364.57,397.74,376.0,397.945
7500,365.02,395.93,375.98,396.106
7650,365.47,394.22,375.93,394.375
7800,365.92,392.52,375.83,392.644
7950,366.37,390.81,375.69,390.913
8100,366.82,389.1,375.51,389.182
8250,367.25,387.38,375.31,387.451
8400,367.67,385.67,375.07,385.72
8550,368.08,383.95,374.8,383.9785
8700,368.46,382.23,374.51,382.237
8850,368.82,380.5,374.19,380.4955
9000,369.16,378.78,373.85,378.754
9150,369.48,377.05,373.49,377.0125000000001
9300,369.77,375.33,373.11,375.271
9450,370.04,373.74,372.72,373.676
9600,370.28,372.44,372.38,372.374
9750,370.5,371.15,372.02,371.072
9900,370.68,369.86,371.67,369.77
10050,370.85,368.57,371.3,368.468
10200,370.98,367.27,370.92,367.166
10350,371.1,365.98,370.53,365.864
10500,371.19,364.87,370.15,364.755
10650,371.26,363.87,369.8,363.7425
10800,371.3,362.86,369.43,362.73
10950,371.33,361.85,369.07,361.7175
11100,371.33,360.85,368.7,360.705
11250,371.32,359.84,368.32,359.6925
11400,371.28,358.84,367.93,358.68
11550,371.23,358.11,367.58,357.957
11700,371.17,357.39,367.24,357.234
11850,371.08,356.67,366.9,356.511
12000,370.99,355.95,366.55,355.788
12150,370.88,355.23,366.21,355.065
12300,370.75,354.51,365.86,354.342
12450,370.62,353.86,365.51,353.69100000000003
12600,370.47,353.35,365.19,353.184
12750,370.31,352.85,364.88,352.677
12900,370.14,352.34,364.56,352.17
13050,369.97,351.98,364.27,351.81
13200,369.78,351.62,363.98,351.45000000000005
13350,369.59,351.26,363.7,351.09000000000003
13500,369.39,350.99,363.43,350.824
13650,369.18,350.77,363.18,350.605
13800,368.97,350.55,362.93,350.386
13950,368.75,350.37,362.69,350.21333333333337
14100,368.53,350.28,362.48,350.1333333333333
14250,368.3,350.2,362.26,350.05333333333334
14400,368.07,350.14,362.06,350.0
