Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,250.0,250.0,250.0,250.0
10.0,250.0,250.07,250.01,250.06944444444446
20.0,250.0,250.14,250.02,250.13888888888889
30.0,250.0,250.21,250.03,250.20833333333334
40.0,250.0,250.28,250.04,250.27777777777777
50.0,250.0,250.35,250.05,250.34722222222223
60.0,250.0,250.42,250.06,250.41666666666666
70.0,250.0,250.49,250.07,250.48611111111111
80.0,250.0,250.56,250.08,250.55555555555554
90.0,250.0,250.63,250.09,250.625
100.0,250.0,250.69,250.11,250.69444444444446
110.0,250.0,250.76,250.12,250.76388888888889
120.0,250.0,250.83,250.13,250.83333333333334
130.0,250.0,250.9,250.14,250.90277777777777
140.0,250.0,250.97,250.16,250.97222222222223
150.0,250.0,251.04,250.17,251.04166666666666
160.0,250.0,251.11,250.18,251.11111111111111
170.0,250.0,251.18,250.2,251.18055555555554
180.0,250.0,251.25,250.21,251.25
190.0,250.0,251.32,250.23,251.31944444444446
200.0,250.0,251.39,250.24,251.38888888888889
210.0,250.0,251.46,250.26,251.45833333333334
220.0,250.0,251.53,250.27,251.52777777777777
230.0,250.0,251.6,250.28,251.59722222222223
240.0,250.0,251.67,250.3,251.66666666666666
250.0,250.0,251.74,250.32,251.73611111111111
260.0,250.0,251.81,250.33,251.80555555555554
270.0,250.0,251.88,250.35,251.875
280.0,250.0,251.94,250.36,251.94444444444446
290.0,250.0,252.01,250.38,252.01388888888889
300.0,250.0,252.08,250.39,252.08333333333334
310.0,250.0,252.15,250.41,252.15277777777777
320.0,250.0,252.22,250.43,252.22222222222223
330.0,250.0,252.29,250.44,252.29166666666666
340.0,250.0,252.36,250.46,252.36111111111111
350.0,250.0,252.43,250.48,252.43055555555554
360.0,250.0,252.5,250.49,252.5
370.0,250.0,252.57,250.51,252.56944444444446
380.0,250.0,252.64,250.53,252.63888888888889
390.0,250.0,252.71,250.54,252.70833333333334
400.0,250.0,252.78,250.56,252.77777777777777
410.0,250.0,252.85,250.58,252.84722222222223
420.0,250.0,252.92,250.59,252.91666666666666
430.0,250.0,252.99,250.61,252.98611111111111
440.0,250.0,253.06,250.63,253.05555555555554
450.0,250.0,253.13,250.65,253.125
460.0,250.0,253.19,250.67,253.19444444444446
470.0,250.0,253.26,250.68,253.26388888888889
480.0,250.0,253.33,250.7,253.33333333333334
490.0,250.0,253.4,250.72,253.40277777777777
500.0,250.0,253.47,250.74,253.47222222222223
510.0,250.0,253.54,250.76,253.54166666666666
520.0,250.0,253.61,250.78,253.61111111111111
530.0,250.0,253.68,250.79,253.68055555555554
540.0,250.0,253.75,250.81,253.75
550.0,250.0,253.82,250.83,253.81944444444446
560.0,250.0,253.89,250.85,253.88888888888889
570.0,250.0,253.96,250.87,253.95833333333334
580.0,250.0,254.03,250.89,254.02777777777777
590.0,250.0,254.1,250.91,254.09722222222223
600.0,250.0,254.17,250.93,254.16666666666666
610.0,250.0,254.24,250.95,254.23611111111111
620.0,250.0,254.31,250.97,254.30555555555554
630.0,250.0,254.38,250.99,254.375
640.0,250.0,254.44,251.01,254.44444444444446
650.0,250.0,254.51,251.03,254.51388888888889
660.0,250.0,254.58,251.05,254.58333333333334
670.0,250.0,254.65,251.07,254.65277777777777
680.0,250.0,254.72,251.09,254.72222222222223
690.0,250.0,254.79,251.11,254.79166666666666
700.0,250.0,254.86,251.13,254.86111111111111
710.0,250.0,254.93,251.15,254.93055555555554
720.0,250.0,255.0,251.17,255.0
730.0,250.01,255.07,251.19,255.06944444444446
740.0,250.01,255.14,251.21,255.13888888888889
750.0,250.01,255.21,251.23,255.20833333333334
760.0,250.01,255.28,251.25,255.27777777777777
770.0,250.01,255.35,251.27,255.34722222222223
780.0,250.01,255.42,251.29,255.41666666666666
790.0,250.01,255.49,251.31,255.48611111111111
800.0,250.01,255.56,251.33,255.55555555555554
810.0,250.01,255.63,251.35,255.625
820.0,250.01,255.69,251.37,255.69444444444446
830.0,250.01,255.76,251.4,255.76388888888889
840.0,250.01,255.83,251.42,255.83333333333334
850.0,250.01,255.9,251.44,255.90277777777777
860.0,250.01,255.97,251.46,255.97222222222223
870.0,250.01,256.04,251.48,256.0416666666667
880.0,250.01,256.11,251.5,256.1111111111111
890.0,250.02,256.18,251.52,256.18055555555554
900.0,250.02,256.25,251.55,256.25
910.0,250.02,256.32,251.57,256.31944444444446
920.0,250.02,256.39,251.59,256.3888888888889
930.0,250.02,256.46,251.61,256.4583333333333
940.0,250.02,256.53,251.63,256.52777777777777
950.0,250.02,256.6,251.66,256.59722222222223
960.0,250.02,256.67,251.68,256.6666666666667
970.0,250.02,256.74,251.7,256.7361111111111
980.0,250.02,256.81,251.72,256.80555555555554
990.0,250.03,256.88,251.74,256.875
1000.0,250.03,256.94,251.77,256.94444444444446
1010.0,250.03,257.01,251.79,257.0138888888889
1020.0,250.03,257.08,251.81,257.0833333333333
1030.0,250.03,257.15,251.84,257.15277777777777
1040.0,250.03,257.22,251.86,257.22222222222223
1050.0,250.03,257.29,251.88,257.2916666666667
1060.0,250.03,257.36,251.9,257.3611111111111
1070.0,250.04,257.43,251.93,257.43055555555554
1080.0,250.04,257.5,251.95,257.5
1090.0,250.04,257.57,251.97,257.56944444444446
1100.0,250.04,257.64,252.0,257.6388888888889
1110.0,250.04,257.71,252.02,257.7083333333333
1120.0,250.04,257.78,252.04,257.77777777777777
1130.0,250.05,257.85,252.07,257.84722222222223
1140.0,250.05,257.92,252.09,257.9166666666667
1150.0,250.05,257.99,252.11,257.9861111111111
1160.0,250.05,258.06,252.14,258.05555555555554
1170.0,250.05,258.13,252.16,258.125
1180.0,250.06,258.19,252.18,258.19444444444446
1190.0,250.06,258.26,252.21,258.2638888888889
1200.0,250.06,258.33,252.23,258.3333333333333
1210.0,250.06,258.4,252.25,258.40277777777777
1220.0,250.06,258.47,252.28,258.47222222222223
1230.0,250.07,258.54,252.3,258.5416666666667
1240.0,250.07,258.61,252.33,258.6111111111111
1250.0,250.07,258.68,252.35,258.68055555555554
1260.0,250.07,258.75,252.37,258.75
1270.0,250.08,258.82,252.4,258.81944444444446
1280.0,250.08,258.89,252.42,258.8888888888889
1290.0,250.08,258.96,252.45,258.9583333333333
1300.0,250.08,259.03,252.47,259.02777777777777
1310.0,250.09,259.1,252.5,259.09722222222223
1320.0,250.09,259.17,252.52,259.1666666666667
1330.0,250.09,259.24,252.55,259.2361111111111
1340.0,250.1,259.31,252.57,259.30555555555554
1350.0,250.1,259.38,252.59,259.375
1360.0,250.1,259.44,252.62,259.44444444444446
1370.0,250.1,259.51,252.64,259.5138888888889
1380.0,250.11,259.58,252.67,259.5833333333333
1390.0,250.11,259.65,252.69,259.65277777777777
1400.0,250.11,259.72,252.72,259.72222222222223
1410.0,250.12,259.79,252.74,259.7916666666667
1420.0,250.12,259.86,252.77,259.8611111111111
1430.0,250.12,259.93,252.79,259.93055555555554
1440.0,250.13,260.0,252.82,260.0
1450.0,250.13,260.07,252.84,260.06944444444446
1460.0,250.13,260.14,252.87,260.1388888888889
1470.0,250.14,260.21,252.9,260.2083333333333
1480.0,250.14,260.28,252.92,260.27777777777777
1490.0,250.14,260.35,252.95,260.34722222222223
1500.0,250.15,260.42,252.97,260.4166666666667
1510.0,250.15,260.49,253.0,260.4861111111111
1520.0,250.16,260.56,253.02,260.55555555555554
1530.0,250.16,260.63,253.05,260.625
1540.0,250.16,260.69,253.07,260.69444444444446
1550.0,250.17,260.76,253.1,260.7638888888889
1560.0,250.17,260.83,253.13,260.8333333333333
1570.0,250.18,260.9,253.15,260.90277777777777
1580.0,250.18,260.97,253.18,260.97222222222223
1590.0,250.19,261.04,253.2,261.0416666666667
1600.0,250.19,261.11,253.23,261.1111111111111
1610.0,250.19,261.18,253.26,261.18055555555554
1620.0,250.2,261.25,253.28,261.25
1630.0,250.2,261.32,253.31,261.31944444444446
1640.0,250.21,261.39,253.33,261.3888888888889
1650.0,250.21,261.46,253.36,261.4583333333333
1660.0,250.22,261.53,253.39,261.52777777777777
1670.0,250.22,261.6,253.41,261.59722222222223
1680.0,250.23,261.67,253.44,261.6666666666667
1690.0,250.23,261.74,253.47,261.7361111111111
1700.0,250.24,261.81,253.49,261.80555555555554
1710.0,250.24,261.88,253.52,261.875
1720.0,250.25,261.94,253.55,261.94444444444446
1730.0,250.25,262.01,253.57,262.0138888888889
1740.0,250.26,262.08,253.6,262.0833333333333
1750.0,250.26,262.15,253.63,262.15277777777777
1760.0,250.27,262.22,253.65,262.22222222222223
1770.0,250.27,262.29,253.68,262.2916666666667
1780.0,250.28,262.36,253.71,262.3611111111111
1790.0,250.28,262.43,253.74,262.43055555555554
1800.0,250.29,262.5,253.76,262.5
1810.0,250.29,262.57,253.79,262.56944444444446
1820.0,250.3,262.64,253.82,262.6388888888889
1830.0,250.31,262.71,253.84,262.7083333333333
1840.0,250.31,262.78,253.87,262.77777777777777
1850.0,250.32,262.85,253.9,262.84722222222223
1860.0,250.32,262.92,253.93,262.9166666666667
1870.0,250.33,262.99,253.95,262.9861111111111
1880.0,250.34,263.06,253.98,263.05555555555554
1890.0,250.34,263.13,254.01,263.125
1900.0,250.35,263.19,254.04,263.19444444444446
1910.0,250.35,263.26,254.06,263.2638888888889
1920.0,250.36,263.33,254.09,263.3333333333333
1930.0,250.37,263.4,254.12,263.40277777777777
1940.0,250.37,263.47,254.15,263.47222222222223
1950.0,250.38,263.54,254.18,263.5416666666667
1960.0,250.39,263.61,254.2,263.6111111111111
1970.0,250.39,263.68,254.23,263.68055555555554
1980.0,250.4,263.75,254.26,263.75
1990.0,250.41,263.82,254.29,263.81944444444446
2000.0,250.41,263.89,254.32,263.8888888888889
2010.0,250.42,263.96,254.34,263.9583333333333
2020.0,250.43,264.03,254.37,264.02777777777777
2030.0,250.44,264.1,254.4,264.09722222222223
2040.0,250.44,264.17,254.43,264.1666666666667
2050.0,250.45,264.24,254.46,264.2361111111111
2060.0,250.46,264.31,254.49,264.30555555555554
2070.0,250.46,264.38,254.51,264.375
2080.0,250.47,264.44,254.54,264.44444444444446
2090.0,250.48,264.51,254.57,264.5138888888889
2100.0,250.49,264.58,254.6,264.5833333333333
2110.0,250.49,264.65,254.63,264.65277777777777
2120.0,250.5,264.72,254.66,264.72222222222223
2130.0,250.51,264.79,254.69,264.7916666666667
2140.0,250.52,264.86,254.71,264.8611111111111
2150.0,250.52,264.93,254.74,264.93055555555554
2160.0,250.53,265.0,254.77,265.0
2170.0,250.54,265.07,254.8,265.06944444444446
2180.0,250.55,265.14,254.83,265.1388888888889
2190.0,250.56,265.21,254.86,265.2083333333333
2200.0,250.56,265.28,254.89,265.27777777777777
2210.0,250.57,265.35,254.92,265.34722222222223
2220.0,250.58,265.42,254.95,265.4166666666667
2230.0,250.59,265.49,254.98,265.4861111111111
2240.0,250.6,265.56,255.01,265.55555555555554
2250.0,250.61,265.63,255.03,265.625
2260.0,250.62,265.69,255.06,265.69444444444446
2270.0,250.62,265.76,255.09,265.7638888888889
2280.0,250.63,265.83,255.12,265.8333333333333
2290.0,250.64,265.9,255.15,265.90277777777777
2300.0,250.65,265.97,255.18,265.97222222222223
2310.0,250.66,266.04,255.21,266.0416666666667
2320.0,250.67,266.11,255.24,266.1111111111111
2330.0,250.68,266.18,255.27,266.18055555555554
2340.0,250.69,266.25,255.3,266.25
2350.0,250.7,266.32,255.33,266.31944444444446
2360.0,250.7,266.39,255.36,266.3888888888889
2370.0,250.71,266.46,255.39,266.4583333333333
2380.0,250.72,266.53,255.42,266.52777777777777
2390.0,250.73,266.6,255.45,266.59722222222223
2400.0,250.74,266.67,255.48,266.6666666666667
2410.0,250.75,266.74,255.51,266.7361111111111
2420.0,250.76,266.81,255.54,266.80555555555554
2430.0,250.77,266.88,255.57,266.875
2440.0,250.78,266.94,255.6,266.94444444444446
