Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,207.0,207.0,207.0,207.0
10.0,207.0,207.15,207.02,207.15277777777777
20.0,207.0,207.3,207.04,207.30555555555554
30.0,207.0,207.46,207.06,207.45833333333334
40.0,207.0,207.61,207.08,207.61111111111111
50.0,207.0,207.76,207.11,207.76388888888889
60.0,207.0,207.92,207.13,207.91666666666666
70.0,207.0,208.07,207.16,208.06944444444446
80.0,207.0,208.22,207.18,208.22222222222223
90.0,207.0,208.37,207.21,208.375
100.0,207.0,208.53,207.24,208.52777777777777
110.0,207.0,208.68,207.26,208.68055555555554
120.0,207.0,208.83,207.29,208.83333333333334
130.0,207.0,208.98,207.32,208.98611111111111
140.0,207.0,209.14,207.35,209.13888888888889
150.0,207.0,209.29,207.38,209.29166666666666
160.0,207.0,209.44,207.41,209.44444444444446
170.0,207.0,209.59,207.44,209.59722222222223
180.0,207.0,209.75,207.47,209.75
190.0,207.0,209.9,207.5,209.90277777777777
200.0,207.0,210.05,207.54,210.05555555555554
210.0,207.0,210.21,207.57,210.20833333333334
220.0,207.0,210.36,207.6,210.36111111111111
230.0,207.0,210.51,207.63,210.51388888888889
240.0,207.0,210.66,207.67,210.66666666666666
250.0,207.0,210.82,207.7,210.81944444444446
260.0,207.0,210.97,207.74,210.97222222222223
270.0,207.0,211.12,207.77,211.125
280.0,207.0,211.27,207.81,211.27777777777777
290.0,207.0,211.43,207.84,211.43055555555554
300.0,207.0,211.58,207.88,211.58333333333334
310.0,207.0,211.73,207.91,211.73611111111111
320.0,207.0,211.89,207.95,211.88888888888889
330.0,207.0,212.04,207.98,212.04166666666666
340.0,207.0,212.19,208.02,212.19444444444446
350.0,207.0,212.34,208.06,212.34722222222223
360.0,207.0,212.5,208.1,212.5
370.0,207.0,212.65,208.13,212.65277777777777
380.0,207.0,212.8,208.17,212.80555555555554
390.0,207.0,212.95,208.21,212.95833333333334
400.0,207.0,213.11,208.25,213.11111111111111
410.0,207.0,213.26,208.29,213.26388888888889
420.0,207.0,213.41,208.33,213.41666666666666
430.0,207.0,213.57,208.37,213.56944444444446
440.0,207.0,213.72,208.4,213.72222222222223
450.0,207.0,213.87,208.44,213.875
460.0,207.0,214.02,208.48,214.02777777777777
470.0,207.0,214.18,208.52,214.18055555555554
480.0,207.0,214.33,208.56,214.33333333333334
490.0,207.0,214.48,208.61,214.48611111111111
500.0,207.0,214.63,208.65,214.63888888888889
510.0,207.0,214.79,208.69,214.79166666666666
520.0,207.0,214.94,208.73,214.94444444444446
530.0,207.0,215.09,208.77,215.09722222222223
540.0,207.0,215.25,208.81,215.25
550.0,207.0,215.4,208.85,215.40277777777777
560.0,207.0,215.55,208.9,215.55555555555554
570.0,207.0,215.7,208.94,215.70833333333334
580.0,207.0,215.86,208.98,215.86111111111111
590.0,207.0,216.01,209.03,216.01388888888889
600.0,207.0,216.16,209.07,216.16666666666666
610.0,207.01,216.31,209.11,216.31944444444446
620.0,207.01,216.47,209.16,216.47222222222223
630.0,207.01,216.62,209.2,216.625
640.0,207.01,216.77,209.24,216.77777777777777
650.0,207.01,216.93,209.29,216.93055555555554
660.0,207.01,217.08,209.33,217.08333333333334
670.0,207.01,217.23,209.38,217.23611111111111
680.0,207.01,217.38,209.42,217.38888888888889
690.0,207.01,217.54,209.47,217.54166666666666
700.0,207.01,217.69,209.51,217.69444444444446
710.0,207.01,217.84,209.56,217.84722222222223
720.0,207.01,217.99,209.6,218.0
730.0,207.01,218.15,209.65,218.15277777777777
740.0,207.02,218.3,209.69,218.30555555555554
750.0,207.02,218.45,209.74,218.45833333333334
760.0,207.02,218.61,209.79,218.61111111111111
770.0,207.02,218.76,209.83,218.76388888888889
780.0,207.02,218.91,209.88,218.91666666666666
790.0,207.02,219.06,209.92,219.06944444444446
800.0,207.02,219.22,209.97,219.22222222222223
810.0,207.03,219.37,210.02,219.375
820.0,207.03,219.52,210.07,219.52777777777777
830.0,207.03,219.67,210.11,219.68055555555554
840.0,207.03,219.83,210.16,219.83333333333334
850.0,207.03,219.98,210.21,219.98611111111111
860.0,207.03,220.13,210.26,220.13888888888889
870.0,207.04,220.29,210.31,220.29166666666666
880.0,207.04,220.44,210.35,220.44444444444446
890.0,207.04,220.59,210.4,220.59722222222223
900.0,207.04,220.74,210.45,220.75
910.0,207.05,220.9,210.5,220.90277777777777
920.0,207.05,221.05,210.55,221.05555555555554
930.0,207.05,221.2,210.6,221.20833333333334
940.0,207.05,221.35,210.65,221.36111111111111
950.0,207.06,221.51,210.7,221.51388888888889
960.0,207.06,221.66,210.75,221.66666666666666
970.0,207.06,221.81,210.8,221.81944444444446
980.0,207.06,221.97,210.85,221.97222222222223
990.0,207.07,222.12,210.9,222.125
1000.0,207.07,222.27,210.95,222.27777777777777
1010.0,207.07,222.42,211.0,222.43055555555554
1020.0,207.08,222.58,211.05,222.58333333333334
1030.0,207.08,222.73,211.1,222.73611111111111
1040.0,207.08,222.88,211.15,222.88888888888889
1050.0,207.09,223.04,211.2,223.04166666666666
1060.0,207.09,223.19,211.25,223.19444444444446
1070.0,207.1,223.34,211.3,223.34722222222223
1080.0,207.1,223.49,211.35,223.5
1090.0,207.1,223.65,211.4,223.65277777777777
1100.0,207.11,223.8,211.46,223.80555555555554
1110.0,207.11,223.95,211.51,223.95833333333334
1120.0,207.12,224.1,211.56,224.11111111111111
1130.0,207.12,224.26,211.61,224.26388888888889
1140.0,207.13,224.41,211.66,224.41666666666666
1150.0,207.13,224.56,211.72,224.56944444444446
1160.0,207.14,224.72,211.77,224.72222222222223
1170.0,207.14,224.87,211.82,224.875
