Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,100.0,100.0,100.0,100.0
10.0,100.0,100.22,100.03,100.21666666666667
20.0,100.0,100.43,100.05,100.43333333333334
30.0,100.0,100.65,100.08,100.65
40.0,100.0,100.86,100.12,100.86666666666666
50.0,100.0,101.08,100.15,101.08333333333333
60.0,100.0,101.3,100.19,101.3
70.0,100.0,101.51,100.22,101.51666666666667
80.0,100.0,101.73,100.26,101.73333333333333
90.0,100.0,101.95,100.3,101.95
100.0,100.0,102.16,100.34,102.16666666666667
110.0,100.0,102.38,100.38,102.38333333333334
120.0,100.0,102.6,100.42,102.6
130.0,100.0,102.81,100.47,102.81666666666666
140.0,100.0,103.03,100.51,103.03333333333333
150.0,100.0,103.25,100.55,103.25
160.0,100.0,103.46,100.6,103.46666666666667
170.0,100.0,103.68,100.64,103.68333333333334
180.0,100.0,103.9,100.69,103.9
190.0,100.0,104.11,100.74,104.11666666666667
200.0,100.0,104.33,100.78,104.33333333333333
210.0,100.0,104.55,100.83,104.55
220.0,100.0,104.76,100.88,104.76666666666667
230.0,100.0,104.98,100.93,104.98333333333333
240.0,100.0,105.2,100.98,105.2
250.0,100.0,105.41,101.03,105.41666666666667
260.0,100.0,105.63,101.08,105.63333333333334
270.0,100.0,105.85,101.13,105.85
280.0,100.0,106.06,101.18,106.06666666666666
290.0,100.0,106.28,101.24,106.28333333333333
300.0,100.0,106.5,101.29,106.5
310.0,100.0,106.71,101.34,106.71666666666667
320.0,100.0,106.93,101.4,106.93333333333334
330.0,100.0,107.15,101.45,107.15
340.0,100.0,107.36,101.5,107.36666666666667
350.0,100.0,107.58,101.56,107.58333333333333
360.0,100.0,107.79,101.62,107.8
370.0,100.0,108.01,101.67,108.01666666666667
380.0,100.0,108.23,101.73,108.23333333333333
390.0,100.0,108.44,101.78,108.45
400.0,100.0,108.66,101.84,108.66666666666667
410.0,100.0,108.88,101.9,108.88333333333333
420.0,100.0,109.09,101.96,109.1
430.0,100.0,109.31,102.02,109.31666666666666
440.0,100.0,109.53,102.08,109.53333333333333
450.0,100.0,109.74,102.13,109.75
460.0,100.0,109.96,102.19,109.96666666666667
470.0,100.0,110.18,102.25,110.18333333333334
480.0,100.0,110.39,102.31,110.4
490.0,100.0,110.61,102.37,110.61666666666667
500.0,100.0,110.83,102.44,110.83333333333333
510.0,100.01,111.04,102.5,111.05
520.0,100.01,111.26,102.56,111.26666666666667
530.0,100.01,111.48,102.62,111.48333333333333
540.0,100.01,111.69,102.68,111.7
550.0,100.01,111.91,102.75,111.91666666666667
560.0,100.01,112.13,102.81,112.13333333333333
570.0,100.01,112.34,102.87,112.35
