Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,456.0,456.0,456.0,456.0
10.0,456.0,455.8,455.99,455.8
20.0,456.0,455.6,455.98,455.6
30.0,456.0,455.4,455.97,455.4
40.0,456.0,455.2,455.96,455.2
50.0,456.0,455.0,455.94,455.0
60.0,456.0,454.8,455.93,454.8
70.0,456.0,454.6,455.91,454.6
80.0,456.0,454.4,455.89,454.4
90.0,456.0,454.2,455.87,454.2
100.0,456.0,454.0,455.85,454.0
110.0,456.0,453.8,455.83,453.8
120.0,456.0,453.6,455.81,453.6
130.0,456.0,453.4,455.79,453.4
140.0,456.0,453.2,455.77,453.2
150.0,456.0,453.0,455.74,453.0
160.0,456.0,452.8,455.72,452.8
170.0,456.0,452.6,455.7,452.6
180.0,456.0,452.4,455.67,452.4
190.0,456.0,452.2,455.65,452.2
200.0,456.0,452.0,455.62,452.0
210.0,456.0,451.8,455.59,451.8
220.0,456.0,451.6,455.57,451.6
230.0,456.0,451.4,455.54,451.4
240.0,456.0,451.2,455.51,451.2
250.0,456.0,451.0,455.49,451.0
260.0,456.0,450.8,455.46,450.8
270.0,456.0,450.6,455.43,450.6
280.0,456.0,450.4,455.4,450.4
290.0,456.0,450.2,455.37,450.2
300.0,456.0,450.0,455.34,450.0
310.0,456.0,449.8,455.31,449.8
320.0,456.0,449.6,455.28,449.6
330.0,456.0,449.4,455.25,449.4
340.0,456.0,449.2,455.21,449.2
350.0,456.0,449.0,455.18,449.0
360.0,456.0,448.8,455.15,448.8
370.0,456.0,448.6,455.12,448.6
380.0,456.0,448.4,455.08,448.4
390.0,456.0,448.2,455.05,448.2
400.0,456.0,448.0,455.02,448.0
410.0,456.0,447.8,454.98,447.8
420.0,456.0,447.6,454.95,447.6
430.0,456.0,447.41,454.91,447.4
440.0,456.0,447.21,454.88,447.2
450.0,456.0,447.01,454.84,447.0
460.0,456.0,446.81,454.81,446.8
470.0,456.0,446.61,454.77,446.6
480.0,456.0,446.41,454.73,446.4
490.0,456.0,446.21,454.7,446.2
500.0,456.0,446.01,454.66,446.0
510.0,456.0,445.81,454.62,445.8
520.0,456.0,445.61,454.59,445.6
530.0,456.0,445.41,454.55,445.4
540.0,456.0,445.21,454.51,445.2
550.0,456.0,445.01,454.47,445.0
560.0,456.0,444.81,454.43,444.8
570.0,456.0,444.61,454.39,444.6
580.0,456.0,444.41,454.35,444.4
590.0,456.0,444.21,454.31,444.2
600.0,456.0,444.01,454.27,444.0
610.0,456.0,443.81,454.23,443.8
620.0,456.0,443.61,454.19,443.6
630.0,456.0,443.41,454.15,443.4
640.0,456.0,443.21,454.11,443.2
650.0,456.0,443.01,454.07,443.0
660.0,456.0,442.81,454.03,442.8
670.0,456.0,442.61,453.99,442.6
680.0,456.0,442.41,453.95,442.4
690.0,456.0,442.21,453.91,442.2
700.0,456.0,442.01,453.86,442.0
710.0,456.0,441.81,453.82,441.8
720.0,455.99,441.61,453.78,441.6
730.0,455.99,441.41,453.73,441.4
740.0,455.99,441.21,453.69,441.2
750.0,455.99,441.01,453.65,441.0
760.0,455.99,440.81,453.6,440.8
770.0,455.99,440.61,453.56,440.6
780.0,455.99,440.41,453.52,440.4
790.0,455.99,440.21,453.47,440.2
800.0,455.99,440.01,453.43,440.0
810.0,455.99,439.81,453.38,439.8
820.0,455.99,439.61,453.34,439.6
830.0,455.99,439.41,453.29,439.4
840.0,455.99,439.21,453.25,439.2
850.0,455.99,439.01,453.2,439.0
860.0,455.98,438.81,453.15,438.8
870.0,455.98,438.61,453.11,438.6
880.0,455.98,438.41,453.06,438.4
890.0,455.98,438.21,453.02,438.2
900.0,455.98,438.01,452.97,438.0
910.0,455.98,437.81,452.92,437.8
920.0,455.98,437.61,452.87,437.6
930.0,455.98,437.41,452.83,437.4
940.0,455.97,437.21,452.78,437.2
950.0,455.97,437.01,452.73,437.0
960.0,455.97,436.81,452.68,436.8
970.0,455.97,436.61,452.64,436.6
980.0,455.97,436.41,452.59,436.4
990.0,455.97,436.21,452.54,436.2
1000.0,455.96,436.01,452.49,436.0
1010.0,455.96,435.81,452.44,435.8
1020.0,455.96,435.61,452.39,435.6
1030.0,455.96,435.41,452.34,435.4
1040.0,455.96,435.21,452.29,435.2
1050.0,455.95,435.01,452.24,435.0
1060.0,455.95,434.81,452.19,434.8
1070.0,455.95,434.61,452.14,434.6
1080.0,455.95,434.41,452.09,434.4
1090.0,455.94,434.21,452.04,434.2
1100.0,455.94,434.01,451.99,434.0
1110.0,455.94,433.81,451.94,433.8
1120.0,455.94,433.61,451.89,433.6
1130.0,455.93,433.41,451.84,433.4
1140.0,455.93,433.21,451.79,433.2
1150.0,455.93,433.01,451.74,433.0
1160.0,455.92,432.81,451.68,432.8
1170.0,455.92,432.61,451.63,432.6
1180.0,455.92,432.41,451.58,432.4
1190.0,455.92,432.21,451.53,432.2
1200.0,455.91,432.01,451.47,432.0
1210.0,455.91,431.81,451.42,431.8
1220.0,455.9,431.61,451.37,431.6
1230.0,455.9,431.41,451.32,431.4
1240.0,455.9,431.21,451.26,431.2
1250.0,455.89,431.01,451.21,431.0
1260.0,455.89,430.81,451.16,430.8
1270.0,455.88,430.61,451.1,430.6
1280.0,455.88,430.41,451.05,430.4
1290.0,455.88,430.21,450.99,430.2
1300.0,455.87,430.01,450.94,430.0
1310.0,455.87,429.81,450.89,429.8
1320.0,455.86,429.61,450.83,429.6
1330.0,455.86,429.41,450.78,429.4
1340.0,455.85,429.21,450.72,429.2
1350.0,455.85,429.01,450.67,429.0
1360.0,455.84,428.81,450.61,428.8
1370.0,455.84,428.61,450.56,428.6
1380.0,455.83,428.41,450.5,428.4
1390.0,455.83,428.21,450.44,428.2
1400.0,455.82,428.01,450.39,428.0
1410.0,455.82,427.81,450.33,427.8
1420.0,455.81,427.61,450.28,427.6
1430.0,455.8,427.41,450.22,427.4
1440.0,455.8,427.21,450.16,427.2
1450.0,455.79,427.01,450.11,427.0
1460.0,455.79,426.81,450.05,426.8
1470.0,455.78,426.61,449.99,426.6
1480.0,455.77,426.41,449.94,426.4
1490.0,455.77,426.21,449.88,426.2
1500.0,455.76,426.01,449.82,426.0
1510.0,455.75,425.81,449.76,425.8
1520.0,455.75,425.61,449.71,425.6
1530.0,455.74,425.41,449.65,425.4
1540.0,455.73,425.21,449.59,425.2
1550.0,455.72,425.01,449.53,425.0
1560.0,455.72,424.81,449.47,424.8
1570.0,455.71,424.61,449.41,424.6
1580.0,455.7,424.41,449.36,424.4
1590.0,455.69,424.21,449.3,424.2
1600.0,455.69,424.01,449.24,424.0
1610.0,455.68,423.81,449.18,423.8
1620.0,455.67,423.61,449.12,423.6
1630.0,455.66,423.41,449.06,423.4
1640.0,455.65,423.21,449.0,423.2
1650.0,455.64,423.01,448.94,423.0
1660.0,455.63,422.81,448.88,422.8
1670.0,455.63,422.61,448.82,422.6
1680.0,455.62,422.41,448.76,422.4
1690.0,455.61,422.21,448.7,422.2
1700.0,455.6,422.01,448.64,422.0
1710.0,455.59,421.81,448.58,421.8
1720.0,455.58,421.61,448.52,421.6
1730.0,455.57,421.41,448.46,421.4
1740.0,455.56,421.21,448.4,421.2
1750.0,455.55,421.01,448.33,421.0
1760.0,455.54,420.81,448.27,420.8
1770.0,455.53,420.61,448.21,420.6
