Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,367.0,367.0,367.0,367.0
10.0,367.0,366.78,366.99,366.78194444444443
20.0,367.0,366.57,366.98,366.56388888888887
30.0,367.0,366.35,366.97,366.34583333333336
40.0,367.0,366.13,366.95,366.1277777777778
50.0,367.0,365.91,366.93,365.90972222222223
60.0,367.0,365.69,366.92,365.69166666666666
70.0,367.0,365.48,366.9,365.4736111111111
80.0,367.0,365.26,366.88,365.25555555555553
90.0,367.0,365.04,366.86,365.0375
100.0,367.0,364.82,366.84,364.81944444444446
110.0,367.0,364.6,366.81,364.6013888888889
120.0,367.0,364.39,366.79,364.3833333333333
130.0,367.0,364.17,366.77,364.16527777777776
140.0,367.0,363.95,366.74,363.9472222222222
150.0,367.0,363.73,366.72,363.7291666666667
160.0,367.0,363.51,366.69,363.5111111111111
170.0,367.0,363.3,366.66,363.29305555555555
180.0,367.0,363.08,366.64,363.075
190.0,367.0,362.86,366.61,362.8569444444444
200.0,367.0,362.64,366.58,362.6388888888889
210.0,367.0,362.42,366.55,362.42083333333335
220.0,367.0,362.21,366.52,362.2027777777778
230.0,367.0,361.99,366.49,361.9847222222222
240.0,367.0,361.77,366.46,361.76666666666665
250.0,367.0,361.55,366.43,361.5486111111111
260.0,367.0,361.33,366.4,361.3305555555556
270.0,367.0,361.12,366.37,361.1125
280.0,367.0,360.9,366.33,360.89444444444445
290.0,367.0,360.68,366.3,360.6763888888889
300.0,367.0,360.46,366.27,360.4583333333333
310.0,367.0,360.24,366.23,360.2402777777778
320.0,367.0,360.03,366.2,360.02222222222224
330.0,367.0,359.81,366.16,359.8041666666667
340.0,367.0,359.59,366.13,359.5861111111111
350.0,367.0,359.37,366.09,359.36805555555554
360.0,367.0,359.16,366.06,359.15
370.0,367.0,358.94,366.02,358.93194444444447
380.0,367.0,358.72,365.98,358.7138888888889
390.0,367.0,358.5,365.95,358.49583333333334
400.0,367.0,358.28,365.91,358.27777777777777
410.0,367.0,358.07,365.87,358.0597222222222
420.0,367.0,357.85,365.83,357.84166666666664
430.0,367.0,357.63,365.8,357.62361111111113
440.0,367.0,357.41,365.76,357.40555555555557
450.0,367.0,357.19,365.72,357.1875
460.0,367.0,356.98,365.68,356.96944444444443
470.0,367.0,356.76,365.64,356.75138888888887
480.0,367.0,356.54,365.6,356.53333333333336
490.0,367.0,356.32,365.56,356.3152777777778
500.0,367.0,356.1,365.52,356.09722222222223
510.0,367.0,355.89,365.47,355.87916666666666
520.0,367.0,355.67,365.43,355.6611111111111
530.0,367.0,355.45,365.39,355.44305555555553
540.0,367.0,355.23,365.35,355.225
550.0,367.0,355.01,365.31,355.00694444444446
560.0,367.0,354.8,365.26,354.7888888888889
570.0,367.0,354.58,365.22,354.5708333333333
580.0,367.0,354.36,365.18,354.35277777777776
590.0,367.0,354.14,365.13,354.1347222222222
600.0,367.0,353.92,365.09,353.9166666666667
610.0,367.0,353.71,365.04,353.6986111111111
620.0,367.0,353.49,365.0,353.48055555555555
630.0,367.0,353.27,364.95,353.2625
640.0,367.0,353.05,364.91,353.0444444444444
650.0,367.0,352.83,364.86,352.8263888888889
660.0,367.0,352.62,364.82,352.60833333333335
670.0,367.0,352.4,364.77,352.3902777777778
680.0,366.99,352.18,364.73,352.1722222222222
690.0,366.99,351.96,364.68,351.95416666666665
700.0,366.99,351.74,364.63,351.7361111111111
710.0,366.99,351.53,364.59,351.5180555555556
720.0,366.99,351.31,364.54,351.3
730.0,366.99,351.09,364.49,351.08194444444445
740.0,366.99,350.87,364.44,350.8638888888889
750.0,366.99,350.65,364.39,350.6458333333333
760.0,366.99,350.44,364.35,350.4277777777778
770.0,366.99,350.22,364.3,350.20972222222224
780.0,366.99,350.0,364.25,349.9916666666667
790.0,366.99,349.78,364.2,349.7736111111111
800.0,366.99,349.56,364.15,349.55555555555554
810.0,366.99,349.35,364.1,349.3375
820.0,366.98,349.13,364.05,349.11944444444447
830.0,366.98,348.91,364.0,348.9013888888889
840.0,366.98,348.69,363.95,348.68333333333334
850.0,366.98,348.47,363.9,348.46527777777777
860.0,366.98,348.26,363.85,348.2472222222222
870.0,366.98,348.04,363.8,348.02916666666664
880.0,366.98,347.82,363.74,347.81111111111113
890.0,366.98,347.6,363.69,347.59305555555557
900.0,366.97,347.38,363.64,347.375
910.0,366.97,347.17,363.59,347.15694444444443
