Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,303.6,303.6,303.6,303.6
10.0,303.6,303.62,303.6,303.62222222222226
20.0,303.6,303.64,303.6,303.64444444444445
30.0,303.6,303.66,303.6,303.6666666666667
40.0,303.6,303.68,303.6,303.6888888888889
50.0,303.6,303.7,303.61,303.7111111111111
60.0,303.6,303.73,303.61,303.73333333333335
70.0,303.6,303.75,303.61,303.7555555555556
80.0,303.6,303.77,303.61,303.77777777777777
90.0,303.6,303.79,303.61,303.8
100.0,303.6,303.81,303.61,303.82222222222225
110.0,303.6,303.84,303.62,303.84444444444443
120.0,303.6,303.86,303.62,303.8666666666667
130.0,303.6,303.88,303.62,303.8888888888889
140.0,303.6,303.9,303.62,303.9111111111111
150.0,303.6,303.92,303.63,303.93333333333334
160.0,303.6,303.95,303.63,303.9555555555556
170.0,303.6,303.97,303.63,303.97777777777776
180.0,303.6,303.99,303.63,304.0
190.0,303.6,304.01,303.64,304.02222222222224
200.0,303.6,304.03,303.64,304.0444444444444
210.0,303.6,304.06,303.64,304.06666666666666
220.0,303.6,304.08,303.64,304.0888888888889
230.0,303.6,304.1,303.65,304.1111111111111
240.0,303.6,304.12,303.65,304.1333333333333
250.0,303.6,304.14,303.65,304.15555555555557
260.0,303.6,304.16,303.66,304.17777777777775
270.0,303.6,304.19,303.66,304.2
280.0,303.6,304.21,303.66,304.22222222222223
290.0,303.6,304.23,303.66,304.2444444444444
300.0,303.6,304.25,303.67,304.26666666666665
310.0,303.6,304.27,303.67,304.2888888888889
320.0,303.6,304.3,303.67,304.3111111111111
330.0,303.6,304.32,303.68,304.3333333333333
340.0,303.6,304.34,303.68,304.35555555555555
350.0,303.6,304.36,303.68,304.37777777777774
360.0,303.6,304.38,303.69,304.4
370.0,303.6,304.41,303.69,304.42499999999995
380.0,303.6,304.43,303.7,304.45
390.0,303.6,304.46,303.7,304.47499999999997
400.0,303.6,304.48,303.7,304.5
410.0,303.6,304.51,303.71,304.525
420.0,303.6,304.53,303.71,304.54999999999995
430.0,303.6,304.56,303.72,304.575
440.0,303.6,304.58,303.72,304.59999999999997
450.0,303.6,304.61,303.72,304.625
460.0,303.6,304.63,303.73,304.65
470.0,303.6,304.66,303.73,304.675
480.0,303.6,304.68,303.74,304.7
490.0,303.6,304.71,303.74,304.72499999999997
500.0,303.6,304.73,303.74,304.75
510.0,303.6,304.76,303.75,304.775
520.0,303.6,304.78,303.75,304.8
530.0,303.6,304.8,303.76,304.825
540.0,303.6,304.83,303.76,304.85
550.0,303.6,304.85,303.77,304.875
560.0,303.6,304.88,303.77,304.9
570.0,303.6,304.9,303.78,304.925
580.0,303.6,304.93,303.78,304.95
590.0,303.6,304.95,303.79,304.975
600.0,303.6,304.98,303.79,305.0
610.0,303.6,305.0,303.8,305.025
620.0,303.6,305.03,303.8,305.05
630.0,303.6,305.05,303.8,305.075
640.0,303.6,305.08,303.81,305.1
650.0,303.6,305.1,303.81,305.125
660.0,303.6,305.13,303.82,305.15
670.0,303.6,305.15,303.82,305.175
680.0,303.6,305.18,303.83,305.2
690.0,303.6,305.2,303.83,305.225
700.0,303.6,305.23,303.84,305.25
710.0,303.6,305.25,303.84,305.27500000000003
720.0,303.6,305.28,303.85,305.3
730.0,303.6,305.31,303.86,305.33333333333337
740.0,303.6,305.34,303.86,305.3666666666667
750.0,303.6,305.37,303.87,305.40000000000003
760.0,303.6,305.41,303.87,305.43333333333334
770.0,303.6,305.44,303.88,305.4666666666667
780.0,303.6,305.47,303.88,305.5
790.0,303.6,305.51,303.89,305.53333333333336
800.0,303.6,305.54,303.9,305.56666666666666
810.0,303.6,305.57,303.9,305.6
820.0,303.6,305.6,303.91,305.6333333333333
830.0,303.6,305.64,303.92,305.6666666666667
840.0,303.6,305.67,303.92,305.7
850.0,303.6,305.7,303.93,305.73333333333335
860.0,303.6,305.74,303.93,305.76666666666665
870.0,303.6,305.77,303.94,305.8
880.0,303.6,305.8,303.95,305.8333333333333
890.0,303.6,305.84,303.95,305.8666666666667
900.0,303.6,305.87,303.96,305.9
910.0,303.6,305.9,303.97,305.93333333333334
920.0,303.6,305.93,303.97,305.9666666666667
930.0,303.6,305.97,303.98,306.0
940.0,303.6,306.0,303.99,306.03333333333336
950.0,303.6,306.03,304.0,306.06666666666666
960.0,303.6,306.07,304.0,306.1
970.0,303.6,306.1,304.01,306.1333333333333
980.0,303.61,306.13,304.02,306.1666666666667
990.0,303.61,306.17,304.02,306.2
1000.0,303.61,306.2,304.03,306.23333333333335
1010.0,303.61,306.23,304.04,306.26666666666665
1020.0,303.61,306.26,304.05,306.3
1030.0,303.61,306.3,304.05,306.3333333333333
1040.0,303.61,306.33,304.06,306.3666666666667
