Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,213.0,213.0,213.0,213.0
10.0,213.0,213.11,213.01,213.11388888888888
20.0,213.0,213.23,213.03,213.2277777777778
30.0,213.0,213.34,213.04,213.34166666666667
40.0,213.0,213.46,213.06,213.45555555555555
50.0,213.0,213.57,213.07,213.56944444444446
60.0,213.0,213.68,213.09,213.68333333333334
70.0,213.0,213.8,213.11,213.79722222222222
80.0,213.0,213.91,213.13,213.9111111111111
90.0,213.0,214.02,213.15,214.025
100.0,213.0,214.14,213.17,214.13888888888889
110.0,213.0,214.25,213.19,214.25277777777777
120.0,213.0,214.37,213.21,214.36666666666667
130.0,213.0,214.48,213.23,214.48055555555555
140.0,213.0,214.59,213.25,214.59444444444443
150.0,213.0,214.71,213.27,214.70833333333334
160.0,213.0,214.82,213.3,214.82222222222222
170.0,213.0,214.94,213.32,214.9361111111111
180.0,213.0,215.05,213.34,215.05
190.0,213.0,215.16,213.36,215.1638888888889
200.0,213.0,215.28,213.39,215.27777777777777
210.0,213.0,215.39,213.41,215.39166666666665
220.0,213.0,215.51,213.43,215.50555555555556
230.0,213.0,215.62,213.46,215.61944444444444
240.0,213.0,215.73,213.48,215.73333333333332
250.0,213.0,215.85,213.51,215.84722222222223
260.0,213.0,215.96,213.53,215.9611111111111
270.0,213.0,216.07,213.56,216.075
280.0,213.0,216.19,213.58,216.1888888888889
290.0,213.0,216.3,213.61,216.30277777777778
300.0,213.0,216.42,213.64,216.41666666666666
310.0,213.0,216.53,213.66,216.53055555555554
320.0,213.0,216.64,213.69,216.64444444444445
330.0,213.0,216.76,213.72,216.75833333333333
340.0,213.0,216.87,213.74,216.8722222222222
350.0,213.0,216.99,213.77,216.98611111111111
360.0,213.0,217.1,213.8,217.1
370.0,213.0,217.22,213.83,217.22222222222223
380.0,213.0,217.34,213.85,217.34444444444443
390.0,213.0,217.47,213.88,217.46666666666667
400.0,213.0,217.59,213.91,217.58888888888887
410.0,213.0,217.71,213.94,217.7111111111111
420.0,213.0,217.83,213.97,217.83333333333331
430.0,213.0,217.96,214.0,217.95555555555555
440.0,213.0,218.08,214.03,218.07777777777778
450.0,213.0,218.2,214.06,218.2
460.0,213.0,218.32,214.09,218.32222222222222
