Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,318.0,318.0,318.0,318.0
10.0,318.0,319.95,318.07,320.3858379
20.0,318.0,322.18,318.18,322.7716758
30.0,318.0,324.46,318.31,325.1575137
40.0,318.0,326.77,318.46,327.5433516
50.0,318.0,329.08,318.62,329.9291895
60.0,318.0,330.08,318.75,330.69148358
70.0,318.0,330.89,318.87,331.45377766
80.0,318.0,331.66,318.98,332.21607174
90.0,318.0,332.43,319.1,332.97836582
100.0,318.0,333.18,319.21,333.7406599
110.0,318.0,333.73,319.31,334.24358643000005
120.0,318.0,334.24,319.41,334.74651296
130.0,318.0,334.75,319.51,335.24943949
140.0,318.0,335.25,319.61,335.75236602
150.0,318.0,335.76,319.71,336.25529255000004
160.0,318.0,336.26,319.8,336.75821908
170.0,318.0,336.76,319.9,337.26114560999997
180.0,318.0,337.26,319.99,337.76407214
190.0,318.0,337.76,320.09,338.26699867
200.0,318.0,338.26,320.19,338.7699252
210.0,318.0,338.6,320.28,339.07642
220.0,318.0,338.91,320.36,339.3829148
230.0,318.0,339.22,320.45,339.6894096
240.0,318.0,339.53,320.54,339.9959044
250.0,318.0,339.84,320.62,340.30239919999997
260.0,318.0,340.15,320.7,340.60889399999996
270.0,318.0,340.45,320.79,340.91538879999996
280.0,318.0,340.76,320.87,341.2218836
290.0,318.0,341.07,320.95,341.5283784
300.0,318.0,341.37,321.03,341.8348732
310.0,318.0,341.68,321.11,342.141368
320.0,318.0,341.98,321.2,342.4478628
330.0,318.0,342.29,321.28,342.7543576
340.0,318.0,342.59,321.36,343.0608524
350.0,318.0,342.9,321.44,343.3673472
360.0,318.0,343.2,321.52,343.673842
370.0,318.0,343.51,321.6,343.9803368
380.0,318.0,343.81,321.68,344.28683159999997
390.0,318.0,344.12,321.76,344.59332639999997
400.0,318.0,344.42,321.84,344.89982119999996
410.0,318.0,344.73,321.92,345.20631599999996
420.0,318.0,345.03,322.0,345.51281079999995
430.0,318.0,345.34,322.09,345.8193056
440.0,318.0,345.64,322.17,346.1258004
450.0,318.0,345.95,322.25,346.4322952
460.0,318.0,346.25,322.33,346.73879
470.0,318.0,346.55,322.41,347.0452848
480.0,318.0,346.86,322.49,347.3517796
490.0,318.01,347.16,322.57,347.6582744
500.0,318.01,347.47,322.65,347.9647692
510.0,318.01,347.68,322.73,348.15624881599996
520.0,318.01,347.87,322.81,348.347728432
