Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,404.0,404.0,404.0,404.0
10.0,403.99,404.05,404.0,404.054
20.0,404.0,404.1,404.0,404.108
30.0,404.0,404.15,404.01,404.162
40.0,404.0,404.2,404.01,404.216
50.0,404.0,404.25,404.01,404.27
60.0,404.0,404.31,404.02,404.324
70.0,404.0,404.36,404.02,404.378
80.0,404.0,404.41,404.02,404.432
90.0,404.0,404.47,404.03,404.486
100.0,404.0,404.52,404.03,404.54
110.0,404.0,404.57,404.04,404.594
120.0,404.0,404.63,404.04,404.648
130.0,404.0,404.68,404.05,404.702
140.0,404.0,404.73,404.05,404.75600000000003
150.0,404.0,404.72,404.06,404.7266666666667
160.0,404.0,404.65,404.06,404.6417777777778
170.0,404.0,404.56,404.06,404.5568888888889
180.0,404.0,404.48,404.06,404.472
190.0,404.0,404.41,404.05,404.3871111111111
200.0,404.0,404.35,404.05,404.3022222222222
210.0,404.0,404.31,404.05,404.21733333333333
220.0,404.0,404.28,404.04,404.13244444444445
230.0,404.0,404.25,404.04,404.04755555555556
240.0,403.98,404.21,404.03,403.9626666666667
250.0,403.9,404.17,404.03,403.8777777777778
260.0,403.82,404.15,404.02,403.7928888888889
270.0,403.73,404.13,404.02,403.708
280.0,403.65,404.11,404.01,403.62311111111114
290.0,403.64,404.1,404.01,403.6215555555556
300.0,403.88,404.09,404.01,403.9533333333334
310.0,403.91,404.23,404.02,404.2851111111111
320.0,403.97,404.55,404.04,404.6168888888889
330.0,404.0,404.87,404.05,404.94866666666667
340.0,404.0,405.19,404.07,405.28044444444447
350.0,404.0,405.52,404.09,405.6122222222222
360.0,404.0,405.84,404.11,405.944
370.0,404.0,406.17,404.13,406.2757777777778
380.0,404.0,406.5,404.16,406.60755555555556
390.0,404.0,406.82,404.18,406.93933333333337
400.0,404.0,407.15,404.21,407.2711111111111
410.0,404.0,407.48,404.24,407.6028888888889
420.0,404.0,407.81,404.27,407.93466666666666
430.0,404.0,408.13,404.3,408.26644444444446
440.0,404.0,408.04,404.32,408.09822222222226
450.0,404.0,407.79,404.33,407.805
460.0,404.0,407.52,404.34,407.5117777777778
470.0,404.0,407.23,404.34,407.21855555555555
480.0,404.0,406.95,404.34,406.92533333333336
490.0,404.0,406.66,404.33,406.63211111111116
500.0,404.0,406.38,404.33,406.3388888888889
