Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,316.0777525,316.0777525,316.0777525,316.0777525
10.0,316.08,316.03,316.07,316.0305380833333
20.0,316.08,315.98,316.07,315.98332366666665
30.0,316.08,315.94,316.06,315.93610924999996
40.0,316.08,315.89,316.05,315.8888948333333
50.0,316.08,315.84,316.05,315.84168041666663
60.0,316.08,315.79,316.04,315.794466
70.0,316.08,315.75,316.03,315.7472515833333
80.0,316.08,315.7,316.02,315.7000371666667
90.0,316.08,315.65,316.02,315.65282275
100.0,316.08,315.61,316.01,315.60560833333335
110.0,316.08,315.56,316.0,315.55839391666666
120.0,316.08,315.51,315.99,315.5111795
130.0,316.08,315.46,315.98,315.46396508333333
140.0,316.08,315.42,315.97,315.41675066666664
150.0,316.08,315.41,315.97,315.4076969833333
160.0,316.08,315.42,315.97,315.4240837888889
170.0,316.08,315.44,315.97,315.44047059444443
180.0,316.08,315.46,315.97,315.4568574
190.0,316.08,315.47,315.97,315.47324420555555
200.0,316.08,315.49,315.97,315.4896310111111
210.0,316.08,315.51,315.97,315.50601781666666
220.0,316.08,315.52,315.97,315.5224046222222
230.0,316.08,315.54,315.97,315.53879142777777
240.0,316.08,315.56,315.97,315.5551782333333
250.0,316.08,315.57,315.97,315.5715650388889
260.0,316.08,315.59,315.97,315.58795184444443
270.0,316.08,315.6,315.97,315.60433865
280.0,316.08,315.62,315.98,315.62072545555554
290.0,316.08,315.67,315.98,315.6657722347222
300.0,316.08,315.82,316.0,315.82545890833336
310.0,316.08,315.98,316.02,315.98514558194444
320.0,316.08,316.14,316.04,316.14483225555557
330.0,316.08,316.3,316.06,316.30451892916665
340.0,316.08,316.46,316.09,316.4642056027778
350.0,316.08,316.62,316.11,316.62389227638886
360.0,316.08,316.78,316.14,316.78357895
370.0,316.08,316.94,316.16,316.9432656236111
380.0,316.08,317.1,316.19,317.1029522972222
390.0,316.08,317.26,316.22,317.26263897083334
400.0,316.08,317.42,316.24,317.4223256444444
410.0,316.08,317.58,316.27,317.58201231805555
420.0,316.08,317.74,316.3,317.7416989916666
430.0,316.08,317.9,316.33,317.90138566527776
440.0,316.08,317.99,316.35,317.99541453888884
450.0,316.08,318.07,316.37,318.07302896249996
460.0,316.08,318.15,316.39,318.1506433861111
470.0,316.08,318.23,316.41,318.2282578097222
480.0,316.08,318.3,316.43,318.30587223333333
490.0,316.08,318.38,316.45,318.3834866569444
500.0,316.08,318.46,316.47,318.4611010805555
510.0,316.08,318.54,316.49,318.53871550416665
520.0,316.08,318.61,316.51,318.61632992777777
530.0,316.08,318.69,316.53,318.6939443513889
540.0,316.08,318.77,316.54,318.771558775
550.0,316.08,318.85,316.56,318.8491731986111
560.0,316.08,318.92,316.58,318.9267876222222
570.0,316.08,319.0,316.6,319.00440204583333
580.0,316.08,319.0,316.61,318.9973479861111
590.0,316.08,318.86,316.61,318.8632912013889
600.0,316.08,318.73,316.6,318.72923441666666
610.0,316.08,318.59,316.59,318.5951776319444
620.0,316.08,318.46,316.58,318.4611208472222
630.0,316.08,318.33,316.57,318.32706406249997
640.0,316.08,318.19,316.55,318.1930072777778
650.0,316.08,318.06,316.54,318.05895049305553
660.0,316.08,317.93,316.52,317.92489370833334
670.0,316.08,317.79,316.51,317.7908369236111
680.0,316.08,317.66,316.49,317.65678013888885
690.0,316.08,317.52,316.47,317.52272335416666
700.0,316.08,317.39,316.46,317.3886665694444
710.0,316.08,317.26,316.44,317.2546097847222
720.0,316.08,317.12,316.42,317.120553
730.0,316.08,317.35,316.44,317.3529574861111
740.0,316.08,317.58,316.47,317.5853619722222
750.0,316.08,317.82,316.5,317.8177664583333
760.0,316.08,318.05,316.53,318.0501709444444
770.0,316.08,318.28,316.57,318.28257543055554
780.0,316.08,318.51,316.6,318.5149799166667
790.0,316.08,318.74,316.64,318.74738440277775
800.0,316.08,318.98,316.67,318.9797888888889
810.0,316.08,319.21,316.71,319.21219337499997
820.0,316.08,319.44,316.75,319.4445978611111
830.0,316.08,319.67,316.79,319.67700234722224
840.0,316.08,319.91,316.84,319.9094068333333
850.0,316.08,320.14,316.88,320.14181131944446
860.0,316.08,320.37,316.92,320.3742158055556
870.0,316.08,320.66,316.97,320.66851918333333
880.0,316.08,321.0,317.03,321.0040884888889
890.0,316.08,321.33,317.09,321.33965779444446
900.0,316.08,321.67,317.15,321.67522710000003
910.0,316.08,322.01,317.21,322.0107964055556
920.0,316.08,322.34,317.28,322.3463657111111
930.0,316.08,322.68,317.34,322.68193501666667
940.0,316.08,323.01,317.41,323.01750432222224
950.0,316.08,323.35,317.47,323.3530736277778
960.0,316.08,323.68,317.54,323.68864293333337
970.0,316.08,324.02,317.61,324.0242122388889
980.0,316.08,324.35,317.68,324.35978154444444
990.0,316.08,324.69,317.75,324.69535085
1000.0,316.08,325.02,317.82,325.0309201555556
1010.0,316.08,325.28,317.88,325.2856736
1020.0,316.08,325.21,317.91,325.2171636
1030.0,316.08,325.14,317.93,325.1486536
1040.0,316.08,325.08,317.95,325.0801436
1050.0,316.08,325.01,317.96,325.0116336
1060.0,316.08,324.94,317.98,324.9431236
1070.0,316.08,324.87,317.99,324.8746136
1080.0,316.08,324.8,318.0,324.80610360000003
1090.0,316.08,324.73,318.01,324.7375936
1100.0,316.08,324.67,318.02,324.6690836
1110.0,316.08,324.6,318.03,324.6005736
1120.0,316.08,324.53,318.04,324.5320636
1130.0,316.08,324.46,318.04,324.4635536
1140.0,316.08,324.39,318.05,324.3950436
1150.0,316.09,324.32,318.06,324.3265336
1160.0,316.09,324.47,318.09,324.4684991
1170.0,316.09,324.66,318.12,324.663083475
1180.0,316.09,324.85,318.16,324.85766785
1190.0,316.09,325.05,318.2,325.052252225
1200.0,316.09,325.24,318.25,325.2468366
1210.0,316.09,325.44,318.29,325.44142097499997
1220.0,316.09,325.63,318.33,325.63600535
1230.0,316.09,325.83,318.38,325.830589725
1240.0,316.09,326.02,318.42,326.0251741
1250.0,316.09,326.21,318.47,326.219758475
1260.0,316.09,326.41,318.52,326.41434285
1270.0,316.09,326.6,318.56,326.608927225
1280.0,316.09,326.8,318.61,326.80351160000004
1290.0,316.1,326.99,318.66,326.998095975
1300.0,316.1,327.06,318.69,327.06962863611113
1310.0,316.1,326.95,318.7,326.9565837263889
1320.0,316.1,326.84,318.71,326.8435388166667
1330.0,316.1,326.73,318.72,326.73049390694445
1340.0,316.1,326.61,318.72,326.61744899722225
1350.0,316.1,326.5,318.73,326.5044040875
1360.0,316.1,326.39,318.73,326.3913591777778
1370.0,316.1,326.28,318.73,326.27831426805557
1380.0,316.11,326.16,318.73,326.1652693583333
1390.0,316.11,326.05,318.73,326.0522244486111
1400.0,316.11,325.94,318.73,325.9391795388889
1410.0,316.11,325.82,318.73,325.8261346291667
1420.0,316.11,325.71,318.72,325.71308971944444
1430.0,316.11,325.6,318.72,325.60004480972225
1440.0,316.12,325.49,318.71,325.4869999
1450.0,316.12,325.74,318.75,325.74339112222225
1460.0,316.12,326.0,318.79,325.99978234444444
1470.0,316.12,326.25,318.84,326.2561735666667
1480.0,316.12,326.51,318.89,326.5125647888889
1490.0,316.12,326.76,318.93,326.76895601111113
1500.0,316.13,327.02,318.98,327.0253472333333
1510.0,316.13,327.28,319.04,327.28173845555557
1520.0,316.13,327.53,319.09,327.53812967777776
1530.0,316.13,327.79,319.14,327.7945209
1540.0,316.14,328.05,319.2,328.0509121222222
1550.0,316.14,328.3,319.25,328.30730334444445
1560.0,316.14,328.56,319.31,328.56369456666664
1570.0,316.14,328.81,319.36,328.8200857888889
1580.0,316.15,329.07,319.42,329.07647701111114
1590.0,316.15,329.28,319.47,329.28826476666666
1600.0,316.15,329.46,319.52,329.4703168777778
1610.0,316.15,329.65,319.57,329.6523689888889
1620.0,316.16,329.83,319.62,329.8344211
1630.0,316.16,330.01,319.67,330.01647321111113
1640.0,316.16,330.19,319.73,330.1985253222222
1650.0,316.17,330.37,319.78,330.3805774333333
1660.0,316.17,330.56,319.83,330.56262954444446
1670.0,316.17,330.74,319.88,330.74468165555555
1680.0,316.18,330.92,319.93,330.92673376666664
1690.0,316.18,331.1,319.98,331.1087858777778
1700.0,316.18,331.28,320.03,331.2908379888889
1710.0,316.19,331.47,320.08,331.4728901
1720.0,316.19,331.65,320.14,331.6549422111111
1730.0,316.19,331.76,320.18,331.76761704166665
1740.0,316.2,331.6,320.19,331.60278275
1750.0,316.2,331.43,320.2,331.4379484583333
1760.0,316.2,331.27,320.2,331.2731141666667
1770.0,316.21,331.1,320.21,331.108279875
1780.0,316.21,330.94,320.21,330.94344558333336
1790.0,316.22,330.78,320.21,330.77861129166666
1800.0,316.22,330.61,320.21,330.613777
1810.0,316.23,330.45,320.2,330.44894270833333
1820.0,316.23,330.28,320.2,330.28410841666664
1830.0,316.23,330.12,320.19,330.119274125
1840.0,316.24,329.95,320.19,329.9544398333333
1850.0,316.24,329.79,320.18,329.7896055416667
1860.0,316.25,329.62,320.17,329.62477125
1870.0,316.25,329.46,320.16,329.45993695833334
1880.0,316.26,329.7,320.2,329.70298205555554
1890.0,316.26,330.04,320.25,330.047997
1900.0,316.27,330.39,320.31,330.3930119444444
1910.0,316.27,330.73,320.37,330.7380268888889
1920.0,316.28,331.08,320.43,331.0830418333333
1930.0,316.28,331.42,320.5,331.4280567777778
