Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,281.5565118,281.5565118,281.5565118,281.5565118
10.0,281.56,281.57,281.56,281.57245716805556
20.0,281.56,281.58,281.56,281.5884025361111
30.0,281.56,281.6,281.56,281.6043479041667
40.0,281.56,281.62,281.56,281.6202932722222
50.0,281.56,281.63,281.56,281.6362386402778
60.0,281.56,281.65,281.56,281.65218400833334
70.0,281.56,281.66,281.56,281.6681293763889
80.0,281.56,281.68,281.56,281.68407474444444
90.0,281.56,281.69,281.57,281.7000201125
100.0,281.56,281.71,281.57,281.71596548055555
110.0,281.56,281.72,281.57,281.7319108486111
120.0,281.56,281.74,281.57,281.74785621666666
130.0,281.56,281.76,281.57,281.7638015847222
140.0,281.56,281.77,281.57,281.77974695277777
150.0,281.56,281.65,281.57,281.6330985458333
160.0,281.56,281.43,281.56,281.3780542888889
170.0,281.56,281.19,281.55,281.12301003194443
180.0,281.56,280.94,281.54,280.867965775
190.0,281.56,280.7,281.52,280.61292151805554
200.0,281.56,280.45,281.5,280.35787726111107
210.0,281.56,280.2,281.48,280.10283300416665
220.0,281.56,279.95,281.46,279.8477887472222
230.0,281.56,279.7,281.44,279.59274449027777
240.0,281.56,279.45,281.42,279.3377002333333
250.0,281.56,279.2,281.39,279.0826559763889
260.0,281.56,278.95,281.37,278.8276117194444
270.0,281.56,278.7,281.34,278.5725674625
280.0,281.56,278.45,281.31,278.3175232055555
290.0,281.56,278.24,281.29,278.1030517333333
300.0,281.56,278.16,281.26,278.0508714
310.0,281.56,278.1,281.24,277.99869106666665
320.0,281.56,278.04,281.23,277.9465107333333
330.0,281.56,277.99,281.21,277.8943304
340.0,281.56,277.93,281.19,277.84215006666665
350.0,281.56,277.88,281.17,277.78996973333335
360.0,281.56,277.83,281.16,277.7377894
370.0,281.56,277.77,281.14,277.68560906666664
380.0,281.56,277.72,281.12,277.63342873333335
390.0,281.56,277.67,281.11,277.5812484
400.0,281.56,277.61,281.09,277.5290680666667
410.0,281.56,277.56,281.08,277.47688773333334
420.0,281.56,277.51,281.06,277.4247074
430.0,281.56,277.46,281.05,277.3725270666667
440.0,281.56,277.79,281.04,277.7955227722222
450.0,281.56,278.28,281.05,278.3373124875
460.0,281.56,278.8,281.07,278.8791022027778
470.0,281.56,279.32,281.09,279.4208919180556
480.0,281.56,279.84,281.12,279.9626816333334
490.0,281.56,280.36,281.15,280.50447134861116
500.0,281.56,280.89,281.18,281.0462610638889
510.0,281.56,281.42,281.22,281.5880507791667
520.0,281.56,281.95,281.26,282.12984049444447
530.0,281.56,282.48,281.3,282.67163020972225
540.0,281.56,283.01,281.34,283.21341992500004
550.0,281.56,283.54,281.39,283.7552096402778
560.0,281.56,284.07,281.44,284.29699935555556
570.0,281.56,284.6,281.49,284.83878907083334
580.0,281.56,284.86,281.53,285.0489978916667
590.0,281.56,284.67,281.55,284.76183537083335
600.0,281.56,284.42,281.57,284.47467285000005
610.0,281.56,284.16,281.58,284.1875103291667
620.0,281.56,283.89,281.58,283.9003478083333
630.0,281.56,283.62,281.59,283.6131852875
640.0,281.56,283.34,281.58,283.32602276666665
650.0,281.56,283.07,281.58,283.03886024583335
660.0,281.56,282.79,281.57,282.751697725
670.0,281.56,282.51,281.56,282.4645352041667
680.0,281.55,282.23,281.55,282.1773726833333
690.0,281.55,281.96,281.54,281.8902101625
700.0,281.55,281.68,281.52,281.60304764166665
710.0,281.55,281.4,281.51,281.31588512083334
720.0,281.55,281.12,281.49,281.0287226
730.0,281.55,281.36,281.49,281.38599976666666
740.0,281.55,281.68,281.5,281.74327693333333
750.0,281.55,282.02,281.51,282.1005541
760.0,281.55,282.36,281.53,282.45783126666663
770.0,281.55,282.71,281.55,282.8151084333333
780.0,281.55,283.05,281.57,283.1723856
790.0,281.55,283.4,281.6,283.52966276666666
800.0,281.55,283.75,281.62,283.88693993333334
810.0,281.55,284.09,281.65,284.2442171
820.0,281.55,284.44,281.69,284.6014942666667
830.0,281.55,284.79,281.72,284.95877143333337
840.0,281.55,285.14,281.75,285.31604860000004
850.0,281.55,285.49,281.79,285.67332576666666
860.0,281.55,285.84,281.83,286.03060293333334
870.0,281.55,286.06,281.86,286.22674068333333
880.0,281.55,286.17,281.89,286.3154521555556
890.0,281.55,286.27,281.92,286.4041636277778
900.0,281.55,286.36,281.95,286.4928751
910.0,281.55,286.45,281.97,286.58158657222225
920.0,281.54,286.54,282.0,286.67029804444445
930.0,281.54,286.63,282.02,286.7590095166667
940.0,281.54,286.72,282.04,286.8477209888889
950.0,281.54,286.81,282.07,286.9364324611111
960.0,281.54,286.9,282.09,287.02514393333337
970.0,281.54,286.99,282.12,287.11385540555557
980.0,281.54,287.08,282.14,287.20256687777777
990.0,281.54,287.17,282.16,287.29127835
1000.0,281.54,287.25,282.18,287.3799898222222
1010.0,281.54,287.39,282.21,287.53045035
1020.0,281.54,287.74,282.24,287.9279071
1030.0,281.54,288.12,282.28,288.32536385000003
1040.0,281.54,288.5,282.32,288.72282060000003
1050.0,281.54,288.89,282.36,289.12027735000004
1060.0,281.54,289.28,282.41,289.51773410000004
1070.0,281.53,289.67,282.45,289.91519085000004
1080.0,281.53,290.06,282.5,290.3126476
1090.0,281.53,290.45,282.55,290.71010435
1100.0,281.53,290.84,282.6,291.1075611
1110.0,281.53,291.23,282.66,291.50501785
1120.0,281.53,291.62,282.71,291.9024746
1130.0,281.53,292.01,282.76,292.29993135
1140.0,281.53,292.4,282.82,292.6973881
1150.0,281.53,292.79,282.88,293.09484485
1160.0,281.53,292.77,282.92,292.99362705000004
1170.0,281.53,292.6,282.95,292.7677406125
1180.0,281.53,292.4,282.98,292.541854175
1190.0,281.53,292.19,283.0,292.31596773750005
1200.0,281.53,291.97,283.02,292.0900813
1210.0,281.53,291.76,283.04,291.8641948625
1220.0,281.53,291.54,283.05,291.63830842500005
1230.0,281.53,291.33,283.06,291.4124219875
1240.0,281.53,291.11,283.07,291.18653555000003
1250.0,281.53,290.89,283.08,290.96064911250005
1260.0,281.53,290.67,283.09,290.734762675
1270.0,281.53,290.46,283.09,290.50887623750003
1280.0,281.53,290.24,283.09,290.28298980000005
1290.0,281.53,290.02,283.09,290.0571033625
1300.0,281.53,289.88,283.1,289.9344543444445
1310.0,281.53,289.89,283.11,289.9666614555556
1320.0,281.53,289.91,283.11,289.9988685666667
1330.0,281.53,289.94,283.13,290.0310756777778
1340.0,281.53,289.97,283.14,290.0632827888889
1350.0,281.53,290.0,283.15,290.0954899
1360.0,281.53,290.03,283.16,290.12769701111114
1370.0,281.53,290.06,283.18,290.1599041222222
1380.0,281.53,290.09,283.19,290.1921112333333
1390.0,281.53,290.12,283.2,290.22431834444444
1400.0,281.53,290.15,283.22,290.25652545555556
1410.0,281.53,290.18,283.23,290.2887325666667
1420.0,281.53,290.21,283.25,290.32093967777774
1430.0,281.53,290.25,283.26,290.35314678888886
1440.0,281.53,290.28,283.28,290.3853539
1450.0,281.53,290.44,283.3,290.58162233055555
1460.0,281.53,290.63,283.32,290.7778907611111
1470.0,281.53,290.82,283.34,290.9741591916667
1480.0,281.53,291.01,283.37,291.17042762222223
1490.0,281.54,291.2,283.39,291.36669605277774
1500.0,281.54,291.39,283.42,291.5629644833333
1510.0,281.54,291.58,283.45,291.75923291388887
1520.0,281.54,291.77,283.48,291.95550134444443
1530.0,281.54,291.97,283.51,292.151769775
1540.0,281.54,292.16,283.54,292.34803820555555
1550.0,281.54,292.35,283.57,292.5443066361111
1560.0,281.55,292.55,283.6,292.7405750666667
1570.0,281.55,292.74,283.64,292.93684349722224
1580.0,281.55,292.93,283.67,293.13311192777775
1590.0,281.55,293.07,283.7,293.2682855666667
1600.0,281.55,293.18,283.73,293.36272934444446
1610.0,281.56,293.27,283.76,293.45717312222223
1620.0,281.56,293.37,283.79,293.5516169
1630.0,281.56,293.46,283.82,293.64606067777777
1640.0,281.56,293.56,283.85,293.74050445555554
1650.0,281.56,293.65,283.88,293.8349482333333
1660.0,281.57,293.75,283.91,293.92939201111113
1670.0,281.57,293.84,283.94,294.0238357888889
1680.0,281.57,293.94,283.96,294.1182795666667
1690.0,281.58,294.03,283.99,294.21272334444444
1700.0,281.58,294.12,284.02,294.3071671222222
1710.0,281.58,294.22,284.05,294.40161090000004
1720.0,281.58,294.31,284.08,294.4960546777778
1730.0,281.59,294.4,284.11,294.58533859861114
1740.0,281.59,294.47,284.13,294.65398309166665
1750.0,281.59,294.54,284.16,294.7226275847222
1760.0,281.6,294.61,284.19,294.79127207777776
1770.0,281.6,294.68,284.22,294.8599165708333
1780.0,281.61,294.75,284.24,294.9285610638889
1790.0,281.61,294.82,284.27,294.99720555694444
1800.0,281.61,294.89,284.3,295.06585005
1810.0,281.62,294.95,284.32,295.13449454305555
1820.0,281.62,295.02,284.35,295.2031390361111
1830.0,281.62,295.09,284.38,295.27178352916667
1840.0,281.63,295.16,284.4,295.3404280222222
1850.0,281.63,295.23,284.43,295.4090725152778
1860.0,281.64,295.3,284.45,295.47771700833334
1870.0,281.64,295.37,284.48,295.54636150138884
1880.0,281.65,295.39,284.51,295.55913198888885
1890.0,281.65,295.39,284.53,295.55793397499997
1900.0,281.66,295.4,284.55,295.5567359611111
1910.0,281.66,295.4,284.57,295.5555379472222
1920.0,281.66,295.4,284.6,295.5543399333333
1930.0,281.67,295.4,284.62,295.55314191944444
1940.0,281.67,295.4,284.64,295.55194390555556
1950.0,281.68,295.4,284.66,295.5507458916667
1960.0,281.68,295.4,284.68,295.5495478777778
1970.0,281.69,295.4,284.7,295.5483498638889
1980.0,281.7,295.4,284.72,295.54715185
1990.0,281.7,295.4,284.74,295.5459538361111
2000.0,281.71,295.4,284.75,295.5447558222222
2010.0,281.71,295.4,284.77,295.54355780833333
2020.0,281.72,295.4,284.79,295.54594939444445
2030.0,281.72,295.41,284.81,295.5537253805556
2040.0,281.73,295.42,284.83,295.5615013666667
2050.0,281.73,295.42,284.85,295.56927735277776
2060.0,281.74,295.43,284.86,295.5770533388889
2070.0,281.75,295.44,284.88,295.584829325
2080.0,281.75,295.45,284.9,295.59260531111113
2090.0,281.76,295.46,284.92,295.6003812972222
2100.0,281.76,295.46,284.94,295.6081572833333
2110.0,281.77,295.47,284.95,295.61593326944444
2120.0,281.78,295.48,284.97,295.6237092555555
2130.0,281.78,295.49,284.99,295.63148524166667
2140.0,281.79,295.5,285.01,295.63926122777775
2150.0,281.8,295.51,285.02,295.6470372138889
