Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,200.0,200.0,200.0,200.0
10.0,200.0,200.12,200.01,200.15
20.0,200.0,200.26,200.02,200.3
30.0,200.0,200.41,200.03,200.45
40.0,200.0,200.55,200.04,200.6
50.0,200.0,200.7,200.05,200.75
60.0,200.0,200.84,200.07,200.9
70.0,200.0,200.99,200.08,201.05
80.0,200.0,201.13,200.1,201.2
90.0,200.0,201.28,200.11,201.35
100.0,200.0,201.43,200.13,201.5
110.0,200.0,201.57,200.15,201.65
120.0,200.0,201.72,200.17,201.8
130.0,200.0,201.87,200.18,201.95
140.0,200.0,202.02,200.2,202.1
150.0,200.0,202.16,200.22,202.25
160.0,200.0,202.31,200.24,202.4
170.0,200.0,202.46,200.26,202.55
180.0,200.0,202.61,200.28,202.7
190.0,200.0,202.75,200.31,202.85
200.0,200.0,202.9,200.33,203.0
210.0,200.0,203.05,200.35,203.15
220.0,200.0,203.2,200.37,203.3
230.0,200.0,203.34,200.4,203.45
240.0,200.0,203.49,200.42,203.6
250.0,200.0,203.64,200.44,203.75
260.0,200.0,203.79,200.47,203.9
270.0,200.0,203.93,200.49,204.05
280.0,200.0,204.08,200.52,204.2
290.0,200.0,204.23,200.54,204.35
300.0,200.0,204.38,200.57,204.5
310.0,200.0,204.53,200.59,204.65
320.0,200.0,204.67,200.62,204.8
330.0,200.0,204.82,200.65,204.95
340.0,200.0,204.97,200.67,205.1
350.0,200.0,205.12,200.7,205.25
360.0,200.0,205.26,200.73,205.4
370.0,200.0,205.41,200.76,205.55
380.0,200.0,205.56,200.78,205.7
390.0,200.0,205.71,200.81,205.85
400.0,200.0,205.86,200.84,206.0
410.0,200.0,206.01,200.87,206.15
420.0,200.0,206.15,200.9,206.3
430.0,200.0,206.3,200.93,206.45
440.0,200.0,206.45,200.96,206.6
450.0,200.0,206.6,200.99,206.75
460.0,200.0,206.75,201.02,206.9
470.0,200.0,206.89,201.05,207.05
480.0,200.0,207.04,201.08,207.2
490.0,200.0,207.19,201.11,207.35
500.0,200.0,207.34,201.14,207.5
510.0,200.0,207.49,201.17,207.65
520.0,200.0,207.63,201.2,207.8
530.0,200.0,207.78,201.24,207.95
540.0,200.0,207.93,201.27,208.1
550.0,200.0,208.08,201.3,208.25
560.0,200.0,208.23,201.33,208.4
570.0,200.0,208.38,201.37,208.55
580.0,200.0,208.52,201.4,208.7
590.0,200.0,208.67,201.43,208.85
600.0,200.0,208.82,201.47,209.0
610.0,200.01,208.97,201.5,209.15
620.0,200.01,209.12,201.53,209.3
630.0,200.01,209.27,201.57,209.45
640.0,200.01,209.41,201.6,209.6
650.0,200.01,209.56,201.64,209.75
660.0,200.01,209.71,201.67,209.9
670.0,200.01,209.86,201.71,210.05
680.0,200.01,210.01,201.74,210.2
690.0,200.01,210.16,201.78,210.35
700.0,200.01,210.3,201.81,210.5
710.0,200.01,210.45,201.85,210.65
720.0,200.01,210.6,201.88,210.8
730.0,200.01,210.75,201.92,210.95
740.0,200.02,210.9,201.96,211.1
750.0,200.02,211.05,201.99,211.25
760.0,200.02,211.19,202.03,211.4
770.0,200.02,211.34,202.07,211.55
780.0,200.02,211.49,202.1,211.7
790.0,200.02,211.64,202.14,211.85
800.0,200.02,211.79,202.18,212.0
810.0,200.03,211.94,202.22,212.15
820.0,200.03,212.09,202.25,212.3
830.0,200.03,212.23,202.29,212.45
840.0,200.03,212.38,202.33,212.6
850.0,200.03,212.53,202.37,212.75
860.0,200.03,212.68,202.41,212.9
870.0,200.04,212.83,202.44,213.05
880.0,200.04,212.98,202.48,213.2
890.0,200.04,213.12,202.52,213.35
900.0,200.04,213.27,202.56,213.5
910.0,200.04,213.42,202.6,213.65
920.0,200.05,213.57,202.64,213.8
930.0,200.05,213.72,202.68,213.95
940.0,200.05,213.87,202.72,214.1
950.0,200.06,214.02,202.76,214.25
960.0,200.06,214.16,202.8,214.4
970.0,200.06,214.31,202.84,214.55
980.0,200.06,214.46,202.88,214.7
990.0,200.07,214.61,202.92,214.85
1000.0,200.07,214.76,202.96,215.0
