Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,324.0,324.0,324.0,324.0
10.0,324.0,325.27,324.13,325.26666666666665
20.0,324.0,326.53,324.28,326.53333333333336
30.0,324.0,327.8,324.45,327.8
40.0,324.0,329.07,324.63,329.06666666666666
50.0,324.0,330.33,324.81,330.3333333333333
60.0,324.0,331.6,325.0,331.6
70.0,324.0,332.87,325.2,332.8666666666667
80.0,324.0,334.13,325.4,334.1333333333333
90.0,324.0,335.4,325.61,335.4
100.0,324.0,336.67,325.83,336.6666666666667
110.0,324.0,337.93,326.05,337.93333333333334
120.0,324.0,339.2,326.27,339.2
130.0,324.0,340.47,326.5,340.4666666666667
140.0,324.0,341.73,326.73,341.73333333333335
150.0,324.0,343.0,326.96,343.0
160.0,324.0,344.27,327.2,344.26666666666665
170.0,324.0,345.53,327.44,345.53333333333336
180.0,324.0,346.8,327.69,346.8
190.0,324.0,348.07,327.94,348.06666666666666
200.0,324.0,349.33,328.19,349.3333333333333
210.0,324.0,350.6,328.44,350.6
220.0,324.0,351.87,328.7,351.8666666666667
230.0,324.0,353.13,328.96,353.1333333333333
240.0,324.0,354.4,329.23,354.4
250.0,324.0,355.67,329.49,355.6666666666667
260.0,324.0,356.93,329.76,356.93333333333334
270.0,324.0,358.2,330.04,358.2
280.0,324.0,359.47,330.31,359.4666666666667
290.0,324.0,360.73,330.59,360.73333333333335
300.0,324.0,362.0,330.87,362.0
310.0,324.0,363.27,331.15,363.26666666666665
320.0,324.0,364.53,331.43,364.53333333333336
330.0,324.0,365.8,331.72,365.8
340.0,324.0,367.07,332.01,367.06666666666666
350.0,324.0,368.33,332.3,368.3333333333333
360.0,324.0,369.6,332.59,369.6
370.0,324.0,370.87,332.88,370.8666666666667
380.0,324.0,372.13,333.18,372.1333333333333
390.0,324.0,373.4,333.47,373.4
400.0,324.0,374.67,333.77,374.6666666666667
410.0,324.0,375.93,334.07,375.93333333333334
420.0,324.0,377.2,334.38,377.2
430.0,324.0,378.47,334.68,378.4666666666667
440.0,324.0,379.73,334.99,379.73333333333335
450.0,324.0,381.0,335.3,381.0
460.0,324.0,382.27,335.61,382.26666666666665
470.0,324.0,383.53,335.92,383.53333333333336
480.0,324.0,384.8,336.24,384.8
490.0,324.0,386.07,336.55,386.06666666666666
500.0,324.0,387.33,336.87,387.3333333333333
510.0,324.01,388.6,337.19,388.6
520.0,324.01,389.87,337.51,389.8666666666667
530.0,324.01,391.13,337.84,391.1333333333333
540.0,324.01,392.4,338.17,392.4
550.0,324.01,393.67,338.49,393.6666666666667
560.0,324.01,394.93,338.82,394.93333333333334
570.0,324.01,396.2,339.15,396.2
580.0,324.01,397.47,339.49,397.4666666666667
590.0,324.02,398.73,339.82,398.73333333333335
600.0,324.02,400.0,340.16,400.0
610.0,324.02,401.27,340.5,401.26666666666665
620.0,324.02,402.53,340.83,402.53333333333336
630.0,324.02,403.8,341.18,403.8
640.0,324.03,405.07,341.52,405.06666666666666
650.0,324.03,406.33,341.86,406.33333333333337
660.0,324.03,407.6,342.21,407.6
670.0,324.03,408.87,342.56,408.8666666666667
680.0,324.04,410.13,342.9,410.1333333333333
690.0,324.04,411.4,343.25,411.4
700.0,324.05,412.67,343.61,412.6666666666667
710.0,324.05,413.93,343.95,413.93333333333334
720.0,324.05,415.2,344.3,415.2
730.0,324.06,416.47,344.65,416.4666666666667
740.0,324.06,417.73,345.0,417.73333333333335
750.0,324.07,419.0,345.35,419.0
760.0,324.07,420.27,345.7,420.26666666666665
770.0,324.08,421.53,346.06,421.53333333333336
780.0,324.09,422.8,346.42,422.8
790.0,324.09,424.07,346.78,424.06666666666666
800.0,324.1,425.33,347.14,425.33333333333337
810.0,324.11,426.6,347.5,426.6
820.0,324.11,427.87,347.86,427.8666666666667
830.0,324.12,429.13,348.22,429.1333333333333
840.0,324.13,430.4,348.59,430.4
850.0,324.14,431.67,348.96,431.6666666666667
860.0,324.15,432.93,349.33,432.93333333333334
870.0,324.16,434.2,349.7,434.2
880.0,324.17,435.47,350.07,435.4666666666667
890.0,324.18,436.73,350.44,436.73333333333335
900.0,324.19,438.0,350.82,438.0
910.0,324.2,439.27,351.19,439.26666666666665
920.0,324.21,440.53,351.57,440.53333333333336
930.0,324.22,441.8,351.95,441.8
940.0,324.24,443.07,352.33,443.06666666666666
950.0,324.25,444.33,352.71,444.33333333333337
960.0,324.26,445.6,353.09,445.6
970.0,324.28,446.87,353.47,446.8666666666667
980.0,324.29,448.13,353.86,448.1333333333333
990.0,324.31,449.4,354.24,449.4
1000.0,324.32,450.67,354.63,450.6666666666667
1010.0,324.34,451.93,355.02,451.93333333333334
1020.0,324.36,453.2,355.41,453.20000000000005
1030.0,324.37,454.47,355.8,454.4666666666667
1040.0,324.39,455.73,356.19,455.73333333333335
1050.0,324.41,457.0,356.58,457.0
1060.0,324.43,458.27,356.98,458.26666666666665
1070.0,324.45,459.53,357.37,459.5333333333333
1080.0,324.47,460.8,357.76,460.8
1090.0,324.49,462.07,358.16,462.0666666666667
1100.0,324.51,463.33,358.55,463.33333333333337
1110.0,324.53,464.6,358.95,464.6
1120.0,324.56,465.87,359.35,465.8666666666667
