Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,165.0,165.0,165.0,165.0
10.0,165.0,165.25,165.03,165.25
20.0,165.0,165.5,165.06,165.5
30.0,165.0,165.75,165.1,165.75
40.0,165.0,166.0,165.14,166.0
50.0,165.0,166.25,165.18,166.25
60.0,165.0,166.5,165.22,166.5
70.0,165.0,166.75,165.26,166.75
80.0,165.0,167.0,165.3,167.0
90.0,165.0,167.25,165.34,167.25
100.0,165.0,167.5,165.39,167.5
110.0,165.0,167.75,165.44,167.75
120.0,165.0,168.0,165.48,168.0
130.0,165.0,168.25,165.53,168.25
140.0,165.0,168.5,165.58,168.5
150.0,165.0,168.75,165.63,168.75
160.0,165.0,169.0,165.68,169.0
170.0,165.0,169.25,165.73,169.25
180.0,165.0,169.5,165.78,169.5
190.0,165.0,169.75,165.84,169.75
200.0,165.0,170.0,165.89,170.0
210.0,165.0,170.25,165.94,170.25
220.0,165.0,170.5,166.0,170.5
230.0,165.0,170.75,166.05,170.75
240.0,165.0,171.0,166.11,171.0
250.0,165.0,171.25,166.17,171.25
260.0,165.0,171.5,166.22,171.5
270.0,165.0,171.74,166.28,171.75
280.0,165.0,171.99,166.34,172.0
290.0,165.0,172.24,166.4,172.25
300.0,165.0,172.49,166.46,172.5
310.0,165.0,172.74,166.52,172.75
320.0,165.0,172.99,166.58,173.0
330.0,165.0,173.24,166.64,173.25
340.0,165.0,173.49,166.7,173.5
350.0,165.0,173.74,166.76,173.75
360.0,165.0,173.99,166.82,174.0
370.0,165.0,174.24,166.89,174.25
380.0,165.0,174.49,166.95,174.5
390.0,165.0,174.74,167.01,174.75
400.0,165.0,174.99,167.08,175.0
410.0,165.0,175.24,167.14,175.25
420.0,165.0,175.49,167.21,175.5
430.0,165.0,175.74,167.27,175.75
440.0,165.0,175.99,167.34,176.0
450.0,165.0,176.24,167.4,176.25
460.0,165.0,176.49,167.47,176.5
470.0,165.0,176.74,167.54,176.75
480.0,165.0,176.99,167.6,177.0
490.0,165.0,177.24,167.67,177.25
500.0,165.0,177.49,167.74,177.5
510.0,165.0,177.74,167.81,177.75
520.0,165.0,177.99,167.88,178.0
530.0,165.01,178.24,167.95,178.25
540.0,165.01,178.49,168.02,178.5
550.0,165.01,178.74,168.09,178.75
560.0,165.01,178.99,168.16,179.0
570.0,165.01,179.24,168.23,179.25
580.0,165.01,179.49,168.3,179.5
590.0,165.01,179.74,168.37,179.75
600.0,165.01,179.99,168.44,180.0
610.0,165.01,180.24,168.52,180.25
620.0,165.01,180.49,168.59,180.5
630.0,165.01,180.74,168.66,180.75
640.0,165.02,180.99,168.74,181.0
650.0,165.02,181.24,168.81,181.25
660.0,165.02,181.49,168.88,181.5
670.0,165.02,181.74,168.96,181.75
680.0,165.02,181.99,169.03,182.0
690.0,165.02,182.24,169.11,182.25
700.0,165.03,182.49,169.18,182.5
710.0,165.03,182.74,169.26,182.75
720.0,165.03,182.99,169.33,183.0
730.0,165.03,183.24,169.41,183.25
740.0,165.04,183.49,169.49,183.5
750.0,165.04,183.74,169.56,183.75
760.0,165.04,183.99,169.64,184.0
770.0,165.04,184.24,169.72,184.25
780.0,165.05,184.49,169.8,184.5
790.0,165.05,184.74,169.87,184.75
800.0,165.05,184.99,169.95,185.0
810.0,165.06,185.24,170.03,185.25
820.0,165.06,185.49,170.11,185.5
830.0,165.06,185.74,170.19,185.75
840.0,165.07,185.99,170.27,186.0
850.0,165.07,186.24,170.35,186.25
860.0,165.07,186.49,170.43,186.5
870.0,165.08,186.74,170.51,186.75
880.0,165.08,186.99,170.59,187.0
890.0,165.09,187.24,170.67,187.25
900.0,165.09,187.49,170.75,187.5
910.0,165.1,187.74,170.83,187.75
920.0,165.1,187.99,170.92,188.0
930.0,165.11,188.24,171.0,188.25
940.0,165.11,188.49,171.08,188.5
950.0,165.12,188.74,171.16,188.75
960.0,165.12,188.99,171.25,189.0
970.0,165.13,189.24,171.33,189.25
980.0,165.14,189.49,171.41,189.5
990.0,165.14,189.74,171.5,189.75
1000.0,165.15,189.99,171.58,190.0
1010.0,165.15,190.24,171.66,190.25
1020.0,165.16,190.49,171.75,190.5
1030.0,165.17,190.74,171.83,190.75
1040.0,165.18,190.99,171.92,191.0
1050.0,165.18,191.24,172.0,191.25
1060.0,165.19,191.49,172.09,191.5
1070.0,165.2,191.74,172.18,191.75
1080.0,165.21,191.99,172.26,192.0
1090.0,165.22,192.24,172.35,192.25
1100.0,165.22,192.49,172.43,192.5
1110.0,165.23,192.74,172.52,192.75
1120.0,165.24,192.99,172.61,193.0
1130.0,165.25,193.24,172.69,193.25
1140.0,165.26,193.49,172.78,193.5
1150.0,165.27,193.74,172.87,193.75
1160.0,165.28,193.99,172.96,194.0
1170.0,165.29,194.24,173.05,194.25
1180.0,165.3,194.49,173.13,194.5
1190.0,165.31,194.74,173.22,194.75
1200.0,165.32,194.99,173.31,195.0
1210.0,165.33,195.24,173.4,195.25
1220.0,165.34,195.49,173.49,195.5
1230.0,165.35,195.74,173.58,195.75
1240.0,165.36,195.99,173.67,196.0
1250.0,165.38,196.24,173.76,196.25
1260.0,165.39,196.49,173.85,196.5
1270.0,165.4,196.74,173.94,196.75
1280.0,165.41,196.99,174.03,197.0
1290.0,165.42,197.24,174.12,197.25
1300.0,165.44,197.49,174.21,197.5
1310.0,165.45,197.74,174.31,197.75
1320.0,165.46,197.99,174.4,198.0
1330.0,165.48,198.24,174.49,198.25
1340.0,165.49,198.49,174.58,198.5
1350.0,165.51,198.74,174.67,198.75
1360.0,165.52,198.99,174.77,199.0
1370.0,165.53,199.24,174.86,199.25
1380.0,165.55,199.49,174.95,199.5
1390.0,165.56,199.74,175.05,199.75
1400.0,165.58,199.99,175.14,200.0
1410.0,165.59,200.24,175.23,200.25
1420.0,165.61,200.49,175.33,200.5
1430.0,165.63,200.74,175.42,200.75
1440.0,165.64,200.99,175.52,201.0
1450.0,165.66,201.24,175.61,201.25
1460.0,165.68,201.49,175.7,201.5
1470.0,165.69,201.74,175.8,201.75
1480.0,165.71,201.99,175.9,202.0
1490.0,165.73,202.24,175.99,202.25
1500.0,165.75,202.49,176.09,202.5
1510.0,165.76,202.74,176.18,202.75
1520.0,165.78,202.99,176.28,203.0
1530.0,165.8,203.24,176.37,203.25
1540.0,165.82,203.49,176.47,203.5
1550.0,165.84,203.74,176.57,203.75
1560.0,165.86,203.99,176.66,204.0
1570.0,165.88,204.24,176.76,204.25
1580.0,165.9,204.49,176.86,204.5
1590.0,165.92,204.74,176.96,204.75
1600.0,165.94,204.99,177.05,205.0
1610.0,165.96,205.24,177.15,205.25
1620.0,165.98,205.49,177.25,205.5
1630.0,166.0,205.74,177.35,205.75
1640.0,166.02,205.99,177.45,206.0
1650.0,166.04,206.24,177.55,206.25
1660.0,166.06,206.49,177.65,206.5
1670.0,166.09,206.74,177.75,206.75
1680.0,166.11,206.99,177.84,207.0
1690.0,166.13,207.24,177.94,207.25
1700.0,166.15,207.49,178.04,207.5
1710.0,166.18,207.74,178.14,207.75
1720.0,166.2,207.99,178.24,208.0
1730.0,166.22,208.24,178.34,208.25
1740.0,166.25,208.49,178.45,208.5
