Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
10.0,300.0,300.09,300.01,300.1111111111111
20.0,300.0,300.19,300.01,300.22222222222223
30.0,300.0,300.3,300.02,300.3333333333333
40.0,300.0,300.41,300.03,300.44444444444446
50.0,300.0,300.52,300.04,300.55555555555554
60.0,300.0,300.62,300.05,300.6666666666667
70.0,300.0,300.73,300.06,300.77777777777777
80.0,300.0,300.84,300.07,300.8888888888889
90.0,300.0,300.95,300.08,301.0
100.0,300.0,301.06,300.09,301.1111111111111
110.0,300.0,301.17,300.11,301.22222222222223
120.0,300.0,301.28,300.12,301.3333333333333
130.0,300.0,301.39,300.13,301.44444444444446
140.0,300.0,301.49,300.14,301.55555555555554
150.0,300.0,301.6,300.16,301.6666666666667
160.0,300.0,301.71,300.17,301.77777777777777
170.0,300.0,301.82,300.19,301.8888888888889
180.0,300.0,301.93,300.2,302.0
190.0,300.0,302.04,300.22,302.1111111111111
200.0,300.0,302.15,300.23,302.22222222222223
210.0,300.0,302.26,300.25,302.3333333333333
220.0,300.0,302.37,300.27,302.44444444444446
230.0,300.0,302.48,300.28,302.55555555555554
240.0,300.0,302.59,300.3,302.6666666666667
250.0,300.0,302.7,300.32,302.77777777777777
260.0,300.0,302.81,300.33,302.8888888888889
270.0,300.0,302.92,300.35,303.0
280.0,300.0,303.03,300.37,303.1111111111111
290.0,300.0,303.13,300.39,303.22222222222223
300.0,300.0,303.24,300.4,303.3333333333333
310.0,300.0,303.35,300.42,303.44444444444446
320.0,300.0,303.46,300.44,303.55555555555554
330.0,300.0,303.57,300.46,303.6666666666667
340.0,300.0,303.68,300.48,303.77777777777777
350.0,300.0,303.79,300.5,303.8888888888889
360.0,300.0,303.9,300.52,304.0
370.0,300.0,304.01,300.54,304.1111111111111
380.0,300.0,304.12,300.56,304.22222222222223
390.0,300.0,304.23,300.58,304.3333333333333
400.0,300.0,304.34,300.6,304.44444444444446
410.0,300.0,304.45,300.62,304.55555555555554
420.0,300.0,304.56,300.64,304.6666666666667
430.0,300.0,304.67,300.66,304.77777777777777
440.0,300.0,304.78,300.68,304.8888888888889
450.0,300.0,304.89,300.7,305.0
460.0,300.0,305.0,300.72,305.1111111111111
470.0,300.0,305.11,300.74,305.22222222222223
480.0,300.0,305.22,300.76,305.3333333333333
490.0,300.0,305.33,300.79,305.44444444444446
500.0,300.0,305.44,300.81,305.55555555555554
510.0,300.0,305.55,300.83,305.6666666666667
520.0,300.0,305.66,300.85,305.77777777777777
530.0,300.0,305.77,300.88,305.8888888888889
540.0,300.0,305.88,300.9,306.0
550.0,300.0,305.99,300.92,306.1111111111111
560.0,300.0,306.1,300.94,306.22222222222223
570.0,300.0,306.21,300.97,306.3333333333333
580.0,300.0,306.32,300.99,306.44444444444446
590.0,300.0,306.43,301.01,306.55555555555554
600.0,300.0,306.54,301.04,306.6666666666667
610.0,300.0,306.65,301.06,306.77777777777777
620.0,300.0,306.76,301.09,306.8888888888889
630.0,300.0,306.87,301.11,307.0
640.0,300.0,306.98,301.13,307.1111111111111
650.0,300.0,307.09,301.16,307.22222222222223
660.0,300.0,307.2,301.18,307.3333333333333
670.0,300.0,307.31,301.21,307.44444444444446
680.0,300.0,307.42,301.23,307.55555555555554
690.0,300.0,307.53,301.26,307.6666666666667
700.0,300.0,307.64,301.28,307.77777777777777
710.0,300.01,307.75,301.31,307.8888888888889
720.0,300.01,307.86,301.33,308.0
730.0,300.01,307.97,301.36,308.1111111111111
740.0,300.01,308.08,301.38,308.22222222222223
750.0,300.01,308.19,301.41,308.3333333333333
760.0,300.01,308.3,301.44,308.44444444444446
770.0,300.01,308.41,301.46,308.55555555555554
780.0,300.01,308.52,301.49,308.6666666666667
790.0,300.01,308.63,301.51,308.77777777777777
800.0,300.01,308.74,301.54,308.8888888888889
810.0,300.01,308.85,301.57,309.0
820.0,300.01,308.96,301.59,309.1111111111111
830.0,300.01,309.07,301.62,309.22222222222223
840.0,300.01,309.18,301.65,309.3333333333333
850.0,300.01,309.29,301.68,309.44444444444446
860.0,300.01,309.4,301.7,309.55555555555554
870.0,300.02,309.51,301.73,309.6666666666667
880.0,300.02,309.62,301.76,309.77777777777777
890.0,300.02,309.73,301.78,309.8888888888889
900.0,300.02,309.84,301.81,310.0
910.0,300.02,309.95,301.84,310.1111111111111
920.0,300.02,310.06,301.87,310.22222222222223
930.0,300.02,310.17,301.9,310.3333333333333
940.0,300.02,310.28,301.92,310.44444444444446
950.0,300.03,310.39,301.95,310.55555555555554
960.0,300.03,310.5,301.98,310.6666666666667
970.0,300.03,310.61,302.01,310.77777777777777
980.0,300.03,310.72,302.04,310.8888888888889
990.0,300.03,310.83,302.07,311.0
1000.0,300.03,310.94,302.1,311.1111111111111
1010.0,300.03,311.05,302.12,311.22222222222223
1020.0,300.04,311.16,302.15,311.3333333333333
1030.0,300.04,311.27,302.18,311.44444444444446
1040.0,300.04,311.38,302.21,311.55555555555554
1050.0,300.04,311.49,302.24,311.6666666666667
1060.0,300.04,311.6,302.27,311.77777777777777
1070.0,300.04,311.71,302.3,311.8888888888889
1080.0,300.05,311.82,302.33,312.0
1090.0,300.05,311.93,302.36,312.1111111111111
1100.0,300.05,312.04,302.39,312.22222222222223
1110.0,300.05,312.15,302.42,312.3333333333333
1120.0,300.06,312.26,302.45,312.44444444444446
1130.0,300.06,312.37,302.48,312.55555555555554
1140.0,300.06,312.48,302.51,312.6666666666667
1150.0,300.06,312.59,302.54,312.77777777777777
1160.0,300.07,312.7,302.57,312.8888888888889
1170.0,300.07,312.81,302.6,313.0
1180.0,300.07,312.92,302.63,313.1111111111111
1190.0,300.07,313.03,302.67,313.22222222222223
1200.0,300.08,313.14,302.7,313.3333333333333
1210.0,300.08,313.25,302.73,313.44444444444446
1220.0,300.08,313.36,302.76,313.55555555555554
1230.0,300.08,313.47,302.79,313.6666666666667
1240.0,300.09,313.58,302.82,313.77777777777777
1250.0,300.09,313.69,302.85,313.8888888888889
1260.0,300.09,313.8,302.88,314.0
1270.0,300.1,313.91,302.92,314.1111111111111
1280.0,300.1,314.02,302.95,314.22222222222223
1290.0,300.1,314.13,302.98,314.3333333333333
1300.0,300.11,314.24,303.01,314.44444444444446
1310.0,300.11,314.35,303.04,314.55555555555554
1320.0,300.12,314.46,303.08,314.6666666666667
1330.0,300.12,314.57,303.11,314.77777777777777
1340.0,300.12,314.68,303.14,314.8888888888889
1350.0,300.13,314.79,303.17,315.0
1360.0,300.13,314.9,303.21,315.1111111111111
1370.0,300.13,315.01,303.24,315.22222222222223
1380.0,300.14,315.12,303.27,315.3333333333333
1390.0,300.14,315.23,303.3,315.44444444444446
1400.0,300.15,315.34,303.34,315.55555555555554
1410.0,300.15,315.45,303.37,315.6666666666667
1420.0,300.16,315.56,303.4,315.77777777777777
1430.0,300.16,315.67,303.44,315.8888888888889
1440.0,300.16,315.78,303.47,316.0
1450.0,300.17,315.89,303.5,316.1111111111111
1460.0,300.17,316.0,303.54,316.22222222222223
1470.0,300.18,316.11,303.57,316.3333333333333
1480.0,300.18,316.22,303.61,316.44444444444446
1490.0,300.19,316.33,303.64,316.55555555555554
1500.0,300.19,316.44,303.67,316.6666666666667
1510.0,300.2,316.55,303.71,316.77777777777777
1520.0,300.2,316.66,303.74,316.8888888888889
1530.0,300.21,316.77,303.78,317.0
1540.0,300.22,316.89,303.81,317.1111111111111
1550.0,300.22,317.0,303.84,317.22222222222223
1560.0,300.23,317.11,303.88,317.3333333333333
1570.0,300.23,317.22,303.91,317.44444444444446
1580.0,300.24,317.33,303.95,317.55555555555554
1590.0,300.24,317.44,303.98,317.6666666666667
1600.0,300.25,317.55,304.02,317.77777777777777
1610.0,300.26,317.66,304.05,317.8888888888889
1620.0,300.26,317.77,304.09,318.0
1630.0,300.27,317.88,304.12,318.1111111111111
1640.0,300.27,317.99,304.16,318.22222222222223
1650.0,300.28,318.1,304.19,318.3333333333333
1660.0,300.29,318.21,304.23,318.44444444444446
1670.0,300.29,318.32,304.26,318.55555555555554
1680.0,300.3,318.43,304.3,318.6666666666667
1690.0,300.31,318.54,304.34,318.77777777777777
1700.0,300.31,318.65,304.37,318.8888888888889
1710.0,300.32,318.76,304.41,319.0
1720.0,300.33,318.87,304.44,319.1111111111111
1730.0,300.34,318.98,304.48,319.22222222222223
1740.0,300.34,319.09,304.51,319.3333333333333
1750.0,300.35,319.2,304.55,319.44444444444446
1760.0,300.36,319.31,304.59,319.55555555555554
1770.0,300.36,319.42,304.62,319.6666666666667
1780.0,300.37,319.53,304.66,319.77777777777777
1790.0,300.38,319.64,304.7,319.8888888888889
1800.0,300.39,319.75,304.73,320.0
1810.0,300.4,319.77,304.76,320.0
1820.0,300.4,319.78,304.79,320.0
1830.0,300.41,319.78,304.82,320.0
1840.0,300.42,319.78,304.85,320.0
1850.0,300.43,319.79,304.88,320.0
1860.0,300.44,319.79,304.91,320.0
1870.0,300.44,319.79,304.93,320.0
1880.0,300.45,319.79,304.96,320.0
1890.0,300.46,319.79,304.99,320.0
1900.0,300.47,319.79,305.01,320.0
1910.0,300.48,319.8,305.04,320.0
1920.0,300.49,319.8,305.06,320.0
1930.0,300.5,319.8,305.09,320.0
1940.0,300.51,319.8,305.11,320.0
1950.0,300.51,319.8,305.13,320.0
1960.0,300.52,319.8,305.16,320.0
1970.0,300.53,319.8,305.18,320.0
1980.0,300.54,319.8,305.2,320.0
1990.0,300.55,319.81,305.23,320.0
2000.0,300.56,319.81,305.25,320.0
2010.0,300.57,319.81,305.27,320.0
2020.0,300.58,319.81,305.29,320.0
2030.0,300.59,319.81,305.32,320.0
2040.0,300.6,319.81,305.34,320.0
2050.0,300.61,319.81,305.36,320.0
2060.0,300.62,319.81,305.38,320.0
2070.0,300.63,319.81,305.4,320.0
2080.0,300.64,319.81,305.42,320.0
2090.0,300.65,319.81,305.45,320.0
2100.0,300.66,319.81,305.47,320.0
2110.0,300.67,319.82,305.49,320.0
2120.0,300.68,319.82,305.51,320.0
2130.0,300.69,319.82,305.53,320.0
2140.0,300.71,319.82,305.55,320.0
2150.0,300.72,319.82,305.57,320.0
2160.0,300.73,319.82,305.59,320.0
2170.0,300.74,319.82,305.61,320.0
2180.0,300.75,319.82,305.63,320.0
2190.0,300.76,319.82,305.65,320.0
2200.0,300.77,319.82,305.67,320.0
