Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,200.0,200.0,200.0,200.0
10.0,200.0,200.15,200.01,200.1851851851852
20.0,200.0,200.32,200.03,200.37037037037038
30.0,200.0,200.5,200.04,200.55555555555554
40.0,200.0,200.68,200.06,200.74074074074073
50.0,200.0,200.86,200.08,200.92592592592592
60.0,200.0,201.04,200.1,201.11111111111111
70.0,200.0,201.22,200.13,201.2962962962963
80.0,200.0,201.4,200.15,201.4814814814815
90.0,200.0,201.58,200.17,201.66666666666666
100.0,200.0,201.76,200.2,201.85185185185185
110.0,200.0,201.94,200.22,202.03703703703704
120.0,200.0,202.13,200.25,202.22222222222223
130.0,200.0,202.31,200.28,202.40740740740742
140.0,200.0,202.49,200.31,202.59259259259258
150.0,200.0,202.67,200.33,202.77777777777777
160.0,200.0,202.85,200.36,202.96296296296296
170.0,200.0,203.04,200.39,203.14814814814815
180.0,200.0,203.22,200.42,203.33333333333334
190.0,200.0,203.4,200.46,203.5185185185185
200.0,200.0,203.58,200.49,203.7037037037037
210.0,200.0,203.76,200.52,203.88888888888889
220.0,200.0,203.95,200.55,204.07407407407408
230.0,200.0,204.13,200.58,204.25925925925927
240.0,200.0,204.31,200.62,204.44444444444446
250.0,200.0,204.49,200.65,204.62962962962962
260.0,200.0,204.68,200.69,204.8148148148148
270.0,200.0,204.86,200.72,205.0
280.0,200.0,205.04,200.76,205.1851851851852
290.0,200.0,205.22,200.79,205.37037037037038
300.0,200.0,205.41,200.83,205.55555555555554
310.0,200.0,205.59,200.86,205.74074074074073
320.0,200.0,205.77,200.9,205.92592592592592
330.0,200.0,205.95,200.94,206.11111111111111
340.0,200.0,206.14,200.98,206.2962962962963
350.0,200.0,206.32,201.01,206.48148148148147
360.0,200.0,206.5,201.05,206.66666666666666
370.0,200.0,206.68,201.09,206.85185185185185
380.0,200.0,206.87,201.13,207.03703703703704
390.0,200.0,207.05,201.17,207.22222222222223
400.0,200.0,207.23,201.21,207.40740740740742
410.0,200.0,207.42,201.25,207.59259259259258
420.0,200.0,207.6,201.29,207.77777777777777
430.0,200.0,207.78,201.33,207.96296296296296
440.0,200.0,207.96,201.37,208.14814814814815
450.0,200.0,208.15,201.41,208.33333333333334
460.0,200.0,208.33,201.45,208.5185185185185
470.0,200.0,208.51,201.49,208.7037037037037
480.0,200.0,208.7,201.54,208.88888888888889
490.0,200.0,208.88,201.58,209.07407407407408
500.0,200.0,209.06,201.62,209.25925925925927
510.0,200.0,209.24,201.66,209.44444444444446
520.0,200.0,209.43,201.71,209.62962962962962
530.0,200.0,209.61,201.75,209.8148148148148
540.0,200.0,209.79,201.8,210.0
550.0,200.0,209.98,201.84,210.1851851851852
560.0,200.0,210.16,201.88,210.37037037037038
570.0,200.0,210.34,201.93,210.55555555555554
580.0,200.0,210.53,201.97,210.74074074074073
590.0,200.01,210.71,202.02,210.92592592592592
600.0,200.01,210.89,202.06,211.11111111111111
610.0,200.01,211.08,202.11,211.2962962962963
620.0,200.01,211.26,202.15,211.48148148148147
630.0,200.01,211.44,202.2,211.66666666666666
640.0,200.01,211.62,202.25,211.85185185185185
650.0,200.01,211.81,202.29,212.03703703703704
660.0,200.01,211.99,202.34,212.22222222222223
670.0,200.01,212.17,202.39,212.40740740740742
680.0,200.01,212.36,202.43,212.59259259259258
690.0,200.01,212.54,202.48,212.77777777777777
700.0,200.01,212.72,202.53,212.96296296296296
710.0,200.02,212.91,202.58,213.14814814814815
720.0,200.02,213.09,202.63,213.33333333333334
730.0,200.02,213.27,202.67,213.5185185185185
740.0,200.02,213.46,202.72,213.7037037037037
750.0,200.02,213.64,202.77,213.88888888888889
