Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,22.738418096785324,22.738418096785324,22.738418096785324,22.738418096785324
10.0,22.74,22.76,22.741,22.762963874192067
20.0,22.74,22.783,22.742,22.787509651598807
30.0,22.74,22.806,22.744,22.81205542900555
40.0,22.74,22.83,22.745,22.83660120641229
50.0,22.74,22.854,22.747,22.861146983819033
60.0,22.74,22.878,22.749,22.885692761225776
70.0,22.74,22.901,22.752,22.910238538632516
80.0,22.74,22.925,22.754,22.93478431603926
90.0,22.74,22.949,22.756,22.959330093446
100.0,22.74,22.973,22.759,22.983875870852742
110.0,22.74,22.997,22.762,23.008421648259485
120.0,22.74,23.021,22.765,23.032967425666225
130.0,22.74,23.045,22.768,23.05751320307297
140.0,22.74,23.069,22.771,23.082058980479708
150.0,22.74,23.093,22.774,23.10660475788645
160.0,22.74,23.117,22.777,23.131150535293195
170.0,22.74,23.141,22.78,23.155696312699934
180.0,22.74,23.165,22.784,23.180242090106677
190.0,22.74,23.19,22.787,23.204787867513417
200.0,22.74,23.214,22.791,23.22933364492016
210.0,22.74,23.243,22.794,23.26075962773034
220.0,22.74,23.274,22.798,23.292185610540518
230.0,22.74,23.305,22.803,23.323611593350698
240.0,22.74,23.336,22.807,23.355037576160875
250.0,22.74,23.367,22.811,23.386463558971055
260.0,22.74,23.398,22.816,23.417889541781236
270.0,22.74,23.429,22.821,23.449315524591412
280.0,22.74,23.46,22.825,23.480741507401593
290.0,22.74,23.491,22.83,23.51216749021177
300.0,22.74,23.522,22.835,23.54359347302195
310.0,22.74,23.553,22.84,23.57501945583213
320.0,22.74,23.584,22.845,23.606445438642307
330.0,22.74,23.615,22.851,23.637871421452488
340.0,22.74,23.646,22.856,23.669297404262664
350.0,22.74,23.677,22.861,23.700723387072845
360.0,22.74,23.708,22.867,23.732149369883025
370.0,22.74,23.739,22.872,23.763575352693202
380.0,22.74,23.77,22.878,23.795001335503382
390.0,22.74,23.801,22.884,23.82642731831356
400.0,22.74,23.832,22.889,23.85785330112374
410.0,22.74,23.87,22.896,23.89805508813598
420.0,22.74,23.909,22.902,23.93825687514822
430.0,22.74,23.948,22.908,23.97845866216046
440.0,22.74,23.987,22.915,24.0186604491727
450.0,22.74,24.027,22.922,24.05886223618494
460.0,22.74,24.066,22.929,24.09906402319718
470.0,22.74,24.105,22.936,24.13926581020942
480.0,22.741,24.145,22.943,24.17946759722166
490.0,22.741,24.184,22.95,24.2196693842339
500.0,22.741,24.224,22.957,24.25987117124614
510.0,22.741,24.263,22.965,24.30007295825838
520.0,22.741,24.303,22.972,24.34027474527062
530.0,22.741,24.342,22.98,24.38047653228286
540.0,22.741,24.381,22.988,24.4206783192951
550.0,22.741,24.421,22.995,24.46088010630734
560.0,22.741,24.46,23.003,24.50108189331958
570.0,22.741,24.5,23.011,24.54128368033182
580.0,22.742,24.539,23.019,24.58148546734406
590.0,22.742,24.579,23.027,24.6216872543563
600.0,22.742,24.618,23.036,24.66188904136854
610.0,22.742,24.667,23.044,24.71326347106692
620.0,22.742,24.717,23.053,24.764637900765305
630.0,22.742,24.768,23.062,24.816012330463685
640.0,22.743,24.818,23.072,24.867386760162066
650.0,22.743,24.869,23.081,24.918761189860447
660.0,22.743,24.92,23.091,24.97013561955883
670.0,22.743,24.971,23.101,25.021510049257213
680.0,22.744,25.021,23.111,25.072884478955594
690.0,22.744,25.072,23.121,25.124258908653978
700.0,22.744,25.123,23.131,25.17563333835236
710.0,22.745,25.174,23.141,25.22700776805074
720.0,22.745,25.224,23.152,25.278382197749124
730.0,22.745,25.275,23.162,25.329756627447505
740.0,22.746,25.326,23.173,25.381131057145886
750.0,22.746,25.377,23.184,25.43250548684427
760.0,22.746,25.428,23.194,25.48387991654265
770.0,22.747,25.479,23.205,25.535254346241032
780.0,22.747,25.529,23.217,25.586628775939413
790.0,22.748,25.58,23.228,25.638003205637798
800.0,22.748,25.631,23.239,25.68937763533618
810.0,22.749,25.693,23.251,25.754941948316144
820.0,22.749,25.757,23.263,25.820506261296114
830.0,22.75,25.822,23.275,25.88607057427608
840.0,22.751,25.886,23.288,25.95163488725605
850.0,22.751,25.95,23.301,26.017199200236014
860.0,22.752,26.015,23.314,26.082763513215983
870.0,22.752,26.08,23.327,26.14832782619595
880.0,22.753,26.144,23.34,26.21389213917592
890.0,22.754,26.209,23.354,26.279456452155884
900.0,22.755,26.273,23.368,26.34502076513585
910.0,22.755,26.338,23.381,26.41058507811582
920.0,22.756,26.402,23.395,26.476149391095785
930.0,22.757,26.467,23.409,26.541713704075754
940.0,22.758,26.532,23.424,26.60727801705572
950.0,22.759,26.596,23.438,26.67284233003569
960.0,22.76,26.661,23.453,26.738406643015654
970.0,22.761,26.726,23.467,26.803970955995624
980.0,22.762,26.79,23.482,26.86953526897559
990.0,22.763,26.855,23.497,26.93509958195556
1000.0,22.764,26.92,23.512,27.000663894935524
1010.0,22.765,26.999,23.528,27.084194664050557
1020.0,22.766,27.081,23.544,27.16772543316559
1030.0,22.767,27.163,23.56,27.251256202280622
1040.0,22.768,27.245,23.577,27.33478697139566
1050.0,22.769,27.327,23.594,27.41831774051069
1060.0,22.771,27.409,23.611,27.501848509625724
1070.0,22.772,27.492,23.629,27.585379278740756
1080.0,22.773,27.574,23.646,27.66891004785579
1090.0,22.775,27.656,23.664,27.75244081697082
1100.0,22.776,27.739,23.682,27.835971586085854
1110.0,22.777,27.821,23.7,27.91950235520089
1120.0,22.779,27.903,23.719,28.003033124315923
1130.0,22.78,27.986,23.737,28.086563893430956
1140.0,22.782,28.068,23.756,28.17009466254599
1150.0,22.784,28.151,23.775,28.25362543166102
1160.0,22.785,28.233,23.794,28.337156200776054
1170.0,22.787,28.316,23.813,28.420686969891086
1180.0,22.789,28.398,23.833,28.504217739006123
1190.0,22.79,28.481,23.852,28.587748508121155
1200.0,22.792,28.563,23.872,28.671279277236188
1210.0,22.794,28.664,23.892,28.777468619186177
1220.0,22.796,28.768,23.914,28.883657961136166
1230.0,22.798,28.873,23.935,28.989847303086155
1240.0,22.8,28.978,23.957,29.096036645036143
1250.0,22.802,29.082,23.979,29.20222598698613
1260.0,22.804,29.187,24.002,29.308415328936118
1270.0,22.806,29.292,24.025,29.414604670886106
1280.0,22.808,29.397,24.048,29.520794012836095
1290.0,22.811,29.502,24.071,29.626983354786084
1300.0,22.813,29.607,24.094,29.733172696736073
1310.0,22.815,29.713,24.118,29.839362038686062
1320.0,22.818,29.818,24.142,29.94555138063605
1330.0,22.82,29.923,24.166,30.05174072258604
1340.0,22.823,30.028,24.191,30.15793006453603
1350.0,22.825,30.133,24.216,30.264119406486017
1360.0,22.828,30.238,24.24,30.370308748436003
1370.0,22.831,30.343,24.265,30.47649809038599
1380.0,22.833,30.449,24.291,30.58268743233598
1390.0,22.836,30.554,24.316,30.68887677428597
1400.0,22.839,30.659,24.342,30.795066116235958
1410.0,22.842,30.787,24.369,30.92968779648602
1420.0,22.845,30.919,24.396,31.06430947673608
1430.0,22.848,31.051,24.424,31.198931156986145
1440.0,22.851,31.183,24.452,31.333552837236205
1450.0,22.854,31.315,24.481,31.46817451748627
1460.0,22.858,31.448,24.51,31.602796197736332
1470.0,22.861,31.581,24.54,31.737417877986392
1480.0,22.864,31.713,24.569,31.872039558236455
1490.0,22.868,31.846,24.599,32.006661238486515
1500.0,22.871,31.979,24.63,32.14128291873658
1510.0,22.875,32.111,24.661,32.27590459898664
1520.0,22.878,32.244,24.692,32.410526279236706
1530.0,22.882,32.377,24.723,32.54514795948676
1540.0,22.886,32.51,24.754,32.679769639736826
1550.0,22.89,32.642,24.786,32.81439131998689
1560.0,22.894,32.775,24.818,32.94901300023695
1570.0,22.898,32.908,24.85,33.083634680487016
1580.0,22.902,33.041,24.883,33.21825636073707
1590.0,22.906,33.174,24.916,33.352878040987136
1600.0,22.91,33.307,24.949,33.4874997212372
1610.0,22.914,33.469,24.983,33.65756978447575
1620.0,22.919,33.635,25.018,33.827639847714295
1630.0,22.923,33.802,25.054,33.99770991095285
1640.0,22.928,33.969,25.091,34.1677799741914
1650.0,22.932,34.136,25.128,34.337850037429945
1660.0,22.937,34.304,25.165,34.5079201006685
1670.0,22.942,34.472,25.203,34.67799016390705
1680.0,22.947,34.639,25.241,34.848060227145595
1690.0,22.952,34.807,25.28,35.01813029038414
1700.0,22.957,34.975,25.319,35.18820035362269
1710.0,22.962,35.142,25.358,35.358270416861245
1720.0,22.967,35.31,25.398,35.52834048009979
1730.0,22.973,35.478,25.438,35.69841054333834
1740.0,22.978,35.646,25.478,35.868480606576895
1750.0,22.983,35.814,25.519,36.03855066981544
1760.0,22.989,35.982,25.56,36.20862073305399
1770.0,22.995,36.15,25.601,36.37869079629254
1780.0,23.0,36.318,25.643,36.548760859531086
1790.0,23.006,36.486,25.685,36.71883092276964
1800.0,23.012,36.654,25.727,36.88890098600819
1810.0,23.018,36.858,25.771,37.102805451160364
1820.0,23.025,37.067,25.816,37.31670991631253
1830.0,23.031,37.277,25.862,37.53061438146471
1840.0,23.037,37.487,25.909,37.744518846616884
1850.0,23.044,37.698,25.956,37.95842331176906
1860.0,23.05,37.909,26.004,38.172327776921236
1870.0,23.057,38.12,26.052,38.386232242073405
1880.0,23.064,38.331,26.101,38.60013670722558
1890.0,23.071,38.542,26.15,38.814041172377756
1900.0,23.078,38.753,26.2,39.027945637529925
1910.0,23.085,38.965,26.25,39.2418501026821
1920.0,23.092,39.176,26.301,39.455754567834276
1930.0,23.099,39.387,26.352,39.66965903298645
1940.0,23.107,39.599,26.403,39.88356349813863
1950.0,23.114,39.81,26.455,40.097467963290796
1960.0,23.122,40.021,26.507,40.31137242844297
1970.0,23.13,40.233,26.56,40.52527689359515
1980.0,23.138,40.444,26.613,40.73918135874732
1990.0,23.146,40.656,26.667,40.95308582389949
2000.0,23.154,40.867,26.721,41.16699028905167
2010.0,23.162,41.122,26.777,41.43453552134937
2020.0,23.171,41.384,26.834,41.702080753647074
2030.0,23.179,41.647,26.892,41.969625985944774
2040.0,23.188,41.91,26.951,42.23717121824248
2050.0,23.197,42.173,27.011,42.50471645054018
2060.0,23.206,42.437,27.071,42.772261682837886
2070.0,23.215,42.701,27.133,43.039806915135586
2080.0,23.224,42.965,27.194,43.30735214743329
2090.0,23.233,43.228,27.257,43.57489737973099
2100.0,23.243,43.492,27.32,43.84244261202869
2110.0,23.253,43.757,27.383,44.1099878443264
2120.0,23.262,44.021,27.448,44.3775330766241
2130.0,23.272,44.285,27.512,44.6450783089218
2140.0,23.282,44.549,27.577,44.9126235412195
2150.0,23.293,44.813,27.643,45.18016877351721
2160.0,23.303,45.078,27.709,45.44771400581491
2170.0,23.313,45.342,27.776,45.715259238112615
2180.0,23.324,45.606,27.843,45.982804470410315
2190.0,23.335,45.871,27.911,46.25034970270802
2200.0,23.346,46.135,27.979,46.51789493500572
2210.0,23.357,46.452,28.05,46.8502149958904
2220.0,23.368,46.777,28.122,47.18253505677507
2230.0,23.38,47.103,28.195,47.51485511765975
2240.0,23.391,47.43,28.27,47.847175178544425
2250.0,23.403,47.757,28.345,48.1794952394291
2260.0,23.415,48.084,28.421,48.51181530031378
2270.0,23.427,48.411,28.498,48.844135361198454
2280.0,23.44,48.739,28.576,49.17645542208313
2290.0,23.452,49.066,28.655,49.508775482967806
2300.0,23.465,49.394,28.734,49.84109554385248
2310.0,23.478,49.722,28.814,50.17341560473716
2320.0,23.491,50.05,28.894,50.505735665621835
2330.0,23.504,50.378,28.976,50.83805572650651
