Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,345.0,345.0,345.0,345.0
10.0,345.0,350.64,345.21,351.9232366559662
20.0,345.0,353.3,345.37,354.1520941647896
30.0,345.0,355.21,345.52,355.9794992142429
40.0,345.0,356.7,345.67,357.405451804326
50.0,345.0,358.12,345.81,358.83140439440916
60.0,345.0,359.15,345.94,359.79194999859845
70.0,345.0,360.12,346.07,360.75249560278775
80.0,345.0,361.07,346.2,361.7130412069771
90.0,345.0,362.03,346.33,362.6735868111664
100.0,345.0,362.98,346.46,363.6341324153557
110.0,345.0,363.67,346.58,364.281172060393
120.0,345.0,364.33,346.69,364.9282117054303
130.0,345.0,364.98,346.81,365.5752513504675
140.0,345.0,365.62,346.93,366.2222909955048
150.0,345.0,366.27,347.04,366.8693306405421
160.0,345.0,366.91,347.16,367.5163702855794
170.0,345.0,367.55,347.27,368.1634099306167
180.0,345.0,368.19,347.39,368.81044957565393
190.0,345.0,368.84,347.5,369.45748922069123
200.0,345.0,369.48,347.62,370.1045288657285
210.0,345.0,369.92,347.73,370.50863478069556
220.0,345.0,370.33,347.83,370.91274069566265
230.0,345.0,370.74,347.94,371.3168466106297
240.0,345.0,371.15,348.04,371.7209525255967
250.0,345.0,371.55,348.15,372.12505844056375
260.0,345.0,371.96,348.25,372.52916435553084
270.0,345.0,372.36,348.35,372.93327027049787
280.0,345.0,372.77,348.45,373.3373761854649
290.0,345.0,373.17,348.55,373.74148210043194
300.0,345.0,373.57,348.65,374.145588015399
310.0,345.0,373.98,348.75,374.54969393036606
320.0,345.0,374.38,348.85,374.9537998453331
330.0,345.0,374.78,348.95,375.3579057603001
340.0,345.0,375.18,349.05,375.7620116752672
350.0,345.0,375.58,349.15,376.16611759023425
360.0,345.0,375.99,349.25,376.5702235052013
370.0,345.0,376.39,349.35,376.9743294201684
380.0,345.0,376.79,349.45,377.3784353351354
390.0,345.0,377.19,349.55,377.78254125010244
400.0,345.0,377.59,349.66,378.1866471650695
410.0,345.0,378.0,349.76,378.59075308003656
420.0,345.0,378.4,349.86,378.9948589950036
430.0,345.0,378.8,349.96,379.39896490997063
440.0,345.0,379.2,350.06,379.80307082493766
450.0,345.0,379.6,350.16,380.20717673990475
460.0,345.0,380.0,350.26,380.6112826548718
470.0,345.0,380.4,350.36,381.0153885698388
480.0,345.0,380.81,350.47,381.41949448480585
490.0,345.01,381.21,350.57,381.82360039977294
500.0,345.01,381.61,350.67,382.22770631474
510.0,345.01,381.89,350.77,382.4862405071834
520.0,345.01,382.15,350.87,382.7447746996269
530.0,345.01,382.42,350.96,383.0033088920703
540.0,345.01,382.68,351.06,383.26184308451377
550.0,345.01,382.94,351.15,383.5203772769572
560.0,345.01,383.2,351.24,383.77891146940067
570.0,345.01,383.45,351.34,384.0374456618441
580.0,345.02,383.71,351.43,384.29597985428757
590.0,345.02,383.97,351.52,384.5545140467311
600.0,345.02,384.23,351.61,384.8130482391745
610.0,345.02,384.49,351.7,385.07158243161797
620.0,345.02,384.75,351.8,385.3301166240614
630.0,345.03,385.0,351.89,385.58865081650487
640.0,345.03,385.26,351.98,385.8471850089483
650.0,345.03,385.52,352.07,386.10571920139176
660.0,345.04,385.78,352.16,386.3642533938352
670.0,345.04,386.03,352.25,386.62278758627866
680.0,345.04,386.29,352.34,386.8813217787221
