Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,1.0,1.0,1.0,1.0
10.0,1.0,1.1222,1.005,1.15
20.0,1.0,3.3563,1.0989,3.87
30.0,1.0,5.5903,1.2243,6.206
40.0,1.0,7.5246,1.3609,8.158
50.0,1.0,9.4243,1.5112,10.11
60.0,1.0,9.8975,1.6156,10.312
70.0,1.0,10.163,1.7029,10.514
80.0,1.0,10.391,1.7813,10.716
90.0,1.0,10.608,1.8542,10.918
100.0,1.0,10.821,1.9233,11.12
110.0,1.0,10.949,1.9861,11.222999999999999
120.0,1.0,11.063,2.0452,11.325999999999999
130.0,1.0,11.174,2.1014,11.429
140.0,1.0,11.283,2.1554,11.532
150.0,1.0,11.391,2.2075,11.635
160.0,1.0,11.498,2.2581,11.738
170.0,1.0,11.605,2.3073,11.841
180.0,1.0,11.711,2.3554,11.944
190.0,1.0,11.816,2.4025,12.047
200.0,1.0,11.921,2.4488,12.15
210.0,1.0001,12.155,2.4995,12.411666666666667
220.0,1.0001,12.408,2.5523,12.673333333333334
230.0,1.0001,12.664,2.6062,12.935
240.0,1.0002,12.921,2.661,13.196666666666667
250.0,1.0003,13.179,2.7166,13.458333333333334
260.0,1.0004,13.437,2.7728,13.72
270.0,1.0005,13.695,2.8295,13.981666666666667
280.0,1.0007,13.954,2.8868,14.243333333333334
290.0,1.0009,14.212,2.9446,14.505
300.0,1.0011,14.471,3.0028,14.766666666666666
310.0,1.0014,14.729,3.0615,15.028333333333332
320.0,1.0017,14.988,3.1207,15.29
330.0,1.0021,15.246,3.1802,15.551666666666666
340.0,1.0026,15.505,3.2402,15.813333333333333
350.0,1.0031,15.764,3.3006,16.075
360.0,1.0037,16.023,3.3615,16.336666666666666
370.0,1.0044,16.281,3.4227,16.598333333333333
380.0,1.0052,16.54,3.4843,16.86
390.0,1.0061,16.799,3.5463,17.121666666666666
400.0,1.0071,17.058,3.6086,17.383333333333333
410.0,1.0082,17.316,3.6714,17.645
420.0,1.0094,17.575,3.7345,17.906666666666666
430.0,1.0108,17.834,3.798,18.168333333333333
440.0,1.0122,18.093,3.8619,18.43
450.0,1.0138,18.352,3.9262,18.691666666666666
460.0,1.0156,18.611,3.9908,18.953333333333333
470.0,1.0175,18.87,4.0557,19.215
480.0,1.0196,19.128,4.1211,19.476666666666667
490.0,1.0218,19.387,4.1868,19.738333333333333
500.0,1.0242,19.646,4.2528,20.0
510.0,1.0267,19.712,4.3112,20.0246
520.0,1.0294,19.749,4.3661,20.0492
530.0,1.0323,19.781,4.4186,20.0738
540.0,1.0354,19.811,4.4692,20.0984
550.0,1.0387,19.84,4.5185,20.123
560.0,1.0422,19.869,4.5664,20.1476
570.0,1.0458,19.897,4.6132,20.1722
580.0,1.0497,19.925,4.6591,20.1968
590.0,1.0538,19.952,4.704,20.2214
600.0,1.058,19.979,4.7481,20.246
610.0,1.0625,20.006,4.7915,20.2706
620.0,1.0672,20.033,4.8342,20.2952
630.0,1.0721,20.059,4.8762,20.3198
640.0,1.0773,20.086,4.9176,20.3444
650.0,1.0826,20.112,4.9585,20.369
660.0,1.0882,20.139,4.9988,20.3936
670.0,1.0941,20.165,5.0386,20.4182
680.0,1.1001,20.191,5.0779,20.442800000000002
690.0,1.1064,20.217,5.1168,20.4674
700.0,1.1129,20.243,5.1552,20.492
710.0,1.1197,20.269,5.1933,20.5166
720.0,1.1267,20.295,5.2309,20.5412
730.0,1.134,20.321,5.2682,20.5658
740.0,1.1415,20.346,5.3051,20.5904
750.0,1.1492,20.372,5.3417,20.615000000000002
760.0,1.1572,20.398,5.3779,20.6396
770.0,1.1655,20.423,5.4138,20.6642
780.0,1.174,20.449,5.4495,20.6888
790.0,1.1828,20.474,5.4848,20.7134
800.0,1.1918,20.5,5.5199,20.738
810.0,1.201,20.525,5.5547,20.7626
820.0,1.2106,20.551,5.5892,20.7872
830.0,1.2203,20.576,5.6235,20.8118
840.0,1.2304,20.601,5.6575,20.8364
850.0,1.2406,20.627,5.6913,20.861
860.0,1.2512,20.652,5.7249,20.8856
870.0,1.2619,20.677,5.7583,20.9102
880.0,1.273,20.703,5.7914,20.9348
890.0,1.2843,20.728,5.8244,20.9594
900.0,1.2958,20.753,5.8571,20.984
910.0,1.3076,20.778,5.8897,21.0086
920.0,1.3196,20.804,5.9221,21.0332
930.0,1.3319,20.829,5.9543,21.0578
940.0,1.3444,20.854,5.9863,21.0824
950.0,1.3571,20.879,6.0182,21.107
960.0,1.3701,20.904,6.0499,21.1316
970.0,1.3833,20.929,6.0814,21.156200000000002
980.0,1.3968,20.954,6.1128,21.1808
990.0,1.4104,20.98,6.144,21.2054
1000.0,1.4244,21.005,6.1751,21.23
1010.0,1.4385,21.027,6.206,21.2518
1020.0,1.4528,21.05,6.2366,21.273600000000002
1030.0,1.4674,21.072,6.2671,21.2954
1040.0,1.4822,21.095,6.2975,21.3172
1050.0,1.4972,21.117,6.3277,21.339
1060.0,1.5124,21.139,6.3577,21.3608
1070.0,1.5278,21.161,6.3877,21.3826
1080.0,1.5435,21.184,6.4174,21.4044
1090.0,1.5593,21.206,6.4471,21.4262
1100.0,1.5753,21.228,6.4766,21.448
1110.0,1.5915,21.25,6.5061,21.4698
1120.0,1.6079,21.273,6.5354,21.491600000000002
1130.0,1.6246,21.295,6.5645,21.5134
1140.0,1.6413,21.317,6.5936,21.5352
1150.0,1.6583,21.339,6.6226,21.557000000000002
1160.0,1.6755,21.361,6.6514,21.5788
1170.0,1.6928,21.383,6.6802,21.6006
1180.0,1.7103,21.406,6.7089,21.6224
1190.0,1.7279,21.428,6.7374,21.6442
1200.0,1.7458,21.45,6.7659,21.666
1210.0,1.7638,21.472,6.7943,21.6878
1220.0,1.7819,21.494,6.8226,21.709600000000002
1230.0,1.8003,21.516,6.8508,21.7314
1240.0,1.8187,21.538,6.8789,21.7532
1250.0,1.8374,21.56,6.9069,21.775
1260.0,1.8561,21.582,6.9349,21.7968
1270.0,1.8751,21.604,6.9627,21.8186
1280.0,1.8941,21.627,6.9905,21.8404
1290.0,1.9133,21.649,7.0182,21.8622
1300.0,1.9327,21.671,7.0459,21.884
1310.0,1.9522,21.693,7.0735,21.9058
1320.0,1.9718,21.715,7.101,21.9276
1330.0,1.9915,21.737,7.1284,21.9494
1340.0,2.0114,21.759,7.1558,21.9712
1350.0,2.0314,21.781,7.1831,21.993000000000002
1360.0,2.0515,21.803,7.2103,22.0148
1370.0,2.0717,21.825,7.2375,22.0366
1380.0,2.0921,21.847,7.2646,22.0584
1390.0,2.1125,21.869,7.2917,22.0802
1400.0,2.1331,21.891,7.3187,22.102
1410.0,2.1538,21.913,7.3456,22.1238
1420.0,2.1746,21.935,7.3725,22.1456
1430.0,2.1955,21.957,7.3993,22.1674
1440.0,2.2165,21.979,7.4261,22.1892
1450.0,2.2376,22.001,7.4528,22.211
1460.0,2.2588,22.023,7.4795,22.2328
1470.0,2.2801,22.045,7.5061,22.2546
1480.0,2.3015,22.067,7.5327,22.2764
1490.0,2.323,22.089,7.5592,22.2982
1500.0,2.3445,22.111,7.5857,22.32
1510.0,2.3662,22.118,7.6115,22.3236
1520.0,2.3879,22.123,7.637,22.3272
1530.0,2.4098,22.128,7.6622,22.3308
1540.0,2.4317,22.132,7.6873,22.3344
1550.0,2.4537,22.136,7.7121,22.338
1560.0,2.4757,22.14,7.7368,22.3416
1570.0,2.4979,22.145,7.7613,22.345200000000002
1580.0,2.5201,22.149,7.7857,22.3488
1590.0,2.5424,22.153,7.8099,22.3524
1600.0,2.5648,22.157,7.8341,22.356
1610.0,2.5872,22.161,7.8581,22.3596
1620.0,2.6097,22.165,7.8819,22.3632
1630.0,2.6323,22.17,7.9057,22.3668
1640.0,2.6549,22.174,7.9294,22.3704
1650.0,2.6776,22.178,7.953,22.374
1660.0,2.7004,22.182,7.9764,22.3776
1670.0,2.7232,22.186,7.9998,22.3812
1680.0,2.7461,22.19,8.0231,22.3848
1690.0,2.769,22.194,8.0463,22.3884
1700.0,2.792,22.198,8.0694,22.392
1710.0,2.815,22.202,8.0924,22.3956
1720.0,2.8381,22.206,8.1153,22.3992
1730.0,2.8613,22.21,8.1382,22.4028
1740.0,2.8845,22.214,8.1609,22.4064
1750.0,2.9077,22.218,8.1836,22.41
1760.0,2.931,22.222,8.2062,22.4136
1770.0,2.9544,22.226,8.2288,22.4172
1780.0,2.9778,22.23,8.2513,22.4208
1790.0,3.0012,22.234,8.2737,22.4244
1800.0,3.0247,22.238,8.296,22.428
1810.0,3.0482,22.242,8.3182,22.4316
1820.0,3.0718,22.246,8.3404,22.435200000000002
1830.0,3.0954,22.25,8.3626,22.4388
1840.0,3.119,22.254,8.3846,22.4424
1850.0,3.1427,22.258,8.4066,22.446
1860.0,3.1664,22.262,8.4286,22.4496
1870.0,3.1902,22.265,8.4505,22.4532
1880.0,3.214,22.269,8.4723,22.4568
1890.0,3.2378,22.273,8.494,22.4604
1900.0,3.2617,22.277,8.5157,22.464
1910.0,3.2855,22.281,8.5374,22.4676
1920.0,3.3094,22.285,8.559,22.4712
1930.0,3.3334,22.289,8.5805,22.4748
1940.0,3.3574,22.293,8.602,22.4784
1950.0,3.3813,22.297,8.6234,22.482
1960.0,3.4054,22.301,8.6448,22.4856
1970.0,3.4294,22.305,8.6661,22.4892
1980.0,3.4535,22.309,8.6874,22.4928
1990.0,3.4776,22.312,8.7086,22.4964
2000.0,3.5017,22.316,8.7298,22.5
2010.0,3.5258,22.752,8.7687,23.0335
2020.0,3.55,23.251,8.8164,23.567
2030.0,3.5741,23.763,8.87,24.1005
2040.0,3.5983,24.278,8.9284,24.634
2050.0,3.6225,24.796,8.9908,25.1675
2060.0,3.6467,25.315,9.0568,25.701
2070.0,3.671,25.835,9.1259,26.2345
2080.0,3.6952,26.356,9.1981,26.768
2090.0,3.7195,26.878,9.2729,27.3015
2100.0,3.7438,27.4,9.3502,27.835
2110.0,3.768,27.922,9.4299,28.368499999999997
2120.0,3.7923,28.445,9.5119,28.902
2130.0,3.8166,28.969,9.5961,29.435499999999998
2140.0,3.8409,29.492,9.6822,29.969
2150.0,3.8653,30.016,9.7704,30.502499999999998
2160.0,3.8896,30.54,9.8604,31.036
2170.0,3.9139,31.065,9.9522,31.569499999999998
2180.0,3.9383,31.589,10.046,32.103
2190.0,3.9626,32.114,10.141,32.6365
2200.0,3.987,32.639,10.238,33.17
2210.0,4.0114,33.164,10.336,33.7035
2220.0,4.0357,33.689,10.436,34.236999999999995
2230.0,4.0601,34.214,10.538,34.7705
2240.0,4.0845,34.74,10.641,35.304
2250.0,4.1089,35.265,10.745,35.8375
2260.0,4.1333,35.791,10.851,36.370999999999995
2270.0,4.1577,36.317,10.958,36.9045
2280.0,4.1821,36.843,11.066,37.438
2290.0,4.2066,37.369,11.176,37.9715
2300.0,4.231,37.895,11.287,38.504999999999995
2310.0,4.2555,38.421,11.399,39.0385
2320.0,4.28,38.948,11.512,39.572
2330.0,4.3045,39.474,11.627,40.1055
2340.0,4.3291,40.0,11.743,40.638999999999996
2350.0,4.3537,40.527,11.86,41.1725
2360.0,4.3783,41.053,11.978,41.706
2370.0,4.403,41.58,12.097,42.2395
2380.0,4.4277,42.107,12.217,42.772999999999996
2390.0,4.4525,42.633,12.338,43.3065
2400.0,4.4773,43.16,12.461,43.839999999999996
2410.0,4.5022,43.687,12.584,44.37349999999999
2420.0,4.5272,44.214,12.709,44.907
2430.0,4.5522,44.741,12.834,45.4405
2440.0,4.5773,45.268,12.961,45.974
2450.0,4.6026,45.795,13.088,46.50749999999999
2460.0,4.6279,46.322,13.216,47.041
2470.0,4.6533,46.849,13.346,47.5745
2480.0,4.6789,47.377,13.476,48.108
2490.0,4.7045,47.904,13.607,48.64149999999999
2500.0,4.7303,48.431,13.739,49.175
2510.0,4.7562,48.958,13.872,49.7085
2520.0,4.7823,49.486,14.006,50.242
