Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,415.0,415.0,415.0,415.0
10.0,415.0,415.34,415.01,415.42209657042434
20.0,415.0,415.63,415.03,415.70531718403345
30.0,415.0,415.88,415.04,415.96439474578165
40.0,415.0,416.11,415.06,416.19932925566883
50.0,415.0,416.34,415.08,416.43426376555607
60.0,415.0,416.54,415.09,416.63319346051526
70.0,415.0,416.74,415.11,416.83212315547445
80.0,415.0,416.93,415.13,417.0310528504337
90.0,415.0,417.13,415.15,417.2299825453929
100.0,415.0,417.33,415.17,417.4289122403521
110.0,415.0,417.5,415.19,417.5973550270485
120.0,415.0,417.66,415.21,417.7657978137449
130.0,415.0,417.83,415.23,417.9342406004413
140.0,415.0,418.0,415.25,418.1026833871377
150.0,415.0,418.16,415.27,418.2711261738341
160.0,415.0,418.33,415.29,418.4395689605305
170.0,415.0,418.49,415.31,418.6080117472269
180.0,415.0,418.66,415.33,418.7764545339233
190.0,415.0,418.82,415.36,418.9448973206197
200.0,415.0,418.99,415.38,419.1133401073161
210.0,415.0,419.13,415.4,419.25133965419775
220.0,415.0,419.27,415.42,419.3893392010794
230.0,415.0,419.41,415.44,419.52733874796104
240.0,415.0,419.54,415.47,419.6653382948427
250.0,415.0,419.68,415.49,419.80333784172433
260.0,415.0,419.82,415.51,419.941337388606
270.0,415.0,419.95,415.53,420.0793369354876
280.0,415.0,420.09,415.56,420.21733648236926
290.0,415.0,420.23,415.58,420.3553360292509
300.0,415.0,420.36,415.6,420.49333557613255
310.0,415.0,420.5,415.63,420.6313351230142
320.0,415.0,420.63,415.65,420.76933466989584
330.0,415.0,420.77,415.67,420.9073342167775
340.0,415.0,420.91,415.7,421.04533376365913
350.0,415.0,421.04,415.72,421.1833333105408
360.0,415.0,421.18,415.75,421.32133285742236
370.0,415.0,421.32,415.77,421.459332404304
380.0,415.0,421.45,415.8,421.59733195118565
390.0,415.0,421.59,415.82,421.7353314980673
400.0,415.0,421.73,415.85,421.87333104494894
410.0,415.0,421.86,415.87,422.0113305918306
420.0,415.0,422.0,415.9,422.14933013871223
430.0,415.0,422.14,415.92,422.2873296855939
440.0,415.0,422.27,415.95,422.4253292324755
450.0,415.0,422.41,415.97,422.56332877935716
460.0,415.0,422.55,416.0,422.7013283262388
470.0,415.0,422.68,416.03,422.83932787312045
480.0,415.0,422.82,416.05,422.9773274200021
490.0,415.0,422.96,416.08,423.11532696688374
500.0,415.0,423.09,416.11,423.2533265137654
510.0,415.0,423.21,416.13,423.3677986049672
520.0,415.0,423.32,416.16,423.48227069616905
530.0,415.0,423.44,416.19,423.59674278737083
540.0,415.0,423.55,416.21,423.71121487857266
550.0,415.0,423.67,416.24,423.8256869697745
560.0,415.0,423.78,416.26,423.9401590609763
570.0,415.0,423.89,416.29,424.0546311521781
580.0,415.0,424.01,416.32,424.16910324337994
590.0,415.0,424.12,416.34,424.28357533458177
600.0,415.0,424.24,416.37,424.3980474257836
610.0,415.0,424.35,416.4,424.51251951698544
620.0,415.0,424.46,416.42,424.6269916081872
630.0,415.0,424.58,416.45,424.74146369938904
640.0,415.0,424.69,416.48,424.8559357905909
650.0,415.0,424.8,416.5,424.9704078817927
660.0,415.0,424.92,416.53,425.0848799729945
670.0,415.0,425.03,416.56,425.1993520641963
680.0,415.0,425.15,416.59,425.31382415539815
690.0,415.0,425.26,416.61,425.4282962466
700.0,415.0,425.37,416.64,425.5427683378018
710.0,415.01,425.49,416.67,425.6572404290036
720.0,415.01,425.6,416.7,425.7717125202054
730.0,415.01,425.71,416.72,425.88618461140726
740.0,415.01,425.83,416.75,426.0006567026091
750.0,415.01,425.94,416.78,426.11512879381087
760.0,415.01,426.05,416.81,426.2296008850127
