Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,400.0,400.0,400.0,400.0
10.0,400.0,405.71,400.2,407.0
20.0,400.0,410.91,400.46,412.3333333333333
30.0,400.0,417.64,400.81,419.6
40.0,400.0,426.19,401.28,428.8
50.0,400.0,435.04,401.83,438.0
60.0,400.0,443.31,402.41,446.4
70.0,400.0,451.51,403.04,454.8
80.0,400.0,459.71,403.71,463.2
90.0,400.0,467.93,404.41,471.6
100.0,400.0,476.15,405.15,480.0
110.0,400.0,478.1,405.7,480.7
120.0,400.0,479.12,406.17,481.4
130.0,400.0,479.98,406.61,482.1
140.0,400.0,480.78,407.01,482.8
150.0,400.0,481.56,407.39,483.5
160.0,400.0,482.32,407.75,484.2
170.0,400.0,483.06,408.1,484.9
180.0,400.0,483.8,408.43,485.6
190.0,400.0,484.54,408.76,486.3
200.0,400.0,485.26,409.08,487.0
210.0,400.0,485.5,409.37,487.1
220.0,400.0,485.66,409.65,487.2
230.0,400.0,485.8,409.91,487.3
240.0,400.0,485.94,410.17,487.4
250.0,400.0,486.07,410.41,487.5
260.0,400.0,486.2,410.65,487.6
270.0,400.0,486.32,410.89,487.7
280.0,400.0,486.44,411.11,487.8
290.0,400.0,486.56,411.34,487.9
300.0,400.0,486.68,411.55,488.0
310.0,400.0,486.8,411.76,488.1
320.0,400.0,486.92,411.97,488.2
330.0,400.0,487.04,412.17,488.3
340.0,400.0,487.15,412.37,488.4
350.0,400.0,487.26,412.56,488.5
360.0,400.0,487.38,412.75,488.6
370.0,400.0,487.49,412.94,488.7
380.0,400.0,487.6,413.12,488.8
390.0,400.0,487.71,413.3,488.9
400.0,400.0,487.82,413.48,489.0
410.0,400.0,487.93,413.66,489.1
420.0,400.0,488.04,413.83,489.2
430.0,400.0,488.15,414.0,489.3
440.0,400.0,488.26,414.17,489.4
450.0,400.01,488.37,414.34,489.5
460.0,400.01,488.48,414.5,489.6
470.0,400.01,488.59,414.66,489.7
480.0,400.01,488.69,414.82,489.8
490.0,400.01,488.8,414.98,489.9
500.0,400.01,488.91,415.14,490.0
510.0,400.01,489.29,415.3,490.44
520.0,400.02,489.72,415.47,490.88
530.0,400.02,490.15,415.64,491.32
540.0,400.02,490.58,415.81,491.76
550.0,400.02,491.02,415.98,492.2
560.0,400.03,491.45,416.15,492.64
570.0,400.03,491.89,416.32,493.08
580.0,400.04,492.33,416.49,493.52
590.0,400.04,492.77,416.67,493.96
600.0,400.04,493.2,416.84,494.4
610.0,400.05,493.64,417.01,494.84
620.0,400.05,494.08,417.18,495.28
630.0,400.06,494.52,417.36,495.72
640.0,400.07,494.96,417.53,496.16
650.0,400.07,495.39,417.7,496.6
660.0,400.08,495.83,417.87,497.04
670.0,400.09,496.27,418.04,497.48
680.0,400.09,496.71,418.22,497.92
690.0,400.1,497.15,418.39,498.36
700.0,400.11,497.58,418.56,498.8
710.0,400.12,498.02,418.73,499.24
720.0,400.13,498.46,418.91,499.68
730.0,400.14,498.9,419.08,500.12
740.0,400.15,499.34,419.25,500.56
750.0,400.16,499.78,419.42,501.0
760.0,400.17,500.21,419.59,501.44
770.0,400.19,500.65,419.77,501.88
780.0,400.2,501.09,419.94,502.32
790.0,400.21,501.53,420.11,502.76
800.0,400.23,501.97,420.28,503.2
810.0,400.24,502.4,420.45,503.64
820.0,400.26,502.84,420.63,504.08
830.0,400.27,503.28,420.8,504.52
840.0,400.29,503.72,420.97,504.96
850.0,400.31,504.16,421.14,505.4
860.0,400.32,504.59,421.31,505.84
870.0,400.34,505.03,421.49,506.28
880.0,400.36,505.47,421.66,506.72
890.0,400.38,505.91,421.83,507.16
900.0,400.4,506.35,422.0,507.6
910.0,400.42,506.78,422.17,508.04
920.0,400.44,507.22,422.35,508.48
930.0,400.47,507.66,422.52,508.92
940.0,400.49,508.1,422.69,509.36
950.0,400.51,508.54,422.86,509.8
960.0,400.53,508.97,423.03,510.24
970.0,400.56,509.41,423.21,510.68
980.0,400.58,509.85,423.38,511.12
990.0,400.61,510.29,423.55,511.56
1000.0,400.64,510.73,423.72,512.0
1010.0,400.66,510.85,423.89,512.06
1020.0,400.69,510.94,424.04,512.12
1030.0,400.72,511.01,424.2,512.18
1040.0,400.75,511.08,424.35,512.24
1050.0,400.78,511.15,424.49,512.3
1060.0,400.81,511.22,424.64,512.36
1070.0,400.84,511.28,424.78,512.42
1080.0,400.87,511.35,424.93,512.48
1090.0,400.9,511.42,425.07,512.54
1100.0,400.93,511.48,425.2,512.6
1110.0,400.97,511.55,425.34,512.66
1120.0,401.0,511.61,425.48,512.72
1130.0,401.03,511.68,425.61,512.78
1140.0,401.07,511.74,425.75,512.84
1150.0,401.11,511.81,425.88,512.9
1160.0,401.14,511.87,426.01,512.96
1170.0,401.18,511.93,426.14,513.02
1180.0,401.22,512.0,426.27,513.08
1190.0,401.25,512.06,426.4,513.14
1200.0,401.29,512.13,426.53,513.2
1210.0,401.33,512.19,426.66,513.26
1220.0,401.37,512.25,426.79,513.32
1230.0,401.41,512.32,426.91,513.38
1240.0,401.45,512.38,427.04,513.44
1250.0,401.49,512.44,427.16,513.5
1260.0,401.54,512.51,427.28,513.56
1270.0,401.58,512.57,427.41,513.62
1280.0,401.62,512.63,427.53,513.68
1290.0,401.67,512.69,427.65,513.74
1300.0,401.71,512.76,427.77,513.8
1310.0,401.76,512.82,427.89,513.86
1320.0,401.8,512.88,428.01,513.92
1330.0,401.85,512.94,428.13,513.98
1340.0,401.89,513.01,428.25,514.04
1350.0,401.94,513.07,428.37,514.1
1360.0,401.99,513.13,428.48,514.16
1370.0,402.04,513.19,428.6,514.22
1380.0,402.09,513.26,428.72,514.28
1390.0,402.14,513.32,428.83,514.34
1400.0,402.19,513.38,428.95,514.4
1410.0,402.24,513.44,429.06,514.46
1420.0,402.29,513.5,429.18,514.52
1430.0,402.34,513.57,429.29,514.58
1440.0,402.39,513.63,429.4,514.64
1450.0,402.44,513.69,429.52,514.7
1460.0,402.5,513.75,429.63,514.76
