Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,411.509672862105,411.509672862105,411.509672862105,411.509672862105
10.0,411.51,412.03,411.53,412.14354240328873
20.0,411.51,412.62,411.56,412.7774119444725
30.0,411.51,413.23,411.59,413.4112814856562
40.0,411.51,413.84,411.63,414.04515102684
50.0,411.51,414.46,411.67,414.67902056802376
60.0,411.51,415.07,411.71,415.3128901092075
70.0,411.51,415.69,411.76,415.94675965039124
80.0,411.51,416.31,411.81,416.580629191575
90.0,411.51,416.93,411.87,417.2144987327587
100.0,411.51,417.55,411.93,417.84836827394247
110.0,411.51,418.17,411.99,418.48223781512627
120.0,411.51,418.8,412.05,419.11610735631
130.0,411.51,419.42,412.11,419.74997689749375
140.0,411.51,420.04,412.18,420.3838464386775
150.0,411.51,420.66,412.24,421.01771597986124
160.0,411.51,421.29,412.31,421.651585521045
170.0,411.51,421.91,412.39,422.2854550622288
180.0,411.51,422.53,412.46,422.9193246034125
190.0,411.51,423.16,412.53,423.55319414459626
200.0,411.51,423.78,412.61,424.18706368578
210.0,411.51,424.25,412.68,424.6345699584433
220.0,411.51,424.7,412.76,425.0820762311066
230.0,411.51,425.15,412.83,425.5295825037699
240.0,411.51,425.59,412.9,425.9770887764332
250.0,411.51,426.04,412.97,426.4245950490965
260.0,411.51,426.48,413.05,426.87210132175977
270.0,411.51,426.92,413.12,427.3196075944231
280.0,411.51,427.37,413.19,427.7671138670864
290.0,411.51,427.81,413.27,428.2146201397497
300.0,411.51,428.25,413.34,428.662126412413
310.0,411.51,428.69,413.42,429.1096326850763
320.0,411.51,429.14,413.49,429.5571389577396
330.0,411.51,429.58,413.57,430.0046452304029
340.0,411.51,430.02,413.65,430.4521515030662
350.0,411.51,430.47,413.72,430.89965777572945
360.0,411.51,430.91,413.8,431.34716404839276
370.0,411.51,431.35,413.88,431.79467032105606
380.0,411.51,431.79,413.96,432.24217659371936
390.0,411.51,432.24,414.04,432.68968286638267
400.0,411.51,432.68,414.12,433.137189139046
410.0,411.51,433.01,414.2,433.44494452716185
420.0,411.51,433.32,414.27,433.7526999152777
430.0,411.51,433.63,414.35,434.0604553033935
440.0,411.51,433.94,414.42,434.3682106915094
450.0,411.51,434.24,414.5,434.67596607962525
460.0,411.51,434.55,414.57,434.9837214677411
470.0,411.51,434.86,414.65,435.2914768558569
480.0,411.51,435.16,414.72,435.5992322439728
490.0,411.51,435.47,414.79,435.90698763208866
500.0,411.51,435.78,414.87,436.2147430202045
510.0,411.51,436.08,414.94,436.5224984083203
520.0,411.51,436.39,415.02,436.8302537964362
530.0,411.51,436.69,415.09,437.13800918455206
540.0,411.51,437.0,415.17,437.4457645726679
550.0,411.51,437.3,415.24,437.7535199607837
560.0,411.51,437.61,415.31,438.0612753488996
570.0,411.51,437.92,415.39,438.36903073701546
580.0,411.51,438.22,415.46,438.6767861251313
590.0,411.51,438.53,415.54,438.9845415132471
600.0,411.51,438.83,415.61,439.292296901363
610.0,411.52,439.44,415.7,439.96925309220774
620.0,411.52,440.09,415.79,440.6462092830525
630.0,411.52,440.75,415.89,441.32316547389723
640.0,411.52,441.41,415.98,442.000121664742
650.0,411.52,442.08,416.08,442.67707785558673
660.0,411.52,442.74,416.19,443.3540340464315
670.0,411.52,443.41,416.29,444.0309902372762
680.0,411.52,444.07,416.4,444.707946428121
690.0,411.52,444.74,416.51,445.3849026189657
700.0,411.52,445.41,416.62,446.0618588098105
710.0,411.52,446.07,416.73,446.7388150006553
720.0,411.53,446.74,416.84,447.4157711915
730.0,411.53,447.41,416.96,448.0927273823448
740.0,411.53,448.08,417.07,448.7696835731895
750.0,411.53,448.74,417.19,449.4466397640343
760.0,411.53,449.41,417.31,450.123595954879
770.0,411.53,450.08,417.43,450.80055214572377
780.0,411.54,450.75,417.55,451.4775083365685
790.0,411.54,451.42,417.68,452.15446452741327
800.0,411.54,452.09,417.8,452.831420718258
810.0,411.54,452.69,417.92,453.4332413816739
820.0,411.54,453.29,418.05,454.03506204508983
830.0,411.55,453.89,418.17,454.6368827085057
840.0,411.55,454.49,418.29,455.2387033719216
850.0,411.55,455.08,418.42,455.8405240353375
860.0,411.55,455.68,418.54,456.4423446987534
870.0,411.56,456.28,418.67,457.0441653621693
880.0,411.56,456.87,418.8,457.6459860255852
890.0,411.56,457.47,418.92,458.2478066890011
900.0,411.57,458.06,419.05,458.849627352417
910.0,411.57,458.66,419.18,459.4514480158329
920.0,411.57,459.26,419.31,460.0532686792488
930.0,411.58,459.85,419.44,460.6550893426647
940.0,411.58,460.45,419.57,461.2569100060806
950.0,411.59,461.04,419.7,461.8587306694965
960.0,411.59,461.64,419.84,462.4605513329124
970.0,411.59,462.24,419.97,463.0623719963283
980.0,411.6,462.83,420.1,463.6641926597442
990.0,411.6,463.43,420.24,464.2660133231601
1000.0,411.61,464.02,420.37,464.867833986576
1010.0,411.61,464.56,420.51,465.4016251988296
1020.0,411.62,465.1,420.64,465.93541641108317
1030.0,411.62,465.63,420.77,466.4692076233368
1040.0,411.63,466.16,420.91,467.0029988355904
1050.0,411.64,466.69,421.04,467.53679004784397
