Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,179.1430471,179.1430471,179.1430471,179.1430471
10.0,179.14,179.44,179.15,179.505634215
20.0,179.14,179.78,179.17,179.86822132999998
30.0,179.14,180.12,179.19,180.23080844499998
40.0,179.14,180.47,179.22,180.59339556
50.0,179.14,180.83,179.24,180.955982675
60.0,179.14,181.18,179.27,181.31856979
70.0,179.14,181.53,179.3,181.681156905
80.0,179.14,181.89,179.34,182.04374402
90.0,179.14,182.24,179.37,182.406331135
100.0,179.14,182.59,179.41,182.76891825
110.0,179.14,182.95,179.45,183.131505365
120.0,179.14,183.3,179.49,183.49409248
130.0,179.14,183.66,179.53,183.856679595
140.0,179.14,184.02,179.57,184.21926671
150.0,179.14,184.37,179.61,184.581853825
160.0,179.14,184.73,179.66,184.94444094
170.0,179.14,185.08,179.7,185.30702805500002
180.0,179.14,185.44,179.75,185.66961517000001
190.0,179.14,185.8,179.8,186.032202285
200.0,179.14,186.15,179.85,186.3947894
210.0,179.14,186.56,179.9,186.81705787500002
220.0,179.14,186.97,179.96,187.23932635
230.0,179.14,187.38,180.01,187.661594825
240.0,179.14,187.8,180.07,188.08386330000002
250.0,179.14,188.21,180.13,188.506131775
260.0,179.14,188.63,180.19,188.92840025
270.0,179.14,189.04,180.25,189.35066872500002
280.0,179.14,189.46,180.31,189.7729372
290.0,179.14,189.88,180.38,190.195205675
300.0,179.14,190.29,180.44,190.61747415000002
310.0,179.14,190.71,180.51,191.039742625
320.0,179.14,191.12,180.57,191.4620111
330.0,179.14,191.54,180.64,191.884279575
340.0,179.14,191.96,180.71,192.30654805
350.0,179.14,192.37,180.78,192.728816525
360.0,179.14,192.79,180.85,193.151085
370.0,179.14,193.2,180.92,193.573353475
380.0,179.14,193.62,181.0,193.99562195000001
390.0,179.14,194.04,181.07,194.417890425
400.0,179.14,194.45,181.14,194.8401589
410.0,179.14,194.87,181.22,195.25802404
420.0,179.14,195.28,181.3,195.67588918
430.0,179.14,195.69,181.37,196.09375432000002
440.0,179.14,196.1,181.45,196.51161946
450.0,179.15,196.52,181.53,196.9294846
460.0,179.15,196.93,181.61,197.34734974
470.0,179.15,197.34,181.69,197.76521488
480.0,179.15,197.75,181.77,198.18308002
490.0,179.15,198.17,181.85,198.60094516
500.0,179.15,198.58,181.93,199.01881029999998
510.0,179.15,198.99,182.01,199.43667544
520.0,179.15,199.41,182.1,199.85454058
530.0,179.15,199.82,182.18,200.27240572
540.0,179.15,200.23,182.27,200.69027086
550.0,179.15,200.64,182.35,201.108136
