Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,450.0,450.0,450.0,450.0
10.0,450.0,449.77,449.99,449.72222222222223
20.0,450.0,449.51,449.98,449.44444444444446
30.0,450.0,449.25,449.97,449.1666666666667
40.0,450.0,448.98,449.95,448.8888888888889
50.0,450.0,448.71,449.93,448.6111111111111
60.0,450.0,448.44,449.91,448.3333333333333
70.0,450.0,448.17,449.89,448.05555555555554
80.0,450.0,447.9,449.87,447.77777777777777
90.0,450.0,447.62,449.84,447.5
100.0,450.0,447.35,449.82,447.22222222222223
110.0,450.0,447.08,449.79,446.94444444444446
120.0,450.0,446.81,449.76,446.6666666666667
130.0,450.0,446.54,449.74,446.3888888888889
140.0,450.0,446.26,449.71,446.1111111111111
150.0,450.0,445.99,449.68,445.8333333333333
160.0,450.0,445.72,449.65,445.55555555555554
170.0,450.0,445.44,449.62,445.27777777777777
180.0,450.0,445.17,449.58,445.0
190.0,450.0,444.9,449.55,444.72222222222223
200.0,450.0,444.62,449.52,444.44444444444446
210.0,450.0,444.35,449.48,444.1666666666667
220.0,450.0,444.08,449.45,443.8888888888889
230.0,450.0,443.8,449.41,443.6111111111111
240.0,450.0,443.53,449.37,443.3333333333333
250.0,450.0,443.25,449.34,443.05555555555554
260.0,450.0,442.98,449.3,442.77777777777777
270.0,450.0,442.71,449.26,442.5
280.0,450.0,442.43,449.22,442.22222222222223
290.0,450.0,442.16,449.18,441.94444444444446
300.0,450.0,441.89,449.14,441.6666666666667
310.0,450.0,441.61,449.1,441.3888888888889
320.0,450.0,441.34,449.06,441.1111111111111
330.0,450.0,441.06,449.02,440.8333333333333
340.0,450.0,440.79,448.98,440.55555555555554
350.0,450.0,440.51,448.93,440.27777777777777
360.0,450.0,440.24,448.89,440.0
370.0,450.0,439.97,448.85,439.72222222222223
380.0,450.0,439.69,448.8,439.44444444444446
390.0,450.0,439.42,448.76,439.1666666666667
400.0,450.0,439.14,448.71,438.8888888888889
410.0,450.0,438.87,448.67,438.6111111111111
420.0,450.0,438.59,448.62,438.3333333333333
430.0,450.0,438.32,448.57,438.05555555555554
440.0,450.0,438.04,448.53,437.77777777777777
450.0,450.0,437.77,448.48,437.5
460.0,450.0,437.5,448.43,437.22222222222223
470.0,450.0,437.22,448.38,436.94444444444446
480.0,450.0,436.95,448.33,436.6666666666667
490.0,450.0,436.67,448.28,436.3888888888889
500.0,450.0,436.4,448.23,436.1111111111111
510.0,450.0,436.12,448.18,435.8333333333333
520.0,450.0,435.85,448.13,435.55555555555554
530.0,450.0,435.57,448.08,435.27777777777777
540.0,450.0,435.3,448.03,435.0
550.0,450.0,435.02,447.98,434.72222222222223
560.0,450.0,434.75,447.93,434.44444444444446
570.0,450.0,434.47,447.87,434.1666666666667
580.0,450.0,434.2,447.82,433.8888888888889
590.0,450.0,433.92,447.77,433.6111111111111
600.0,450.0,433.65,447.71,433.3333333333333
610.0,450.0,433.37,447.66,433.05555555555554
620.0,450.0,433.1,447.61,432.77777777777777
630.0,450.0,432.82,447.55,432.5
640.0,450.0,432.55,447.5,432.22222222222223
650.0,450.0,432.27,447.44,431.94444444444446
660.0,450.0,432.0,447.38,431.6666666666667
670.0,450.0,431.72,447.33,431.3888888888889
680.0,450.0,431.45,447.27,431.1111111111111
690.0,449.99,431.17,447.21,430.8333333333333
700.0,449.99,430.9,447.16,430.55555555555554
710.0,449.99,430.62,447.1,430.27777777777777
720.0,449.99,430.35,447.04,430.0
730.0,449.99,430.07,446.98,429.72222222222223
740.0,449.99,429.8,446.92,429.44444444444446
750.0,449.99,429.52,446.87,429.1666666666667
760.0,449.99,429.25,446.81,428.8888888888889
770.0,449.99,428.97,446.75,428.6111111111111
780.0,449.99,428.7,446.69,428.3333333333333
790.0,449.99,428.42,446.63,428.05555555555554
800.0,449.99,428.15,446.57,427.77777777777777
810.0,449.99,427.87,446.5,427.5
820.0,449.98,427.6,446.44,427.22222222222223
830.0,449.98,427.32,446.38,426.94444444444446
840.0,449.98,427.05,446.32,426.6666666666667
850.0,449.98,426.77,446.26,426.3888888888889
860.0,449.98,426.5,446.2,426.1111111111111
870.0,449.98,426.22,446.13,425.8333333333333
880.0,449.98,425.95,446.07,425.55555555555554
890.0,449.97,425.67,446.01,425.27777777777777
900.0,449.97,425.4,445.94,425.0
910.0,449.97,425.12,445.88,424.72222222222223
920.0,449.97,424.85,445.82,424.44444444444446
930.0,449.97,424.57,445.75,424.1666666666667
940.0,449.97,424.3,445.69,423.8888888888889
950.0,449.96,424.02,445.62,423.6111111111111
960.0,449.96,423.75,445.56,423.3333333333333
970.0,449.96,423.47,445.49,423.05555555555554
980.0,449.96,423.19,445.42,422.77777777777777
990.0,449.95,422.92,445.36,422.5
1000.0,449.95,422.64,445.29,422.22222222222223
1010.0,449.95,422.37,445.22,421.94444444444446
1020.0,449.95,422.09,445.16,421.6666666666667
1030.0,449.94,421.82,445.09,421.3888888888889
1040.0,449.94,421.54,445.02,421.1111111111111
1050.0,449.94,421.27,444.95,420.8333333333333
1060.0,449.94,420.99,444.89,420.55555555555554
1070.0,449.93,420.72,444.82,420.27777777777777
1080.0,449.93,420.44,444.75,420.0
1090.0,449.93,420.17,444.68,419.72222222222223
1100.0,449.92,419.89,444.61,419.44444444444446
1110.0,449.92,419.62,444.54,419.1666666666667
1120.0,449.91,419.34,444.47,418.8888888888889
1130.0,449.91,419.06,444.4,418.6111111111111
1140.0,449.91,418.79,444.33,418.3333333333333
1150.0,449.9,418.51,444.26,418.05555555555554
1160.0,449.9,418.24,444.19,417.77777777777777
1170.0,449.89,417.96,444.12,417.5
1180.0,449.89,417.69,444.05,417.22222222222223
1190.0,449.89,417.41,443.98,416.94444444444446
1200.0,449.88,417.14,443.91,416.6666666666667
1210.0,449.88,416.86,443.83,416.3888888888889
1220.0,449.87,416.59,443.76,416.1111111111111
