Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,444.0,444.0,444.0,444.0
10.0,444.0,443.84,443.99,443.80555555555554
20.0,444.0,443.66,443.98,443.6111111111111
30.0,444.0,443.47,443.97,443.4166666666667
40.0,444.0,443.28,443.96,443.22222222222223
50.0,444.0,443.1,443.94,443.02777777777777
60.0,444.0,442.91,443.93,442.8333333333333
70.0,444.0,442.72,443.91,442.6388888888889
80.0,444.0,442.53,443.89,442.44444444444446
90.0,444.0,442.34,443.88,442.25
100.0,444.0,442.15,443.86,442.05555555555554
110.0,444.0,441.96,443.84,441.8611111111111
120.0,444.0,441.77,443.82,441.6666666666667
130.0,444.0,441.57,443.79,441.47222222222223
140.0,444.0,441.38,443.77,441.27777777777777
150.0,444.0,441.19,443.75,441.0833333333333
160.0,444.0,441.0,443.73,440.8888888888889
170.0,444.0,440.81,443.7,440.69444444444446
180.0,444.0,440.62,443.68,440.5
190.0,444.0,440.43,443.66,440.30555555555554
200.0,444.0,440.24,443.63,440.1111111111111
210.0,444.0,440.04,443.61,439.9166666666667
220.0,444.0,439.85,443.58,439.72222222222223
230.0,444.0,439.66,443.55,439.52777777777777
240.0,444.0,439.47,443.53,439.3333333333333
250.0,444.0,439.28,443.5,439.1388888888889
260.0,444.0,439.09,443.47,438.94444444444446
270.0,444.0,438.89,443.44,438.75
280.0,444.0,438.7,443.42,438.55555555555554
290.0,444.0,438.51,443.39,438.3611111111111
300.0,444.0,438.32,443.36,438.1666666666667
310.0,444.0,438.13,443.33,437.97222222222223
320.0,444.0,437.94,443.3,437.77777777777777
330.0,444.0,437.74,443.27,437.5833333333333
340.0,444.0,437.55,443.24,437.3888888888889
350.0,444.0,437.36,443.2,437.19444444444446
360.0,444.0,437.17,443.17,437.0
370.0,444.0,436.98,443.14,436.80555555555554
380.0,444.0,436.78,443.11,436.6111111111111
390.0,444.0,436.59,443.08,436.4166666666667
400.0,444.0,436.4,443.04,436.22222222222223
410.0,444.0,436.21,443.01,436.02777777777777
420.0,444.0,436.01,442.98,435.8333333333333
430.0,444.0,435.82,442.94,435.6388888888889
440.0,444.0,435.63,442.91,435.44444444444446
450.0,444.0,435.44,442.87,435.25
460.0,444.0,435.25,442.84,435.05555555555554
470.0,444.0,435.05,442.8,434.8611111111111
480.0,444.0,434.86,442.77,434.6666666666667
490.0,444.0,434.67,442.73,434.47222222222223
500.0,444.0,434.48,442.7,434.27777777777777
510.0,444.0,434.28,442.66,434.0833333333333
520.0,444.0,434.09,442.62,433.8888888888889
530.0,444.0,433.9,442.59,433.69444444444446
540.0,444.0,433.71,442.55,433.5
550.0,444.0,433.52,442.51,433.30555555555554
560.0,444.0,433.32,442.48,433.1111111111111
570.0,444.0,433.13,442.44,432.9166666666667
580.0,444.0,432.94,442.4,432.72222222222223
590.0,444.0,432.75,442.36,432.52777777777777
600.0,444.0,432.55,442.32,432.3333333333333
610.0,444.0,432.36,442.28,432.1388888888889
620.0,444.0,432.17,442.24,431.94444444444446
630.0,444.0,431.98,442.2,431.75
640.0,444.0,431.78,442.17,431.55555555555554
650.0,444.0,431.59,442.13,431.3611111111111
660.0,444.0,431.4,442.09,431.1666666666667
670.0,444.0,431.21,442.04,430.97222222222223
680.0,444.0,431.01,442.0,430.77777777777777
690.0,444.0,430.82,441.96,430.5833333333333
700.0,444.0,430.63,441.92,430.3888888888889
710.0,444.0,430.44,441.88,430.19444444444446
720.0,444.0,430.24,441.84,430.0
730.0,443.99,430.05,441.8,429.80555555555554
740.0,443.99,429.86,441.76,429.6111111111111
750.0,443.99,429.67,441.71,429.4166666666667
760.0,443.99,429.47,441.67,429.22222222222223
770.0,443.99,429.28,441.63,429.02777777777777
780.0,443.99,429.09,441.58,428.8333333333333
790.0,443.99,428.9,441.54,428.6388888888889
800.0,443.99,428.7,441.5,428.44444444444446
810.0,443.99,428.51,441.45,428.25
820.0,443.99,428.32,441.41,428.05555555555554
830.0,443.99,428.13,441.37,427.8611111111111
840.0,443.99,427.93,441.32,427.6666666666667
850.0,443.99,427.74,441.28,427.47222222222223
860.0,443.99,427.55,441.23,427.27777777777777
870.0,443.98,427.36,441.19,427.0833333333333
880.0,443.98,427.16,441.14,426.8888888888889
890.0,443.98,426.97,441.1,426.69444444444446
900.0,443.98,426.78,441.05,426.5
910.0,443.98,426.58,441.01,426.30555555555554
920.0,443.98,426.39,440.96,426.1111111111111
930.0,443.98,426.2,440.92,425.9166666666667
940.0,443.98,426.01,440.87,425.72222222222223
950.0,443.97,425.81,440.82,425.52777777777777
960.0,443.97,425.62,440.78,425.3333333333333
970.0,443.97,425.43,440.73,425.1388888888889
980.0,443.97,425.24,440.68,424.94444444444446
990.0,443.97,425.04,440.63,424.75
1000.0,443.97,424.85,440.59,424.55555555555554
1010.0,443.96,424.66,440.54,424.3611111111111
1020.0,443.96,424.46,440.49,424.1666666666667
1030.0,443.96,424.27,440.44,423.97222222222223
1040.0,443.96,424.08,440.4,423.77777777777777
1050.0,443.96,423.89,440.35,423.5833333333333
1060.0,443.95,423.69,440.3,423.3888888888889
1070.0,443.95,423.5,440.25,423.19444444444446
1080.0,443.95,423.31,440.2,423.0
1090.0,443.95,423.12,440.15,422.80555555555554
1100.0,443.95,422.92,440.1,422.6111111111111
1110.0,443.94,422.73,440.05,422.4166666666667
1120.0,443.94,422.54,440.0,422.22222222222223
1130.0,443.94,422.34,439.95,422.02777777777777
1140.0,443.93,422.15,439.9,421.8333333333333
1150.0,443.93,421.96,439.85,421.6388888888889
1160.0,443.93,421.77,439.8,421.44444444444446
1170.0,443.93,421.57,439.75,421.25
1180.0,443.92,421.38,439.7,421.05555555555554
1190.0,443.92,421.19,439.65,420.8611111111111
1200.0,443.92,421.0,439.6,420.6666666666667
1210.0,443.91,420.8,439.55,420.47222222222223
1220.0,443.91,420.61,439.5,420.27777777777777
1230.0,443.91,420.42,439.45,420.0833333333333
1240.0,443.9,420.22,439.39,419.8888888888889
1250.0,443.9,420.03,439.34,419.69444444444446
1260.0,443.89,419.84,439.29,419.5
1270.0,443.89,419.65,439.24,419.30555555555554
1280.0,443.89,419.45,439.19,419.1111111111111
1290.0,443.88,419.26,439.13,418.9166666666667
1300.0,443.88,419.07,439.08,418.72222222222223
1310.0,443.87,418.87,439.03,418.52777777777777
1320.0,443.87,418.68,438.97,418.3333333333333
1330.0,443.86,418.49,438.92,418.1388888888889
1340.0,443.86,418.3,438.87,417.94444444444446
1350.0,443.86,418.1,438.81,417.75
1360.0,443.85,417.91,438.76,417.55555555555554
1370.0,443.85,417.72,438.71,417.3611111111111
1380.0,443.84,417.52,438.65,417.1666666666667
1390.0,443.84,417.33,438.6,416.97222222222223
1400.0,443.83,417.14,438.54,416.77777777777777
1410.0,443.82,416.95,438.49,416.5833333333333
1420.0,443.82,416.75,438.44,416.3888888888889
