Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,398.0,398.0,398.0,398.0
10.0,398.0,397.83,397.98,397.82708333333335
20.0,398.0,397.66,397.96,397.65416666666664
30.0,398.0,397.48,397.93,397.48125
40.0,398.0,397.31,397.91,397.30833333333334
50.0,398.0,397.14,397.88,397.1354166666667
60.0,398.0,396.96,397.86,396.9625
70.0,398.0,396.79,397.83,396.7895833333333
80.0,398.0,396.62,397.8,396.6166666666667
90.0,398.0,396.45,397.77,396.44375
100.0,398.0,396.27,397.74,396.2708333333333
110.0,398.0,396.1,397.71,396.09791666666666
120.0,398.0,395.93,397.68,395.925
130.0,398.0,395.75,397.65,395.75208333333336
140.0,398.0,395.58,397.62,395.57916666666665
150.0,398.0,395.41,397.59,395.40625
160.0,398.0,395.24,397.56,395.23333333333335
170.0,398.0,395.06,397.52,395.06041666666664
180.0,398.0,394.89,397.49,394.8875
190.0,398.0,394.72,397.46,394.71458333333334
200.0,398.0,394.54,397.42,394.5416666666667
210.0,398.0,394.37,397.39,394.36875
220.0,398.0,394.2,397.35,394.1958333333333
230.0,398.0,394.03,397.32,394.0229166666667
240.0,398.0,393.85,397.28,393.85
250.0,398.0,393.68,397.25,393.6770833333333
260.0,398.0,393.51,397.21,393.50416666666666
270.0,398.0,393.33,397.17,393.33125
280.0,398.0,393.16,397.14,393.15833333333336
290.0,398.0,392.99,397.1,392.98541666666665
300.0,398.0,392.82,397.06,392.8125
310.0,398.0,392.64,397.02,392.63958333333335
320.0,398.0,392.47,396.98,392.46666666666664
330.0,398.0,392.3,396.94,392.29375
340.0,398.0,392.12,396.91,392.12083333333334
350.0,398.0,391.95,396.87,391.9479166666667
360.0,398.0,391.78,396.83,391.775
370.0,398.0,391.61,396.79,391.6020833333333
380.0,398.0,391.43,396.75,391.4291666666667
390.0,398.0,391.26,396.71,391.25625
400.0,398.0,391.09,396.66,391.0833333333333
410.0,398.0,390.91,396.62,390.91041666666666
420.0,398.0,390.74,396.58,390.7375
430.0,398.0,390.57,396.54,390.56458333333336
440.0,398.0,390.4,396.5,390.39166666666665
450.0,398.0,390.22,396.46,390.21875
460.0,398.0,390.05,396.41,390.04583333333335
470.0,398.0,389.88,396.37,389.87291666666664
480.0,398.0,389.7,396.33,389.7
490.0,398.0,389.53,396.29,389.52708333333334
500.0,398.0,389.36,396.24,389.3541666666667
510.0,398.0,389.19,396.2,389.18125
520.0,398.0,389.01,396.15,389.0083333333333
530.0,398.0,388.84,396.11,388.8354166666667
540.0,398.0,388.67,396.07,388.6625
550.0,398.0,388.49,396.02,388.4895833333333
560.0,398.0,388.32,395.98,388.31666666666666
570.0,398.0,388.15,395.93,388.14375
580.0,398.0,387.98,395.89,387.97083333333336
590.0,398.0,387.8,395.84,387.79791666666665
600.0,398.0,387.63,395.8,387.625
610.0,398.0,387.46,395.75,387.45208333333335
620.0,398.0,387.28,395.7,387.27916666666664
630.0,398.0,387.11,395.66,387.10625
640.0,398.0,386.94,395.61,386.93333333333334
650.0,398.0,386.77,395.56,386.7604166666667
660.0,398.0,386.59,395.52,386.5875
670.0,398.0,386.42,395.47,386.4145833333333
680.0,398.0,386.25,395.42,386.2416666666667
690.0,398.0,386.07,395.38,386.06875
700.0,398.0,385.9,395.33,385.8958333333333
710.0,398.0,385.73,395.28,385.72291666666666
720.0,398.0,385.56,395.23,385.55
730.0,397.99,385.38,395.18,385.37708333333336
740.0,397.99,385.21,395.13,385.20416666666665
750.0,397.99,385.04,395.09,385.03125
760.0,397.99,384.86,395.04,384.85833333333335
770.0,397.99,384.69,394.99,384.68541666666664
780.0,397.99,384.52,394.94,384.5125
790.0,397.99,384.35,394.89,384.33958333333334
800.0,397.99,384.17,394.84,384.1666666666667
810.0,397.99,384.0,394.79,383.99375
820.0,397.99,383.83,394.74,383.8208333333333
830.0,397.99,383.65,394.69,383.6479166666667
840.0,397.99,383.48,394.64,383.475
850.0,397.99,383.31,394.59,383.3020833333333
860.0,397.99,383.14,394.54,383.12916666666666
870.0,397.99,382.96,394.49,382.95625
880.0,397.98,382.79,394.44,382.78333333333336
890.0,397.98,382.62,394.39,382.61041666666665
900.0,397.98,382.44,394.34,382.4375
910.0,397.98,382.27,394.28,382.26458333333335
920.0,397.98,382.1,394.23,382.09166666666664
930.0,397.98,381.93,394.18,381.91875
940.0,397.98,381.75,394.13,381.74583333333334
950.0,397.98,381.58,394.08,381.5729166666667
960.0,397.98,381.41,394.02,381.4
970.0,397.97,381.23,393.97,381.2270833333333
980.0,397.97,381.06,393.92,381.0541666666667
990.0,397.97,380.89,393.87,380.88125
1000.0,397.97,380.72,393.81,380.7083333333333
1010.0,397.97,380.54,393.76,380.53541666666666
1020.0,397.97,380.37,393.71,380.3625
1030.0,397.96,380.2,393.65,380.1895833333333
1040.0,397.96,380.02,393.6,380.01666666666665
1050.0,397.96,379.85,393.55,379.84375
1060.0,397.96,379.68,393.49,379.67083333333335
1070.0,397.96,379.51,393.44,379.49791666666664
1080.0,397.95,379.33,393.38,379.325
1090.0,397.95,379.16,393.33,379.15208333333334
1100.0,397.95,378.99,393.28,378.9791666666667
1110.0,397.95,378.81,393.22,378.80625
1120.0,397.94,378.64,393.17,378.6333333333333
1130.0,397.94,378.47,393.11,378.4604166666667
1140.0,397.94,378.29,393.06,378.2875
1150.0,397.94,378.12,393.0,378.1145833333333
1160.0,397.93,377.95,392.95,377.94166666666666
1170.0,397.93,377.78,392.89,377.76875
1180.0,397.93,377.6,392.84,377.5958333333333
1190.0,397.93,377.43,392.78,377.42291666666665
1200.0,397.92,377.26,392.72,377.25
1210.0,397.92,377.08,392.67,377.07708333333335
1220.0,397.92,376.91,392.61,376.90416666666664
1230.0,397.91,376.74,392.55,376.73125
1240.0,397.91,376.57,392.5,376.55833333333334
1250.0,397.91,376.39,392.44,376.3854166666667
1260.0,397.9,376.22,392.39,376.2125
1270.0,397.9,376.05,392.33,376.0395833333333
1280.0,397.9,375.87,392.27,375.8666666666667
1290.0,397.89,375.7,392.21,375.69375
1300.0,397.89,375.53,392.16,375.5208333333333
1310.0,397.88,375.36,392.1,375.34791666666666
1320.0,397.88,375.18,392.04,375.175
1330.0,397.88,375.01,391.98,375.0020833333333
1340.0,397.87,374.84,391.93,374.82916666666665
1350.0,397.87,374.66,391.87,374.65625
1360.0,397.86,374.49,391.81,374.48333333333335
1370.0,397.86,374.32,391.75,374.31041666666664
1380.0,397.85,374.15,391.69,374.1375
1390.0,397.85,373.97,391.64,373.96458333333334
1400.0,397.84,373.8,391.58,373.7916666666667
1410.0,397.84,373.63,391.52,373.61875
1420.0,397.83,373.45,391.46,373.4458333333333
1430.0,397.83,373.28,391.4,373.2729166666667
1440.0,397.82,373.11,391.34,373.1
1450.0,397.82,372.94,391.28,372.9270833333333
1460.0,397.81,372.76,391.22,372.75416666666666
1470.0,397.81,372.59,391.16,372.58125
1480.0,397.8,372.42,391.1,372.4083333333333
1490.0,397.8,372.24,391.04,372.23541666666665
1500.0,397.79,372.07,390.98,372.0625
1510.0,397.78,371.9,390.92,371.88958333333335
1520.0,397.78,371.73,390.86,371.71666666666664
1530.0,397.77,371.55,390.8,371.54375
1540.0,397.76,371.38,390.74,371.37083333333334
1550.0,397.76,371.21,390.68,371.1979166666667
1560.0,397.75,371.03,390.62,371.025
1570.0,397.75,370.86,390.56,370.8520833333333
1580.0,397.74,370.69,390.5,370.6791666666667
1590.0,397.73,370.52,390.44,370.50625
1600.0,397.72,370.34,390.38,370.3333333333333
1610.0,397.72,370.17,390.32,370.16041666666666
1620.0,397.71,370.0,390.25,369.9875
1630.0,397.7,369.82,390.19,369.8145833333333
1640.0,397.7,369.65,390.13,369.64166666666665
