Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,370.0,370.0,370.0,370.0
10.0,370.0,369.85,369.99,369.8263888888889
20.0,370.0,369.69,369.98,369.65277777777777
30.0,370.0,369.52,369.97,369.4791666666667
40.0,370.0,369.35,369.96,369.30555555555554
50.0,370.0,369.18,369.95,369.13194444444446
60.0,370.0,369.01,369.93,368.9583333333333
70.0,370.0,368.84,369.92,368.78472222222223
80.0,370.0,368.67,369.9,368.6111111111111
90.0,370.0,368.5,369.89,368.4375
100.0,370.0,368.33,369.87,368.2638888888889
110.0,370.0,368.16,369.85,368.09027777777777
120.0,370.0,367.98,369.83,367.9166666666667
130.0,370.0,367.81,369.81,367.74305555555554
140.0,370.0,367.64,369.79,367.56944444444446
150.0,370.0,367.47,369.77,367.3958333333333
160.0,370.0,367.3,369.75,367.22222222222223
170.0,370.0,367.13,369.73,367.0486111111111
180.0,370.0,366.96,369.71,366.875
190.0,370.0,366.78,369.69,366.7013888888889
200.0,370.0,366.61,369.67,366.52777777777777
210.0,370.0,366.44,369.64,366.3541666666667
220.0,370.0,366.27,369.62,366.18055555555554
230.0,370.0,366.1,369.6,366.00694444444446
240.0,370.0,365.93,369.57,365.8333333333333
250.0,370.0,365.75,369.55,365.65972222222223
260.0,370.0,365.58,369.52,365.4861111111111
270.0,370.0,365.41,369.5,365.3125
280.0,370.0,365.24,369.47,365.1388888888889
290.0,370.0,365.07,369.44,364.96527777777777
300.0,370.0,364.89,369.42,364.7916666666667
310.0,370.0,364.72,369.39,364.61805555555554
320.0,370.0,364.55,369.36,364.44444444444446
330.0,370.0,364.38,369.33,364.2708333333333
340.0,370.0,364.21,369.31,364.09722222222223
350.0,370.0,364.03,369.28,363.9236111111111
360.0,370.0,363.86,369.25,363.75
370.0,370.0,363.69,369.22,363.5763888888889
380.0,370.0,363.52,369.19,363.40277777777777
390.0,370.0,363.35,369.16,363.2291666666667
400.0,370.0,363.17,369.13,363.05555555555554
410.0,370.0,363.0,369.1,362.88194444444446
420.0,370.0,362.83,369.07,362.7083333333333
430.0,370.0,362.66,369.04,362.53472222222223
440.0,370.0,362.48,369.01,362.3611111111111
450.0,370.0,362.31,368.98,362.1875
460.0,370.0,362.14,368.95,362.0138888888889
470.0,370.0,361.97,368.92,361.84027777777777
480.0,370.0,361.8,368.88,361.6666666666667
490.0,370.0,361.62,368.85,361.49305555555554
500.0,370.0,361.45,368.82,361.31944444444446
510.0,370.0,361.28,368.79,361.1458333333333
520.0,370.0,361.11,368.75,360.97222222222223
530.0,370.0,360.93,368.72,360.7986111111111
540.0,370.0,360.76,368.69,360.625
550.0,370.0,360.59,368.65,360.4513888888889
560.0,370.0,360.42,368.62,360.27777777777777
570.0,370.0,360.25,368.58,360.1041666666667
580.0,370.0,360.07,368.55,359.93055555555554
590.0,370.0,359.9,368.51,359.75694444444446
600.0,370.0,359.73,368.48,359.5833333333333
610.0,370.0,359.56,368.44,359.40972222222223
620.0,370.0,359.38,368.41,359.2361111111111
630.0,370.0,359.21,368.37,359.0625
640.0,370.0,359.04,368.34,358.8888888888889
650.0,370.0,358.87,368.3,358.71527777777777
660.0,370.0,358.69,368.26,358.5416666666667
670.0,370.0,358.52,368.23,358.36805555555554
680.0,370.0,358.35,368.19,358.19444444444446
690.0,370.0,358.18,368.15,358.0208333333333
700.0,370.0,358.0,368.12,357.84722222222223
