Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,300.0,300.0,300.0,300.0
10.0,300.0,299.89,300.0,299.8611111111111
20.0,300.0,299.76,299.99,299.72222222222223
30.0,300.0,299.62,299.98,299.5833333333333
40.0,300.0,299.49,299.97,299.44444444444446
50.0,300.0,299.35,299.96,299.30555555555554
60.0,300.0,299.22,299.95,299.1666666666667
70.0,300.0,299.08,299.94,299.02777777777777
80.0,300.0,298.95,299.93,298.8888888888889
90.0,300.0,298.81,299.92,298.75
100.0,300.0,298.68,299.9,298.6111111111111
110.0,300.0,298.54,299.89,298.47222222222223
120.0,300.0,298.41,299.88,298.3333333333333
130.0,300.0,298.27,299.86,298.19444444444446
140.0,300.0,298.13,299.85,298.05555555555554
150.0,300.0,298.0,299.83,297.9166666666667
160.0,300.0,297.86,299.81,297.77777777777777
170.0,300.0,297.72,299.8,297.6388888888889
180.0,300.0,297.59,299.78,297.5
190.0,300.0,297.45,299.76,297.3611111111111
200.0,300.0,297.31,299.75,297.22222222222223
210.0,300.0,297.18,299.73,297.0833333333333
220.0,300.0,297.04,299.71,296.94444444444446
230.0,300.0,296.9,299.69,296.80555555555554
240.0,300.0,296.77,299.67,296.6666666666667
250.0,300.0,296.63,299.65,296.52777777777777
260.0,300.0,296.49,299.63,296.3888888888889
270.0,300.0,296.36,299.61,296.25
280.0,300.0,296.22,299.59,296.1111111111111
290.0,300.0,296.08,299.57,295.97222222222223
300.0,300.0,295.95,299.55,295.8333333333333
310.0,300.0,295.81,299.53,295.69444444444446
320.0,300.0,295.67,299.51,295.55555555555554
330.0,300.0,295.53,299.48,295.4166666666667
340.0,300.0,295.4,299.46,295.27777777777777
350.0,300.0,295.26,299.44,295.1388888888889
360.0,300.0,295.12,299.42,295.0
370.0,300.0,294.99,299.39,294.8611111111111
380.0,300.0,294.85,299.37,294.72222222222223
390.0,300.0,294.71,299.35,294.5833333333333
400.0,300.0,294.57,299.32,294.44444444444446
410.0,300.0,294.44,299.3,294.30555555555554
420.0,300.0,294.3,299.27,294.1666666666667
430.0,300.0,294.16,299.25,294.02777777777777
440.0,300.0,294.03,299.22,293.8888888888889
450.0,300.0,293.89,299.2,293.75
460.0,300.0,293.75,299.17,293.6111111111111
470.0,300.0,293.61,299.15,293.47222222222223
480.0,300.0,293.48,299.12,293.3333333333333
490.0,300.0,293.34,299.1,293.19444444444446
500.0,300.0,293.2,299.07,293.05555555555554
510.0,300.0,293.06,299.04,292.9166666666667
520.0,300.0,292.93,299.02,292.77777777777777
530.0,300.0,292.79,298.99,292.6388888888889
540.0,300.0,292.65,298.96,292.5
550.0,300.0,292.52,298.94,292.3611111111111
560.0,300.0,292.38,298.91,292.22222222222223
570.0,300.0,292.24,298.88,292.0833333333333
580.0,300.0,292.1,298.85,291.94444444444446
590.0,300.0,291.97,298.83,291.80555555555554
600.0,300.0,291.83,298.8,291.6666666666667
610.0,300.0,291.69,298.77,291.52777777777777
620.0,300.0,291.55,298.74,291.3888888888889
630.0,300.0,291.42,298.71,291.25
640.0,300.0,291.28,298.68,291.1111111111111
650.0,300.0,291.14,298.65,290.97222222222223
660.0,300.0,291.0,298.62,290.8333333333333
670.0,300.0,290.87,298.59,290.69444444444446
680.0,300.0,290.73,298.56,290.55555555555554
690.0,299.99,290.59,298.53,290.4166666666667
700.0,299.99,290.45,298.5,290.27777777777777
710.0,299.99,290.32,298.47,290.1388888888889
720.0,299.99,290.18,298.44,290.0
730.0,299.99,290.04,298.41,289.8611111111111
740.0,299.99,289.9,298.38,289.72222222222223
750.0,299.99,289.77,298.35,289.5833333333333
760.0,299.99,289.63,298.32,289.44444444444446
770.0,299.99,289.49,298.29,289.30555555555554
780.0,299.99,289.35,298.26,289.1666666666667
790.0,299.99,289.22,298.22,289.02777777777777
800.0,299.99,289.08,298.19,288.8888888888889
810.0,299.99,288.94,298.16,288.75
820.0,299.99,288.8,298.13,288.6111111111111
830.0,299.98,288.67,298.1,288.47222222222223
840.0,299.98,288.53,298.06,288.3333333333333
850.0,299.98,288.39,298.03,288.19444444444446
860.0,299.98,288.25,298.0,288.05555555555554
870.0,299.98,288.12,297.96,287.9166666666667
880.0,299.98,287.98,297.93,287.77777777777777
890.0,299.98,287.84,297.9,287.6388888888889
900.0,299.98,287.7,297.86,287.5
910.0,299.97,287.57,297.83,287.3611111111111
920.0,299.97,287.43,297.8,287.22222222222223
930.0,299.97,287.29,297.76,287.0833333333333
940.0,299.97,287.15,297.73,286.94444444444446
950.0,299.97,287.02,297.7,286.80555555555554
960.0,299.97,286.88,297.66,286.6666666666667
970.0,299.97,286.74,297.63,286.52777777777777
980.0,299.96,286.6,297.59,286.3888888888889
990.0,299.96,286.47,297.56,286.25
1000.0,299.96,286.33,297.52,286.1111111111111
1010.0,299.96,286.19,297.49,285.97222222222223
1020.0,299.96,286.05,297.45,285.8333333333333
1030.0,299.95,285.92,297.42,285.69444444444446
1040.0,299.95,285.78,297.38,285.55555555555554
1050.0,299.95,285.64,297.34,285.4166666666667
1060.0,299.95,285.5,297.31,285.27777777777777
1070.0,299.94,285.37,297.27,285.1388888888889
1080.0,299.94,285.23,297.24,285.0
1090.0,299.94,285.09,297.2,284.8611111111111
1100.0,299.94,284.95,297.16,284.72222222222223
1110.0,299.93,284.81,297.13,284.5833333333333
1120.0,299.93,284.68,297.09,284.44444444444446
1130.0,299.93,284.54,297.05,284.30555555555554
1140.0,299.92,284.4,297.02,284.1666666666667
1150.0,299.92,284.26,296.98,284.02777777777777
1160.0,299.92,284.13,296.94,283.8888888888889
1170.0,299.92,283.99,296.91,283.75
1180.0,299.91,283.85,296.87,283.6111111111111
1190.0,299.91,283.71,296.83,283.47222222222223
1200.0,299.9,283.58,296.79,283.3333333333333
1210.0,299.9,283.44,296.75,283.19444444444446
1220.0,299.9,283.3,296.72,283.05555555555554
1230.0,299.89,283.16,296.68,282.9166666666667
1240.0,299.89,283.03,296.64,282.77777777777777
1250.0,299.89,282.89,296.6,282.6388888888889
1260.0,299.88,282.75,296.56,282.5
1270.0,299.88,282.61,296.52,282.3611111111111
1280.0,299.87,282.47,296.49,282.22222222222223
1290.0,299.87,282.34,296.45,282.0833333333333
1300.0,299.87,282.2,296.41,281.94444444444446
1310.0,299.86,282.06,296.37,281.80555555555554
1320.0,299.86,281.92,296.33,281.6666666666667
1330.0,299.85,281.79,296.29,281.52777777777777
1340.0,299.85,281.65,296.25,281.3888888888889
1350.0,299.84,281.51,296.21,281.25
1360.0,299.84,281.37,296.17,281.1111111111111
1370.0,299.83,281.24,296.13,280.97222222222223
1380.0,299.83,281.1,296.09,280.8333333333333
1390.0,299.82,280.96,296.05,280.69444444444446
1400.0,299.82,280.82,296.01,280.55555555555554
1410.0,299.81,280.68,295.97,280.4166666666667
1420.0,299.81,280.55,295.93,280.27777777777777
1430.0,299.8,280.41,295.89,280.1388888888889
1440.0,299.79,280.27,295.85,280.0
1450.0,299.79,280.13,295.81,279.8611111111111
1460.0,299.78,280.0,295.77,279.72222222222223
1470.0,299.78,279.86,295.72,279.5833333333333
1480.0,299.77,279.72,295.68,279.44444444444446
1490.0,299.76,279.58,295.64,279.30555555555554
1500.0,299.76,279.44,295.6,279.1666666666667
1510.0,299.75,279.31,295.56,279.02777777777777
1520.0,299.74,279.17,295.52,278.8888888888889
1530.0,299.74,279.03,295.48,278.75
1540.0,299.73,278.89,295.43,278.6111111111111
1550.0,299.72,278.76,295.39,278.47222222222223
1560.0,299.72,278.62,295.35,278.3333333333333
1570.0,299.71,278.48,295.31,278.19444444444446
1580.0,299.7,278.34,295.26,278.05555555555554
1590.0,299.7,278.21,295.22,277.9166666666667
1600.0,299.69,278.07,295.18,277.77777777777777
1610.0,299.68,277.93,295.14,277.6388888888889
1620.0,299.67,277.79,295.09,277.5
1630.0,299.66,277.65,295.05,277.3611111111111
1640.0,299.66,277.52,295.01,277.22222222222223
1650.0,299.65,277.38,294.96,277.0833333333333
1660.0,299.64,277.24,294.92,276.94444444444446
1670.0,299.63,277.1,294.88,276.80555555555554
1680.0,299.62,276.97,294.83,276.6666666666667
1690.0,299.62,276.83,294.79,276.52777777777777
1700.0,299.61,276.69,294.75,276.3888888888889
1710.0,299.6,276.55,294.7,276.25
1720.0,299.59,276.41,294.66,276.1111111111111
1730.0,299.58,276.28,294.61,275.97222222222223
1740.0,299.57,276.14,294.57,275.8333333333333
1750.0,299.56,276.0,294.53,275.69444444444446
1760.0,299.55,275.86,294.48,275.55555555555554
1770.0,299.54,275.73,294.44,275.4166666666667
1780.0,299.54,275.59,294.39,275.27777777777777
1790.0,299.53,275.45,294.35,275.1388888888889
1800.0,299.52,275.31,294.3,275.0
1810.0,299.51,275.17,294.26,274.8611111111111
1820.0,299.5,275.04,294.21,274.72222222222223
1830.0,299.49,274.9,294.17,274.5833333333333
1840.0,299.48,274.76,294.12,274.44444444444446
1850.0,299.47,274.62,294.08,274.30555555555554
1860.0,299.46,274.48,294.03,274.1666666666667
1870.0,299.45,274.35,293.99,274.02777777777777
1880.0,299.43,274.21,293.94,273.8888888888889
1890.0,299.42,274.07,293.89,273.75
1900.0,299.41,273.93,293.85,273.6111111111111
1910.0,299.4,273.8,293.8,273.47222222222223
1920.0,299.39,273.66,293.76,273.3333333333333
1930.0,299.38,273.52,293.71,273.19444444444446
1940.0,299.37,273.38,293.66,273.05555555555554
1950.0,299.36,273.24,293.62,272.9166666666667
1960.0,299.35,273.11,293.57,272.77777777777777
1970.0,299.33,272.97,293.52,272.6388888888889
1980.0,299.32,272.83,293.48,272.5
1990.0,299.31,272.69,293.43,272.3611111111111
2000.0,299.3,272.56,293.38,272.22222222222223
2010.0,299.29,272.42,293.34,272.0833333333333
2020.0,299.27,272.28,293.29,271.94444444444446
2030.0,299.26,272.14,293.24,271.80555555555554
2040.0,299.25,272.0,293.19,271.6666666666667
2050.0,299.24,271.87,293.15,271.52777777777777
2060.0,299.22,271.73,293.1,271.3888888888889
2070.0,299.21,271.59,293.05,271.25
2080.0,299.2,271.45,293.0,271.1111111111111
2090.0,299.18,271.31,292.96,270.97222222222223
2100.0,299.17,271.18,292.91,270.8333333333333
2110.0,299.16,271.04,292.86,270.69444444444446
2120.0,299.14,270.9,292.81,270.55555555555554
2130.0,299.13,270.76,292.76,270.4166666666667
2140.0,299.12,270.63,292.72,270.27777777777777
2150.0,299.1,270.49,292.67,270.1388888888889
2160.0,299.09,270.35,292.62,270.0
2170.0,299.08,270.21,292.57,269.8611111111111
2180.0,299.06,270.07,292.52,269.72222222222223
2190.0,299.05,269.94,292.47,269.5833333333333
2200.0,299.03,269.8,292.42,269.44444444444446
2210.0,299.02,269.66,292.37,269.30555555555554
2220.0,299.0,269.52,292.32,269.1666666666667
2230.0,298.99,269.38,292.28,269.02777777777777
2240.0,298.97,269.25,292.23,268.8888888888889
2250.0,298.96,269.11,292.18,268.75
