Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,305.0,305.0,305.0,305.0
10.0,305.0,304.72,304.97,304.72222222222223
20.0,305.0,304.44,304.94,304.44444444444446
30.0,305.0,304.17,304.9,304.1666666666667
40.0,305.0,303.89,304.86,303.8888888888889
50.0,305.0,303.61,304.82,303.6111111111111
60.0,305.0,303.33,304.78,303.3333333333333
70.0,305.0,303.06,304.74,303.05555555555554
80.0,305.0,302.78,304.69,302.77777777777777
90.0,305.0,302.5,304.64,302.5
100.0,305.0,302.22,304.6,302.22222222222223
110.0,305.0,301.94,304.55,301.94444444444446
120.0,305.0,301.67,304.5,301.6666666666667
130.0,305.0,301.39,304.45,301.3888888888889
140.0,305.0,301.11,304.4,301.1111111111111
150.0,305.0,300.83,304.35,300.8333333333333
160.0,305.0,300.56,304.3,300.55555555555554
170.0,305.0,300.28,304.24,300.27777777777777
180.0,305.0,300.0,304.19,300.0
190.0,305.0,299.72,304.13,299.72222222222223
200.0,305.0,299.44,304.08,299.44444444444446
210.0,305.0,299.17,304.02,299.1666666666667
220.0,305.0,298.89,303.96,298.8888888888889
230.0,305.0,298.61,303.91,298.6111111111111
240.0,305.0,298.33,303.85,298.3333333333333
250.0,305.0,298.06,303.79,298.05555555555554
260.0,305.0,297.78,303.73,297.77777777777777
270.0,305.0,297.5,303.67,297.5
280.0,305.0,297.22,303.61,297.22222222222223
290.0,305.0,296.94,303.55,296.94444444444446
300.0,305.0,296.67,303.49,296.6666666666667
310.0,305.0,296.39,303.42,296.3888888888889
320.0,305.0,296.11,303.36,296.1111111111111
330.0,305.0,295.83,303.3,295.8333333333333
340.0,305.0,295.56,303.23,295.55555555555554
350.0,305.0,295.28,303.17,295.27777777777777
360.0,305.0,295.0,303.1,295.0
370.0,305.0,294.72,303.04,294.72222222222223
380.0,305.0,294.44,302.97,294.44444444444446
390.0,305.0,294.17,302.91,294.1666666666667
400.0,305.0,293.89,302.84,293.8888888888889
410.0,305.0,293.61,302.77,293.6111111111111
420.0,305.0,293.33,302.71,293.3333333333333
430.0,305.0,293.06,302.64,293.05555555555554
