Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,230.37764075053445,230.37764075053445,230.37764075053445,230.37764075053445
10,230.37779803383216,230.5064647004988,230.3891313671655,230.51055896394632
20,230.37795531712985,230.6352886504632,230.40062198379653,230.64347717735816
30,230.37811260042756,230.76411260042755,230.41211260042758,230.77639539077003
40,230.37826988372527,230.89293655039194,230.4236032170586,230.9093136041819
50,230.37842716702298,231.0217605003563,230.43509383368965,231.04223181759374
60,230.37858445032066,231.15058445032068,230.44658445032067,231.17515003100561
70,230.37874173361837,231.27940840028504,230.45807506695172,231.30806824441748
80,230.37889901691608,231.40823235024942,230.46956568358274,231.44098645782933
90,230.3790563002138,231.53705630021378,230.4810563002138,231.5739046712412
100,230.37921358351147,231.66588025017816,230.49254691684482,231.70682288465306
110,230.37937086680918,231.79470420014252,230.50403753347587,231.8397410980649
120,230.3795281501069,231.9235281501069,230.5155281501069,231.97265931147678
130,230.3796854334046,232.05235210007126,230.52701876673794,232.10557752488864
140,230.37984271670229,232.18117605003565,230.53850938336896,232.2384957383005
150,230.38,232.31,230.55,232.37141395171236
160,230.38,232.26333333333335,230.55200000000002,232.32350519717437
170,230.38,232.21666666666667,230.554,232.27559644263638
180,230.38,232.17000000000002,230.556,232.22768768809837
190,230.38,232.12333333333333,230.55800000000002,232.17977893356039
200,230.38,232.07666666666668,230.56,232.1318701790224
210,230.38,232.03,230.562,232.08396142448441
220,230.38,231.98333333333335,230.56400000000002,232.03605266994643
230,230.38,231.93666666666667,230.566,231.98814391540841
240,230.38,231.89000000000001,230.568,231.94023516087043
250,230.38,231.84333333333333,230.57000000000002,231.89232640633244
260,230.38,231.79666666666668,230.572,231.84441765179446
270,230.38,231.75,230.574,231.79650889725647
280,230.38,231.70333333333335,230.57600000000002,231.74860014271846
290,230.38,231.65666666666667,230.578,231.70069138818047
300,230.38,231.61,230.58,231.6527826336425
310,230.38,231.816,230.60066666666668,231.86430192314222
320,230.38,232.02200000000002,230.62133333333335,232.07582121264198
330,230.38,232.228,230.642,232.28734050214172
340,230.38,232.434,230.66266666666667,232.49885979164148
350,230.38,232.64000000000001,230.68333333333334,232.7103790811412
360,230.38,232.846,230.704,232.92189837064097
370,230.38,233.052,230.72466666666668,233.1334176601407
380,230.38,233.258,230.74533333333332,233.34493694964047
390,230.38,233.464,230.766,233.5564562391402
400,230.38,233.67,230.78666666666666,233.76797552863997
410,230.38,233.876,230.80733333333333,233.9794948181397
420,230.38,234.082,230.828,234.19101410763946
430,230.38,234.28799999999998,230.84866666666665,234.4025333971392
440,230.38,234.494,230.86933333333332,234.61405268663896
450,230.38,234.7,230.89,234.8255719761387
460,230.38,234.85333333333332,230.91666666666666,234.98082754407295
470,230.38,235.00666666666666,230.94333333333333,235.1360831120072
480,230.38,235.16,230.97,235.29133867994148
490,230.38,235.31333333333333,230.99666666666664,235.44659424787574
500,230.38,235.46666666666667,231.0233333333333,235.60184981581
510,230.38,235.62,231.04999999999998,235.75710538374426
520,230.38,235.77333333333334,231.07666666666665,235.91236095167852
530,230.38,235.92666666666665,231.10333333333332,236.0676165196128
540,230.38,236.07999999999998,231.13,236.22287208754707
550,230.38,236.23333333333332,231.15666666666667,236.37812765548134
560,230.38,236.38666666666666,231.18333333333334,236.5333832234156
570,230.38,236.54,231.20999999999998,236.68863879134986
580,230.38,236.69333333333333,231.23666666666665,236.84389435928412
590,230.38,236.84666666666666,231.26333333333332,236.99914992721838
600,230.38,237.0,231.29,237.15440549515264
