Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,105.859870358265,105.859870358265,105.859870358265,105.859870358265
10,105.85987900104733,108.09987900104733,106.072545667714,108.19024410334475
20,105.85988764382967,110.33988764382967,106.285220977163,110.5206178484245
30,105.859896286612,112.579896286612,106.497896286612,112.85099159350425
40,105.85990492939433,114.81990492939434,106.710571596061,115.18136533858399
50,105.85991357217667,117.05991357217667,106.92324690551,117.51173908366374
60,105.859922214959,119.299922214959,107.135922214959,119.8421128287435
70,105.85993085774133,121.53993085774134,107.34859752440799,122.17248657382324
80,105.85993950052367,123.77993950052367,107.561272833857,124.50286031890299
90,105.859948143306,126.01994814330601,107.773948143306,126.83323406398273
100,105.85995678608833,128.25995678608834,107.986623452755,129.16360780906248
110,105.85996542887067,130.49996542887067,108.199298762204,131.49398155414224
120,105.859974071653,132.73997407165302,108.41197407165299,133.824355299222
130,105.85998271443533,134.97998271443535,108.624649381102,136.15472904430172
140,105.85999135721767,137.21999135721768,108.837324690551,138.48510278938147
150,105.86,139.46,109.05,140.81547653446123
160,105.86,141.99466666666666,109.41799999999999,143.39882834659898
170,105.86,144.52933333333334,109.786,145.98218015873672
180,105.86,147.064,110.154,148.56553197087447
190,105.86,149.59866666666667,110.52199999999999,151.14888378301222
200,105.86,152.13333333333333,110.89,153.73223559514997
210,105.86,154.668,111.258,156.31558740728772
220,105.86,157.20266666666666,111.62599999999999,158.89893921942547
230,105.86,159.73733333333334,111.994,161.48229103156325
240,105.86,162.272,112.362,164.065642843701
250,105.86,164.80666666666667,112.72999999999999,166.64899465583875
260,105.86,167.34133333333332,113.098,169.2323464679765
270,105.86,169.876,113.466,171.81569828011425
280,105.86,172.41066666666666,113.83399999999999,174.399050092252
290,105.86,174.94533333333334,114.202,176.98240190438975
300,105.86,177.48,114.57,179.5657537165275
310,105.862,179.99733333333333,115.03666666666666,182.10849204635252
320,105.864,182.51466666666667,115.50333333333333,184.65123037617752
330,105.866,185.03199999999998,115.97,187.19396870600255
340,105.868,187.54933333333332,116.43666666666665,189.73670703582758
350,105.87,190.06666666666666,116.90333333333332,192.27944536565258
360,105.872,192.584,117.36999999999999,194.8221836954776
370,105.874,195.10133333333334,117.83666666666666,197.36492202530263
380,105.876,197.61866666666666,118.30333333333333,199.90766035512763
390,105.878,200.136,118.77,202.45039868495266
400,105.88,202.65333333333334,119.23666666666666,204.9931370147777
410,105.882,205.17066666666668,119.70333333333332,207.5358753446027
420,105.884,207.68800000000002,120.16999999999999,210.07861367442771
430,105.886,210.20533333333333,120.63666666666666,212.62135200425274
440,105.888,212.72266666666667,121.10333333333332,215.16409033407774
450,105.89,215.24,121.57,217.70682866390277
460,105.89866666666667,217.428,122.06333333333333,219.91536196204433
470,105.90733333333333,219.616,122.55666666666666,222.12389526018586
480,105.916,221.804,123.05,224.33242855832742
490,105.92466666666667,223.99200000000002,123.54333333333332,226.54096185646895
