Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
10,246.07564532715273,246.6003119938194,246.12097866048606,246.62162273326376
20,246.07595637521325,247.12528970854657,246.16662304187992,247.16791118743532
30,246.07626742327378,247.65026742327376,246.21226742327377,247.7141996416069
40,246.07657847133427,248.17524513800095,246.2579118046676,248.26048809577847
50,246.0768895193948,248.70022285272813,246.30355618606146,248.80677654995003
60,246.07720056745532,249.22520056745532,246.3492005674553,249.3530650041216
70,246.07751161551585,249.7501782821825,246.39484494884917,249.89935345829315
80,246.07782266357637,250.2751559969097,246.44048933024303,250.44564191246474
90,246.0781337116369,250.80013371163687,246.48613371163688,250.9919303666363
100,246.07844475969742,251.32511142636406,246.53177809303074,251.53821882080786
110,246.07875580775794,251.85008914109125,246.5774224744246,252.08450727497942
120,246.07906685581844,252.37506685581843,246.62306685581842,252.63079572915098
130,246.07937790387896,252.90004457054562,246.66871123721228,253.17708418332256
140,246.0796889519395,253.4250222852728,246.71435561860613,253.72337263749412
150,246.08,253.95,246.76,254.26966109166568
160,246.08,254.146,246.81,254.4566862291274
170,246.08,254.34199999999998,246.85999999999999,254.64371136658912
180,246.08,254.53799999999998,246.91,254.83073650405083
190,246.08,254.73399999999998,246.95999999999998,255.01776164151255
200,246.08,254.92999999999998,247.01,255.20478677897427
210,246.08,255.12599999999998,247.06,255.39181191643598
220,246.08,255.32199999999997,247.10999999999999,255.5788370538977
230,246.08,255.518,247.16,255.76586219135942
240,246.08,255.714,247.20999999999998,255.95288732882113
250,246.08,255.91,247.26,256.13991246628285
260,246.08,256.106,247.31,256.32693760374457
270,246.08,256.30199999999996,247.35999999999999,256.5139627412063
280,246.08,256.498,247.41,256.700987878668
290,246.08,256.69399999999996,247.45999999999998,256.8880130161297
300,246.08,256.89,247.51,257.07503815359144
310,246.08,257.12266666666665,247.54999999999998,257.32289003459726
320,246.08,257.3553333333333,247.59,257.57074191560304
330,246.08,257.58799999999997,247.63,257.81859379660887
340,246.08,257.8206666666667,247.67,258.0664456776147
350,246.08,258.05333333333334,247.71,258.31429755862047
360,246.08,258.286,247.75,258.5621494396263
370,246.08,258.51866666666666,247.79,258.8100013206321
380,246.08,258.7513333333333,247.83,259.0578532016379
390,246.08,258.984,247.87,259.3057050826437
400,246.08,259.21666666666664,247.91,259.55355696364956
410,246.08,259.4493333333333,247.95000000000002,259.8014088446553
420,246.08,259.682,247.99,260.04926072566116
430,246.08,259.9146666666667,248.03,260.297112606667
440,246.08,260.14733333333334,248.07000000000002,260.54496448767276
450,246.08,260.38,248.11,260.7928163686786
460,246.08066666666667,261.0953333333333,248.2086666666667,261.52158505348245
470,246.08133333333333,261.8106666666667,248.30733333333333,262.25035373828626
480,246.08200000000002,262.526,248.406,262.97912242309013
490,246.08266666666668,263.24133333333333,248.50466666666668,263.70789110789394
500,246.08333333333334,263.95666666666665,248.60333333333335,264.4366597926978
510,246.084,264.672,248.702,265.1654284775017
520,246.08466666666666,265.38733333333334,248.80066666666667,265.8941971623055
