Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,50.0,50.0,50.0,50.0
10,50.0,50.267066666666665,50.029133333333334,50.27777777777778
20,50.0,50.53413333333334,50.05826666666667,50.55555555555556
30,50.0,50.8012,50.0874,50.83333333333333
40,50.0,51.068266666666666,50.11653333333333,51.11111111111111
50,50.0,51.33533333333333,50.14566666666666,51.388888888888886
60,50.0,51.6024,50.1748,51.666666666666664
70,50.0,51.86946666666667,50.20393333333333,51.94444444444444
80,50.0,52.13653333333333,50.233066666666666,52.222222222222214
90,50.0,52.4036,50.2622,52.49999999999999
100,50.0,52.67066666666667,50.291333333333334,52.77777777777777
110,50.0,52.937733333333334,50.32046666666667,53.05555555555555
120,50.0,53.2048,50.349599999999995,53.33333333333333
130,50.0,53.47186666666667,50.37873333333333,53.6111111111111
140,50.0,53.738933333333335,50.40786666666666,53.88888888888888
150,50.0,54.006,50.437,54.16666666666666
160,50.0,54.279333333333334,50.48246666666667,54.444444444444436
170,50.0,54.55266666666667,50.52793333333333,54.722222222222214
180,50.0,54.826,50.5734,54.99999999999999
190,50.0,55.099333333333334,50.61886666666666,55.27777777777777
200,50.0,55.37266666666667,50.66433333333333,55.55555555555555
210,50.0,55.646,50.7098,55.83333333333333
220,50.0,55.919333333333334,50.755266666666664,56.11111111111111
230,50.0,56.19266666666667,50.80073333333333,56.38888888888888
240,50.0,56.466,50.846199999999996,56.66666666666666
250,50.0,56.739333333333335,50.891666666666666,56.944444444444436
260,50.0,57.01266666666667,50.937133333333335,57.222222222222214
270,50.0,57.286,50.9826,57.49999999999999
280,50.0,57.559333333333335,51.02806666666667,57.77777777777777
290,50.0,57.83266666666667,51.07353333333333,58.05555555555555
300,50.0,58.106,51.119,58.33333333333333
310,50.00026666666667,58.38006666666667,51.17433333333333,58.61111111111111
320,50.00053333333333,58.654133333333334,51.22966666666667,58.888888888888886
330,50.0008,58.928200000000004,51.285,59.166666666666664
340,50.00106666666667,59.20226666666667,51.340333333333334,59.44444444444444
350,50.001333333333335,59.476333333333336,51.39566666666666,59.72222222222222
360,50.001599999999996,59.7504,51.451,60.0
370,50.001866666666665,60.02446666666667,51.50633333333333,60.27777777777778
380,50.00213333333333,60.29853333333333,51.56166666666667,60.55555555555555
390,50.0024,60.5726,51.617,60.83333333333333
400,50.00266666666666,60.846666666666664,51.672333333333334,61.11111111111111
410,50.00293333333333,61.120733333333334,51.727666666666664,61.388888888888886
420,50.0032,61.3948,51.783,61.666666666666664
430,50.00346666666667,61.668866666666666,51.83833333333333,61.94444444444444
440,50.00373333333333,61.94293333333333,51.89366666666667,62.22222222222222
450,50.004,62.217,51.949,62.5
460,50.005066666666664,62.49146666666667,52.012,62.77777777777778
470,50.00613333333333,62.76593333333333,52.074999999999996,63.05555555555556
480,50.0072,63.0404,52.138,63.33333333333333
490,50.008266666666664,63.31486666666667,52.201,63.61111111111111
500,50.00933333333333,63.589333333333336,52.263999999999996,63.888888888888886
510,50.0104,63.8638,52.327,64.16666666666666
520,50.011466666666664,64.13826666666667,52.39,64.44444444444444
530,50.01253333333334,64.41273333333334,52.452999999999996,64.72222222222221
540,50.013600000000004,64.6872,52.516,65.0
550,50.01466666666667,64.96166666666667,52.579,65.27777777777777
560,50.01573333333334,65.23613333333334,52.641999999999996,65.55555555555554
570,50.0168,65.5106,52.705,65.83333333333333
580,50.01786666666667,65.78506666666667,52.768,66.1111111111111
590,50.01893333333334,66.05953333333333,52.830999999999996,66.38888888888889
600,50.02,66.334,52.894,66.66666666666666
610,50.022933333333334,66.60866666666666,52.96346666666666,66.94444444444443
620,50.02586666666667,66.88333333333334,53.03293333333333,67.22222222222221
630,50.028800000000004,67.158,53.102399999999996,67.49999999999999
640,50.031733333333335,67.43266666666666,53.171866666666666,67.77777777777777
650,50.034666666666666,67.70733333333334,53.24133333333333,68.05555555555554
660,50.037600000000005,67.982,53.3108,68.33333333333333
670,50.040533333333336,68.25666666666666,53.380266666666664,68.6111111111111
680,50.04346666666667,68.53133333333334,53.449733333333334,68.88888888888889
690,50.0464,68.806,53.5192,69.16666666666666
700,50.04933333333334,69.08066666666666,53.58866666666667,69.44444444444444
710,50.05226666666667,69.35533333333333,53.65813333333333,69.72222222222221
720,50.0552,69.63,53.7276,70.0
730,50.05813333333333,69.90466666666666,53.797066666666666,70.27777777777777
740,50.06106666666667,70.17933333333333,53.86653333333334,70.55555555555556
750,50.064,70.454,53.936,70.83333333333333
760,50.06966666666667,70.72893333333333,54.0112,71.1111111111111
770,50.07533333333333,71.00386666666667,54.0864,71.38888888888889
780,50.081,71.27879999999999,54.1616,71.66666666666666
790,50.086666666666666,71.55373333333333,54.2368,71.94444444444444
800,50.092333333333336,71.82866666666666,54.312,72.22222222222221
810,50.098,72.1036,54.3872,72.5
820,50.10366666666667,72.37853333333334,54.4624,72.77777777777777
830,50.10933333333333,72.65346666666666,54.5376,73.05555555555556
840,50.115,72.9284,54.6128,73.33333333333333
850,50.120666666666665,73.20333333333333,54.688,73.61111111111111
860,50.126333333333335,73.47826666666667,54.7632,73.88888888888889
