Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,420.0,420.0,420.0,420.0
10,420.0,420.27733333333333,420.044,420.27777777777777
20,420.0,420.55466666666666,420.088,420.55555555555554
30,420.0,420.832,420.132,420.8333333333333
40,420.0,421.1093333333333,420.176,421.11111111111114
50,420.0,421.38666666666666,420.22,421.3888888888889
60,420.0,421.664,420.264,421.6666666666667
70,420.0,421.9413333333333,420.308,421.94444444444446
80,420.0,422.2186666666667,420.35200000000003,422.22222222222223
90,420.0,422.49600000000004,420.396,422.5
100,420.0,422.77333333333337,420.44,422.77777777777777
110,420.0,423.0506666666667,420.48400000000004,423.05555555555554
120,420.0,423.32800000000003,420.528,423.33333333333337
130,420.0,423.60533333333336,420.572,423.61111111111114
140,420.0,423.8826666666667,420.61600000000004,423.8888888888889
150,420.0,424.16,420.66,424.1666666666667
160,420.0,424.43800000000005,420.7166666666667,424.44444444444446
170,420.0,424.716,420.77333333333337,424.72222222222223
180,420.0,424.994,420.83000000000004,425.0
190,420.0,425.272,420.88666666666666,425.27777777777777
200,420.0,425.55,420.9433333333333,425.55555555555554
210,420.0,425.82800000000003,421.0,425.8333333333333
220,420.0,426.106,421.0566666666667,426.1111111111111
230,420.0,426.384,421.11333333333334,426.3888888888889
240,420.0,426.662,421.17,426.6666666666667
250,420.0,426.94,421.2266666666667,426.94444444444446
260,420.0,427.218,421.28333333333336,427.22222222222223
270,420.0,427.496,421.34,427.5
280,420.0,427.774,421.39666666666665,427.77777777777777
290,420.0,428.05199999999996,421.4533333333333,428.05555555555554
300,420.0,428.33,421.51,428.3333333333333
310,420.0,428.6073333333333,421.57466666666664,428.6111111111111
320,420.0,428.88466666666665,421.63933333333335,428.88888888888886
330,420.0,429.162,421.704,429.16666666666663
340,420.0,429.4393333333333,421.76866666666666,429.44444444444446
350,420.0,429.71666666666664,421.8333333333333,429.72222222222223
360,420.0,429.99399999999997,421.898,430.0
370,420.0,430.2713333333333,421.9626666666667,430.27777777777777
380,420.0,430.5486666666667,422.02733333333333,430.55555555555554
390,420.0,430.826,422.092,430.8333333333333
400,420.0,431.10333333333335,422.1566666666667,431.1111111111111
410,420.0,431.3806666666667,422.22133333333335,431.38888888888886
420,420.0,431.658,422.286,431.6666666666667
430,420.0,431.93533333333335,422.35066666666665,431.94444444444446
440,420.0,432.2126666666667,422.41533333333336,432.22222222222223
450,420.0,432.49,422.48,432.5
460,420.0,432.76800000000003,422.5506666666667,432.77777777777777
470,420.0,433.046,422.6213333333333,433.05555555555554
480,420.0,433.324,422.692,433.3333333333333
490,420.0,433.60200000000003,422.7626666666667,433.61111111111114
500,420.0,433.88,422.83333333333337,433.8888888888889
510,420.0,434.158,422.904,434.1666666666667
520,420.0,434.43600000000004,422.9746666666667,434.44444444444446
530,420.0,434.714,423.04533333333336,434.72222222222223
540,420.0,434.992,423.11600000000004,435.0
550,420.0,435.27000000000004,423.18666666666667,435.27777777777777
560,420.0,435.548,423.25733333333335,435.55555555555554
570,420.0,435.826,423.32800000000003,435.83333333333337
580,420.0,436.10400000000004,423.3986666666667,436.11111111111114
590,420.0,436.382,423.46933333333334,436.3888888888889
600,420.0,436.66,423.54,436.6666666666667
610,420.0006666666667,436.93733333333336,423.61600000000004,436.94444444444446
620,420.0013333333333,437.2146666666667,423.692,437.22222222222223
630,420.002,437.492,423.76800000000003,437.5
640,420.00266666666664,437.76933333333335,423.844,437.77777777777777
650,420.00333333333333,438.0466666666667,423.92,438.05555555555554
660,420.004,438.324,423.99600000000004,438.3333333333333
670,420.00466666666665,438.60133333333334,424.072,438.6111111111111
680,420.00533333333334,438.8786666666667,424.148,438.8888888888889
690,420.006,439.156,424.224,439.1666666666667
700,420.00666666666666,439.43333333333334,424.3,439.44444444444446
710,420.00733333333335,439.71066666666667,424.37600000000003,439.72222222222223
720,420.008,439.988,424.452,440.0
730,420.00866666666667,440.26533333333333,424.528,440.27777777777777
740,420.0093333333333,440.54266666666666,424.604,440.55555555555554
750,420.01,440.82,424.68,440.8333333333333
760,420.0113333333333,441.098,424.76,441.1111111111111
770,420.01266666666663,441.376,424.84000000000003,441.38888888888886
780,420.014,441.654,424.92,441.66666666666663
790,420.01533333333333,441.932,425.0,441.94444444444446
800,420.01666666666665,442.21,425.08,442.22222222222223
810,420.018,442.488,425.16,442.5
820,420.0193333333333,442.766,425.24,442.77777777777777
830,420.02066666666667,443.044,425.32,443.05555555555554
840,420.022,443.322,425.4,443.3333333333333
850,420.0233333333333,443.6,425.48,443.6111111111111
860,420.02466666666663,443.878,425.56,443.88888888888886
870,420.02599999999995,444.156,425.64,444.1666666666667
880,420.02733333333333,444.434,425.71999999999997,444.44444444444446
890,420.02866666666665,444.712,425.8,444.72222222222223
900,420.03,444.99,425.88,445.0
910,420.032,445.26800000000003,425.9646666666667,445.27777777777777
920,420.034,445.546,426.0493333333333,445.55555555555554
930,420.036,445.824,426.134,445.8333333333333
940,420.03799999999995,446.10200000000003,426.21866666666665,446.11111111111114
950,420.03999999999996,446.38,426.30333333333334,446.3888888888889
960,420.042,446.658,426.388,446.6666666666667
970,420.044,446.93600000000004,426.47266666666667,446.94444444444446
980,420.046,447.214,426.5573333333333,447.22222222222223
990,420.048,447.492,426.642,447.5
1000,420.05,447.77000000000004,426.72666666666663,447.77777777777777
1010,420.052,448.048,426.8113333333333,448.05555555555554
1020,420.054,448.326,426.89599999999996,448.33333333333337
1030,420.056,448.60400000000004,426.98066666666665,448.61111111111114
1040,420.058,448.882,427.0653333333333,448.8888888888889
1050,420.06,449.16,427.15,449.1666666666667
1060,420.064,449.43733333333336,427.238,449.44444444444446
1070,420.068,449.7146666666667,427.32599999999996,449.72222222222223
1080,420.072,449.992,427.414,450.0
1090,420.076,450.26933333333335,427.502,450.27777777777777
1100,420.08,450.5466666666667,427.59,450.55555555555554
1110,420.084,450.824,427.678,450.8333333333333
1120,420.088,451.10133333333334,427.766,451.1111111111111
1130,420.092,451.3786666666667,427.854,451.3888888888889
1140,420.096,451.656,427.942,451.6666666666667
1150,420.1,451.93333333333334,428.03000000000003,451.94444444444446
1160,420.104,452.21066666666667,428.118,452.22222222222223
1170,420.108,452.488,428.206,452.5
1180,420.112,452.76533333333333,428.29400000000004,452.77777777777777
1190,420.116,453.04266666666666,428.382,453.05555555555554
1200,420.12,453.32,428.47,453.3333333333333
1210,420.126,453.598,428.5613333333334,453.6111111111111
1220,420.132,453.876,428.6526666666667,453.88888888888886
1230,420.138,454.154,428.744,454.16666666666663
1240,420.144,454.432,428.8353333333333,454.44444444444446
1250,420.15,454.71,428.9266666666667,454.72222222222223
1260,420.156,454.988,429.01800000000003,455.0
1270,420.162,455.266,429.1093333333333,455.27777777777777
1280,420.168,455.544,429.2006666666667,455.55555555555554
1290,420.174,455.822,429.292,455.8333333333333
1300,420.18,456.1,429.3833333333333,456.1111111111111
1310,420.186,456.378,429.4746666666667,456.38888888888886
1320,420.192,456.656,429.566,456.6666666666667
1330,420.198,456.934,429.6573333333333,456.94444444444446
1340,420.204,457.212,429.7486666666666,457.22222222222223
1350,420.21,457.49,429.84,457.5
1360,420.21799999999996,457.76733333333334,429.93466666666666,457.77777777777777
1370,420.226,458.04466666666667,430.0293333333333,458.05555555555554
1380,420.234,458.322,430.12399999999997,458.3333333333333
1390,420.24199999999996,458.59933333333333,430.21866666666665,458.61111111111114
1400,420.25,458.87666666666667,430.31333333333333,458.8888888888889
1410,420.258,459.154,430.40799999999996,459.1666666666667
1420,420.26599999999996,459.4313333333333,430.50266666666664,459.44444444444446
1430,420.274,459.70866666666666,430.5973333333333,459.72222222222223
1440,420.282,459.986,430.692,460.0
1450,420.28999999999996,460.2633333333333,430.78666666666663,460.27777777777777
1460,420.298,460.54066666666665,430.8813333333333,460.55555555555554
1470,420.306,460.818,430.976,460.83333333333337
1480,420.31399999999996,461.0953333333333,431.0706666666667,461.11111111111114
1490,420.322,461.37266666666665,431.1653333333333,461.3888888888889
1500,420.33,461.65,431.26,461.6666666666667
1510,420.3413333333333,461.928,431.358,461.94444444444446
1520,420.35266666666666,462.20599999999996,431.456,462.22222222222223
1530,420.364,462.484,431.554,462.5
1540,420.37533333333334,462.762,431.652,462.77777777777777
