Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
10,250.0,250.06933333333333,250.01133333333334,250.06944444444443
20,250.0,250.13866666666667,250.02266666666665,250.13888888888889
30,250.0,250.208,250.034,250.20833333333331
40,250.0,250.27733333333333,250.04533333333333,250.27777777777777
50,250.0,250.34666666666666,250.05666666666667,250.3472222222222
60,250.0,250.416,250.06799999999998,250.41666666666666
70,250.0,250.48533333333333,250.07933333333332,250.4861111111111
80,250.0,250.55466666666666,250.09066666666666,250.55555555555554
90,250.0,250.624,250.102,250.62499999999997
100,250.0,250.69333333333333,250.11333333333332,250.69444444444443
110,250.0,250.76266666666666,250.12466666666666,250.76388888888886
120,250.0,250.832,250.136,250.83333333333331
130,250.0,250.90133333333333,250.14733333333334,250.90277777777774
140,250.0,250.97066666666666,250.15866666666665,250.9722222222222
150,250.0,251.04,250.17,251.04166666666663
160,250.0,251.10933333333332,250.18466666666666,251.1111111111111
170,250.0,251.17866666666666,250.19933333333333,251.18055555555551
180,250.0,251.248,250.214,251.24999999999997
190,250.0,251.31733333333332,250.22866666666664,251.3194444444444
200,250.0,251.38666666666666,250.2433333333333,251.38888888888886
210,250.0,251.456,250.25799999999998,251.45833333333331
220,250.0,251.52533333333332,250.27266666666665,251.52777777777774
230,250.0,251.59466666666668,250.28733333333332,251.5972222222222
240,250.0,251.66400000000002,250.302,251.66666666666663
250,250.0,251.73333333333335,250.31666666666666,251.7361111111111
260,250.0,251.80266666666668,250.33133333333333,251.80555555555554
270,250.0,251.872,250.34599999999998,251.87499999999997
280,250.0,251.94133333333335,250.36066666666665,251.94444444444443
290,250.0,252.01066666666668,250.37533333333332,252.01388888888886
300,250.0,252.08,250.39,252.08333333333331
310,250.0,252.15,250.40733333333333,252.15277777777777
320,250.0,252.22,250.42466666666667,252.2222222222222
330,250.0,252.29000000000002,250.44199999999998,252.29166666666666
340,250.0,252.36,250.45933333333332,252.3611111111111
350,250.0,252.43,250.47666666666666,252.43055555555554
360,250.0,252.5,250.494,252.5
370,250.0,252.57,250.51133333333334,252.56944444444443
380,250.0,252.64000000000001,250.52866666666665,252.63888888888889
390,250.0,252.71,250.546,252.70833333333331
400,250.0,252.78,250.56333333333333,252.77777777777777
410,250.0,252.85,250.58066666666667,252.84722222222223
420,250.0,252.92,250.598,252.91666666666666
430,250.0,252.99,250.61533333333333,252.98611111111111
440,250.0,253.06,250.63266666666667,253.05555555555554
450,250.0,253.13,250.65,253.125
460,250.0,253.19933333333333,250.66866666666667,253.19444444444443
470,250.0,253.26866666666666,250.68733333333333,253.26388888888889
480,250.0,253.338,250.70600000000002,253.33333333333331
490,250.0,253.40733333333333,250.72466666666668,253.40277777777777
500,250.0,253.47666666666666,250.74333333333334,253.4722222222222
510,250.0,253.546,250.762,253.54166666666666
520,250.0,253.61533333333333,250.78066666666666,253.6111111111111
530,250.0,253.68466666666666,250.79933333333335,253.68055555555554
540,250.0,253.754,250.818,253.74999999999997
550,250.0,253.82333333333332,250.83666666666667,253.81944444444443
560,250.0,253.89266666666666,250.85533333333333,253.88888888888886
570,250.0,253.962,250.874,253.95833333333331
580,250.0,254.03133333333332,250.89266666666668,254.02777777777774
590,250.0,254.10066666666665,250.91133333333335,254.0972222222222
600,250.0,254.17,250.93,254.16666666666663
610,250.00066666666666,254.23933333333332,250.95000000000002,254.2361111111111
620,250.00133333333332,254.30866666666665,250.97,254.30555555555551
630,250.002,254.378,250.99,254.37499999999997
640,250.00266666666667,254.44733333333332,251.01,254.4444444444444
650,250.00333333333333,254.51666666666665,251.03,254.51388888888886
660,250.004,254.58599999999998,251.05,254.58333333333331
670,250.00466666666665,254.65533333333332,251.07,254.65277777777774
680,250.00533333333334,254.72466666666668,251.09,254.7222222222222
690,250.006,254.794,251.10999999999999,254.79166666666663
700,250.00666666666666,254.86333333333334,251.13,254.8611111111111
710,250.00733333333332,254.93266666666668,251.15,254.93055555555554
720,250.00799999999998,255.002,251.17,254.99999999999997
730,250.00866666666667,255.07133333333334,251.19,255.06944444444443
740,250.00933333333333,255.14066666666668,251.20999999999998,255.13888888888886
750,250.01,255.21,251.23,255.20833333333331
760,250.01066666666665,255.27933333333334,251.25133333333332,255.27777777777777
770,250.01133333333334,255.34866666666667,251.27266666666665,255.3472222222222
780,250.012,255.418,251.29399999999998,255.41666666666666
790,250.01266666666666,255.48733333333334,251.31533333333334,255.4861111111111
800,250.01333333333332,255.55666666666667,251.33666666666667,255.55555555555554
810,250.014,255.626,251.358,255.625
820,250.01466666666667,255.69533333333334,251.37933333333334,255.69444444444443
830,250.01533333333333,255.76466666666667,251.40066666666667,255.76388888888889
840,250.016,255.834,251.422,255.83333333333331
850,250.01666666666668,255.90333333333334,251.44333333333333,255.90277777777777
860,250.01733333333334,255.97266666666667,251.46466666666666,255.97222222222223
870,250.018,256.04200000000003,251.48600000000002,256.0416666666667
880,250.01866666666666,256.11133333333333,251.50733333333335,256.1111111111111
890,250.01933333333335,256.18066666666664,251.52866666666668,256.18055555555554
900,250.02,256.25,251.55,256.25
910,250.02066666666667,256.31933333333336,251.572,256.31944444444446
920,250.02133333333333,256.38866666666667,251.59400000000002,256.3888888888889
930,250.02200000000002,256.458,251.616,256.4583333333333
940,250.02266666666668,256.52733333333333,251.638,256.52777777777777
950,250.02333333333334,256.5966666666667,251.66,256.59722222222223
960,250.024,256.666,251.68200000000002,256.6666666666667
970,250.02466666666666,256.73533333333336,251.704,256.73611111111114
980,250.02533333333335,256.80466666666666,251.726,256.80555555555554
990,250.026,256.874,251.748,256.875
1000,250.02666666666667,256.9433333333333,251.77,256.94444444444446
1010,250.02733333333333,257.0126666666667,251.792,257.0138888888889
1020,250.028,257.082,251.814,257.08333333333337
1030,250.02866666666668,257.15133333333335,251.83599999999998,257.15277777777777
1040,250.02933333333334,257.22066666666666,251.858,257.22222222222223
1050,250.03,257.29,251.88,257.2916666666667
1060,250.032,257.3593333333333,251.90333333333334,257.36111111111114
1070,250.034,257.4286666666667,251.92666666666665,257.43055555555554
1080,250.036,257.498,251.95,257.5
