Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,154.0,154.0,154.0,154.0
10,154.0,154.04333333333332,154.01466666666667,154.04305555555555
20,154.0,154.08666666666667,154.02933333333334,154.0861111111111
30,154.0,154.13,154.044,154.12916666666666
40,154.0,154.17333333333335,154.05866666666665,154.17222222222222
50,154.0,154.21666666666667,154.07333333333332,154.21527777777777
60,154.0,154.26,154.088,154.25833333333333
70,154.0,154.30333333333334,154.10266666666666,154.30138888888888
80,154.0,154.34666666666666,154.11733333333333,154.34444444444446
90,154.0,154.39000000000001,154.132,154.38750000000002
100,154.0,154.43333333333334,154.14666666666668,154.43055555555557
110,154.0,154.47666666666666,154.16133333333335,154.47361111111113
120,154.0,154.52,154.176,154.51666666666668
130,154.0,154.56333333333333,154.19066666666666,154.55972222222223
140,154.0,154.60666666666668,154.20533333333333,154.6027777777778
150,154.0,154.65,154.22,154.64583333333334
160,154.0,154.69266666666667,154.23733333333334,154.6888888888889
170,154.0,154.73533333333333,154.25466666666665,154.73194444444445
180,154.0,154.778,154.272,154.775
190,154.0,154.82066666666668,154.28933333333333,154.81805555555556
200,154.0,154.86333333333334,154.30666666666667,154.86111111111111
210,154.0,154.906,154.32399999999998,154.90416666666667
220,154.0,154.94866666666667,154.34133333333332,154.94722222222222
230,154.0,154.99133333333333,154.35866666666666,154.99027777777778
240,154.0,155.034,154.376,155.03333333333333
250,154.0,155.07666666666665,154.39333333333332,155.07638888888889
260,154.0,155.11933333333332,154.41066666666666,155.11944444444444
270,154.0,155.162,154.428,155.1625
280,154.0,155.20466666666667,154.44533333333334,155.20555555555555
290,154.0,155.24733333333333,154.46266666666665,155.2486111111111
300,154.0,155.29,154.48,155.29166666666666
310,154.00066666666666,155.33333333333331,154.49866666666665,155.3347222222222
320,154.00133333333332,155.37666666666667,154.5173333333333,155.37777777777777
330,154.002,155.42,154.536,155.42083333333332
340,154.00266666666667,155.46333333333334,154.55466666666666,155.46388888888887
350,154.00333333333333,155.50666666666666,154.57333333333332,155.50694444444443
360,154.004,155.54999999999998,154.59199999999998,155.54999999999998
370,154.00466666666665,155.59333333333333,154.61066666666665,155.59305555555554
