Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
10,350.0,350.4,350.0686666666667,350.4114814814815
20,350.0,350.8,350.13733333333334,350.82296296296295
30,350.0,351.2,350.206,351.2344444444444
40,350.0,351.6,350.27466666666663,351.64592592592595
50,350.0,352.0,350.3433333333333,352.0574074074074
60,350.0,352.4,350.412,352.4688888888889
70,350.0,352.8,350.48066666666665,352.8803703703704
80,350.0,353.2,350.5493333333333,353.29185185185185
90,350.0,353.6,350.618,353.7033333333333
100,350.0,354.0,350.68666666666667,354.1148148148148
110,350.0,354.4,350.75533333333334,354.52629629629627
120,350.0,354.8,350.82399999999996,354.9377777777778
130,350.0,355.2,350.8926666666666,355.34925925925927
140,350.0,355.6,350.9613333333333,355.76074074074074
150,350.0,356.0,351.03,356.1722222222222
160,350.0,356.198,351.07866666666666,356.37244444444445
170,350.0,356.396,351.1273333333333,356.57266666666663
180,350.0,356.594,351.176,356.7728888888889
190,350.0,356.79200000000003,351.2246666666666,356.9731111111111
200,350.0,356.99,351.2733333333333,357.17333333333335
210,350.0,357.188,351.322,357.3735555555555
220,350.0,357.386,351.37066666666664,357.57377777777776
230,350.0,357.584,351.4193333333333,357.774
240,350.0,357.78200000000004,351.46799999999996,357.97422222222224
250,350.0,357.98,351.51666666666665,358.1744444444444
260,350.0,358.178,351.56533333333334,358.37466666666666
270,350.0,358.37600000000003,351.614,358.5748888888889
280,350.0,358.574,351.66266666666667,358.77511111111113
290,350.0,358.77200000000005,351.7113333333333,358.9753333333333
300,350.0,358.97,351.76,359.17555555555555
310,350.0,359.168,351.812,359.3757777777778
320,350.0,359.36600000000004,351.864,359.57599999999996
330,350.0,359.564,351.916,359.7762222222222
340,350.0,359.762,351.968,359.97644444444444
350,350.0,359.96000000000004,352.02,360.1766666666667
360,350.0,360.158,352.072,360.37688888888886
370,350.0,360.356,352.124,360.5771111111111
380,350.0,360.55400000000003,352.176,360.77733333333333
390,350.0,360.752,352.228,360.97755555555557
400,350.0,360.95,352.28000000000003,361.17777777777775
410,350.0,361.148,352.332,361.378
420,350.0,361.346,352.384,361.5782222222222
430,350.0,361.544,352.43600000000004,361.77844444444446
440,350.0,361.742,352.488,361.97866666666664
450,350.0,361.94,352.54,362.1788888888889
460,350.0006666666667,362.0806666666667,352.58733333333333,362.3182962962963
470,350.0013333333333,362.22133333333335,352.6346666666667,362.4577037037037
480,350.002,362.362,352.682,362.5971111111111
490,350.00266666666664,362.50266666666664,352.72933333333333,362.7365185185185
500,350.00333333333333,362.6433333333333,352.7766666666667,362.8759259259259
510,350.004,362.784,352.824,363.01533333333333
520,350.00466666666665,362.92466666666667,352.8713333333333,363.15474074074075
530,350.00533333333334,363.06533333333334,352.9186666666667,363.2941481481481
540,350.006,363.206,352.966,363.43355555555553
550,350.00666666666666,363.3466666666667,353.0133333333333,363.57296296296295
560,350.00733333333335,363.48733333333337,353.0606666666667,363.71237037037037
570,350.008,363.628,353.108,363.8517777777778
580,350.00866666666667,363.76866666666666,353.1553333333333,363.99118518518515
590,350.0093333333333,363.90933333333334,353.2026666666667,364.13059259259256
600,350.01,364.05,353.25,364.27
610,350.0106666666667,364.1586666666667,353.29133333333334,364.37899999999996
620,350.0113333333333,364.26733333333334,353.3326666666667,364.488
630,350.012,364.37600000000003,353.374,364.597
640,350.01266666666663,364.48466666666667,353.4153333333333,364.70599999999996
650,350.0133333333333,364.59333333333336,353.45666666666665,364.815
660,350.014,364.702,353.498,364.924
670,350.01466666666664,364.8106666666667,353.53933333333333,365.03299999999996
680,350.01533333333333,364.9193333333333,353.5806666666667,365.142
690,350.01599999999996,365.028,353.622,365.251
700,350.01666666666665,365.13666666666666,353.66333333333336,365.35999999999996
710,350.01733333333334,365.24533333333335,353.7046666666667,365.469
720,350.018,365.354,353.746,365.578
730,350.01866666666666,365.4626666666667,353.7873333333333,365.68699999999995
740,350.0193333333333,365.5713333333333,353.82866666666666,365.796
750,350.02,365.68,353.87,365.905
760,350.022,365.788,353.91133333333335,366.01399999999995
770,350.024,365.896,353.9526666666667,366.123
780,350.026,366.004,353.994,366.23199999999997
790,350.02799999999996,366.112,354.0353333333333,366.341
800,350.03,366.22,354.07666666666665,366.45
810,350.032,366.32800000000003,354.118,366.55899999999997
820,350.034,366.43600000000004,354.15933333333334,366.668
830,350.036,366.544,354.2006666666667,366.777
840,350.038,366.652,354.242,366.886
850,350.04,366.76,354.28333333333336,366.995
860,350.04200000000003,366.868,354.3246666666667,367.104
870,350.044,366.976,354.366,367.213
880,350.046,367.084,354.4073333333333,367.322
890,350.048,367.192,354.44866666666667,367.43100000000004
900,350.05,367.3,354.49,367.54
910,350.05333333333334,367.40066666666667,354.53066666666666,367.6406
920,350.0566666666667,367.5013333333333,354.57133333333337,367.7412
930,350.06,367.60200000000003,354.612,367.84180000000003
940,350.06333333333333,367.7026666666667,354.6526666666667,367.9424
950,350.06666666666666,367.80333333333334,354.6933333333333,368.043
960,350.07,367.904,354.73400000000004,368.1436
970,350.0733333333333,368.00466666666665,354.7746666666667,368.2442
980,350.0766666666667,368.10533333333336,354.81533333333334,368.3448
990,350.08000000000004,368.206,354.856,368.4454
1000,350.08333333333337,368.3066666666667,354.8966666666667,368.546
1010,350.0866666666667,368.4073333333333,354.93733333333336,368.6466
1020,350.09000000000003,368.508,354.978,368.74719999999996
1030,350.09333333333336,368.6086666666667,355.01866666666666,368.8478
1040,350.0966666666667,368.70933333333335,355.05933333333337,368.9484
1050,350.1,368.81,355.1,369.049
1060,350.1046666666667,368.894,355.13800000000003,369.1328
1070,350.1093333333334,368.978,355.17600000000004,369.21659999999997
1080,350.11400000000003,369.062,355.214,369.30039999999997
1090,350.1186666666667,369.146,355.252,369.38419999999996
1100,350.12333333333333,369.23,355.29,369.46799999999996
1110,350.12800000000004,369.314,355.32800000000003,369.55179999999996
1120,350.1326666666667,369.398,355.36600000000004,369.63559999999995
1130,350.13733333333334,369.48199999999997,355.404,369.7194
1140,350.142,369.566,355.442,369.8032
1150,350.1466666666667,369.65,355.48,369.887
1160,350.15133333333335,369.734,355.51800000000003,369.9708
1170,350.156,369.818,355.55600000000004,370.0546
1180,350.16066666666666,369.902,355.594,370.1384
1190,350.16533333333336,369.986,355.632,370.2222
1200,350.17,370.07,355.67,370.306
1210,350.1766666666667,370.1533333333333,355.70733333333334,370.3898
1220,350.18333333333334,370.2366666666667,355.74466666666666,370.4736
1230,350.19,370.32,355.78200000000004,370.5574
1240,350.19666666666666,370.4033333333333,355.81933333333336,370.64119999999997
1250,350.2033333333333,370.4866666666667,355.8566666666667,370.72499999999997
1260,350.21,370.57,355.894,370.80879999999996
1270,350.21666666666664,370.6533333333333,355.9313333333333,370.89259999999996
1280,350.22333333333336,370.7366666666667,355.9686666666667,370.9764
1290,350.23,370.82,356.00600000000003,371.0602
1300,350.2366666666667,370.9033333333333,356.04333333333335,371.144
1310,350.24333333333334,370.9866666666667,356.0806666666667,371.2278
1320,350.25,371.07,356.118,371.3116
1330,350.25666666666666,371.1533333333333,356.1553333333334,371.3954
1340,350.2633333333333,371.2366666666667,356.1926666666667,371.4792
1350,350.27,371.32,356.23,371.563
1360,350.27799999999996,371.4033333333333,356.26800000000003,371.6468
1370,350.286,371.4866666666667,356.30600000000004,371.7306
1380,350.294,371.57,356.344,371.8144
1390,350.30199999999996,371.6533333333333,356.382,371.8982
1400,350.31,371.7366666666667,356.42,371.98199999999997
1410,350.318,371.82,356.458,372.06579999999997
1420,350.32599999999996,371.9033333333333,356.49600000000004,372.14959999999996
1430,350.334,371.9866666666667,356.534,372.2334
1440,350.342,372.07,356.572,372.3172
1450,350.34999999999997,372.1533333333333,356.61,372.401
1460,350.358,372.2366666666667,356.648,372.4848
1470,350.366,372.32,356.68600000000004,372.5686
1480,350.37399999999997,372.4033333333333,356.724,372.6524
1490,350.382,372.4866666666667,356.762,372.7362
1500,350.39,372.57,356.8,372.82
1510,350.39933333333335,372.6406666666667,356.836,372.8906
1520,350.40866666666665,372.7113333333333,356.872,372.9612
1530,350.418,372.782,356.908,373.0318
1540,350.4273333333333,372.85266666666666,356.944,373.1024
1550,350.43666666666667,372.92333333333335,356.98,373.173
1560,350.44599999999997,372.99399999999997,357.016,373.2436
1570,350.45533333333333,373.06466666666665,357.052,373.3142
1580,350.46466666666663,373.13533333333334,357.08799999999997,373.3848
1590,350.474,373.206,357.12399999999997,373.4554
1600,350.4833333333333,373.27666666666664,357.15999999999997,373.526
1610,350.49266666666665,373.3473333333333,357.19599999999997,373.5966
1620,350.50199999999995,373.418,357.23199999999997,373.66720000000004
1630,350.5113333333333,373.4886666666667,357.268,373.7378
1640,350.5206666666666,373.5593333333333,357.304,373.8084
1650,350.53,373.63,357.34,373.879
1660,350.5413333333333,373.7,357.376,373.94960000000003
1670,350.55266666666665,373.77,357.412,374.0202
1680,350.56399999999996,373.84,357.448,374.0908
1690,350.57533333333333,373.91,357.484,374.1614
1700,350.58666666666664,373.98,357.52,374.232
1710,350.59799999999996,374.05,357.556,374.3026
1720,350.6093333333333,374.12,357.592,374.3732
1730,350.62066666666664,374.19,357.628,374.4438
1740,350.632,374.26,357.664,374.5144
1750,350.6433333333333,374.33,357.7,374.585
1760,350.6546666666666,374.4,357.736,374.6556
1770,350.666,374.47,357.772,374.7262
1780,350.6773333333333,374.54,357.808,374.7968
1790,350.6886666666667,374.61,357.844,374.8674
1800,350.7,374.68,357.88,374.938
1810,350.7133333333333,374.7506666666667,357.916,375.0086
1820,350.72666666666663,374.8213333333333,357.952,375.0792
1830,350.74,374.892,357.988,375.14979999999997
1840,350.75333333333333,374.9626666666667,358.024,375.2204
1850,350.76666666666665,375.03333333333336,358.06,375.291
1860,350.78,375.104,358.096,375.3616
1870,350.7933333333333,375.17466666666667,358.132,375.4322
1880,350.8066666666667,375.24533333333335,358.168,375.5028
1890,350.82,375.31600000000003,358.204,375.5734
1900,350.8333333333333,375.38666666666666,358.24,375.644
1910,350.84666666666664,375.45733333333334,358.276,375.7146
1920,350.85999999999996,375.528,358.312,375.78520000000003
1930,350.87333333333333,375.5986666666667,358.348,375.8558
1940,350.88666666666666,375.6693333333333,358.384,375.9264
1950,350.9,375.74,358.42,375.997
1960,350.914,375.80266666666665,358.45533333333333,376.06006666666667
1970,350.928,375.86533333333335,358.4906666666667,376.1231333333333
1980,350.942,375.928,358.526,376.1862
1990,350.95599999999996,375.9906666666667,358.5613333333333,376.2492666666667
