Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
10,150.0,150.30133333333333,150.026,150.31055555555557
20,150.0,150.60266666666666,150.052,150.6211111111111
30,150.0,150.904,150.078,150.93166666666667
40,150.0,151.20533333333333,150.10399999999998,151.2422222222222
50,150.0,151.50666666666666,150.13,151.55277777777778
60,150.0,151.808,150.156,151.86333333333334
70,150.0,152.10933333333332,150.182,152.17388888888888
80,150.0,152.41066666666669,150.208,152.48444444444445
90,150.0,152.71200000000002,150.23399999999998,152.795
100,150.0,153.01333333333335,150.26,153.10555555555555
110,150.0,153.31466666666668,150.286,153.41611111111112
120,150.0,153.616,150.31199999999998,153.72666666666666
130,150.0,153.91733333333335,150.338,154.03722222222223
140,150.0,154.21866666666668,150.36399999999998,154.34777777777776
150,150.0,154.52,150.39,154.65833333333333
160,150.0,154.686,150.42266666666666,154.82355555555554
170,150.0,154.852,150.45533333333333,154.98877777777778
180,150.0,155.018,150.488,155.154
190,150.0,155.184,150.52066666666664,155.3192222222222
200,150.0,155.35,150.5533333333333,155.48444444444445
210,150.0,155.516,150.58599999999998,155.64966666666666
220,150.0,155.682,150.61866666666666,155.81488888888887
230,150.0,155.848,150.65133333333333,155.9801111111111
240,150.0,156.014,150.684,156.14533333333333
250,150.0,156.18,150.71666666666667,156.31055555555554
260,150.0,156.346,150.74933333333334,156.47577777777778
270,150.0,156.512,150.78199999999998,156.641
280,150.0,156.678,150.81466666666665,156.8062222222222
290,150.0,156.844,150.84733333333332,156.97144444444444
300,150.0,157.01,150.88,157.13666666666666
310,150.0,157.11599999999999,150.90933333333334,157.2427222222222
320,150.0,157.22199999999998,150.93866666666665,157.34877777777777
330,150.0,157.328,150.968,157.4548333333333
340,150.0,157.434,150.99733333333333,157.56088888888888
350,150.0,157.54,151.02666666666667,157.66694444444443
360,150.0,157.646,151.05599999999998,157.773
370,150.0,157.75199999999998,151.08533333333332,157.87905555555554
380,150.0,157.858,151.11466666666666,157.9851111111111
390,150.0,157.964,151.144,158.09116666666665
400,150.0,158.07,151.17333333333332,158.19722222222222
410,150.0,158.176,151.20266666666666,158.30327777777777
420,150.0,158.28199999999998,151.232,158.40933333333334
430,150.0,158.388,151.26133333333334,158.51538888888888
440,150.0,158.494,151.29066666666665,158.62144444444445
450,150.0,158.6,151.32,158.7275
460,150.00066666666666,158.69066666666666,151.34799999999998,158.81833333333333
470,150.00133333333332,158.78133333333332,151.376,158.90916666666666
480,150.002,158.87199999999999,151.404,159.0
490,150.00266666666667,158.96266666666668,151.432,159.09083333333334
500,150.00333333333333,159.05333333333334,151.46,159.18166666666667
510,150.004,159.144,151.488,159.2725
520,150.00466666666665,159.23466666666667,151.516,159.36333333333334
530,150.00533333333334,159.32533333333333,151.544,159.45416666666665
540,150.006,159.416,151.572,159.545
550,150.00666666666666,159.50666666666666,151.6,159.63583333333332
560,150.00733333333332,159.59733333333332,151.62800000000001,159.72666666666666
570,150.00799999999998,159.68800000000002,151.656,159.8175
580,150.00866666666667,159.77866666666668,151.684,159.90833333333333
590,150.00933333333333,159.86933333333334,151.71200000000002,159.99916666666667
600,150.01,159.96,151.74,160.09
610,150.012,160.04533333333333,151.768,160.17552777777777
620,150.01399999999998,160.13066666666668,151.79600000000002,160.26105555555557
630,150.016,160.216,151.824,160.34658333333334
640,150.018,160.30133333333333,151.852,160.4321111111111
650,150.01999999999998,160.38666666666668,151.88,160.51763888888888
660,150.022,160.472,151.90800000000002,160.60316666666668
670,150.024,160.55733333333333,151.936,160.68869444444445
680,150.02599999999998,160.64266666666668,151.964,160.77422222222222
690,150.028,160.728,151.992,160.85975
700,150.03,160.81333333333333,152.02,160.9452777777778
710,150.03199999999998,160.89866666666668,152.048,161.03080555555556
720,150.034,160.984,152.076,161.11633333333333
730,150.036,161.06933333333333,152.10399999999998,161.2018611111111
740,150.03799999999998,161.15466666666669,152.132,161.2873888888889
750,150.04,161.24,152.16,161.37291666666667
760,150.04333333333332,161.304,152.186,161.43722222222223
770,150.04666666666665,161.368,152.212,161.50152777777777
780,150.04999999999998,161.43200000000002,152.238,161.56583333333333
790,150.05333333333334,161.496,152.264,161.6301388888889
800,150.05666666666667,161.56,152.29,161.69444444444446
810,150.06,161.624,152.316,161.75875
820,150.06333333333333,161.688,152.342,161.82305555555556
830,150.06666666666666,161.752,152.368,161.88736111111112
840,150.07,161.816,152.394,161.95166666666668
850,150.07333333333332,161.88,152.42000000000002,162.01597222222222
860,150.07666666666665,161.944,152.446,162.08027777777778
870,150.08,162.00799999999998,152.472,162.14458333333334
880,150.08333333333334,162.072,152.49800000000002,162.2088888888889
890,150.08666666666667,162.136,152.524,162.27319444444444
900,150.09,162.2,152.55,162.3375
910,150.09466666666668,162.26399999999998,152.57600000000002,162.40180555555557
920,150.09933333333333,162.328,152.602,162.4661111111111
930,150.104,162.392,152.62800000000001,162.53041666666667
940,150.10866666666666,162.456,152.654,162.59472222222223
950,150.11333333333334,162.51999999999998,152.68,162.6590277777778
960,150.118,162.584,152.70600000000002,162.72333333333333
970,150.12266666666667,162.648,152.732,162.7876388888889
980,150.12733333333333,162.712,152.758,162.85194444444446
990,150.132,162.77599999999998,152.784,162.91625000000002
1000,150.13666666666666,162.84,152.81,162.98055555555555
1010,150.14133333333334,162.904,152.836,163.04486111111112
1020,150.146,162.968,152.862,163.10916666666668
1030,150.15066666666667,163.03199999999998,152.888,163.17347222222224
1040,150.15533333333332,163.096,152.914,163.23777777777778
1050,150.16,163.16,152.94,163.30208333333334
1060,150.16666666666666,163.224,152.96666666666667,163.3663888888889
1070,150.17333333333332,163.288,152.99333333333334,163.43069444444444
1080,150.18,163.352,153.02,163.495
1090,150.18666666666667,163.416,153.04666666666665,163.55930555555557
1100,150.19333333333333,163.48,153.07333333333332,163.62361111111113
1110,150.2,163.544,153.1,163.68791666666667
1120,150.20666666666665,163.608,153.12666666666667,163.75222222222223
1130,150.21333333333334,163.672,153.15333333333334,163.8165277777778
1140,150.22,163.736,153.18,163.88083333333336
1150,150.22666666666666,163.8,153.20666666666668,163.9451388888889
1160,150.23333333333332,163.864,153.23333333333335,164.00944444444445
1170,150.23999999999998,163.928,153.26,164.07375000000002
1180,150.24666666666667,163.992,153.28666666666666,164.13805555555558
1190,150.25333333333333,164.056,153.31333333333333,164.20236111111112
1200,150.26,164.12,153.34,164.26666666666668
1210,150.26866666666666,164.184,153.366,164.33097222222224
1220,150.27733333333333,164.24800000000002,153.392,164.39527777777778
1230,150.286,164.312,153.418,164.45958333333334
1240,150.29466666666664,164.376,153.444,164.5238888888889
1250,150.3033333333333,164.44,153.47,164.58819444444444
1260,150.31199999999998,164.50400000000002,153.496,164.6525
1270,150.32066666666665,164.568,153.522,164.71680555555557
1280,150.32933333333332,164.632,153.548,164.7811111111111
1290,150.338,164.696,153.57399999999998,164.84541666666667
1300,150.34666666666666,164.76000000000002,153.6,164.90972222222223
1310,150.35533333333333,164.824,153.626,164.97402777777776
1320,150.36399999999998,164.888,153.652,165.03833333333333
1330,150.37266666666665,164.952,153.678,165.1026388888889
1340,150.38133333333332,165.01600000000002,153.70399999999998,165.16694444444443
1350,150.39,165.08,153.73,165.23125
1360,150.39999999999998,165.13866666666667,153.75733333333332,165.28955555555555
1370,150.41,165.19733333333335,153.78466666666665,165.34786111111111
1380,150.42,165.256,153.81199999999998,165.40616666666665
1390,150.42999999999998,165.31466666666668,153.83933333333331,165.4644722222222
1400,150.44,165.37333333333333,153.86666666666665,165.52277777777778
1410,150.45,165.43200000000002,153.89399999999998,165.58108333333334
1420,150.45999999999998,165.49066666666667,153.9213333333333,165.6393888888889
1430,150.47,165.54933333333335,153.94866666666667,165.69769444444444
1440,150.48,165.608,153.976,165.756
1450,150.48999999999998,165.66666666666669,154.00333333333333,165.81430555555556
