Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,295.0,295.0,295.0,295.0
10,295.0,295.0,295.0,295.0
20,295.0,295.0,295.0,295.0
30,295.0,295.0,295.0,295.0
40,295.0,295.0,295.0,295.0
50,295.0,295.0,295.0,295.0
60,295.0,295.0,295.0,295.0
70,295.0,295.0,295.0,295.0
80,295.0,295.0,295.0,295.0
90,295.0,295.0,295.0,295.0
100,295.0,295.0,295.0,295.0
110,295.0,295.0,295.0,295.0
120,295.0,295.0,295.0,295.0
130,295.0,295.0,295.0,295.0
140,295.0,295.0,295.0,295.0
150,295.0,295.0,295.0,295.0
160,295.0,295.0,295.0,295.0
170,295.0,295.0,295.0,295.0
180,295.0,295.0,295.0,295.0
190,295.0,295.0,295.0,295.0
200,295.0,295.0,295.0,295.0
210,295.0,295.0,295.0,295.0
220,295.0,295.0,295.0,295.0
230,295.0,295.0,295.0,295.0
240,295.0,295.0,295.0,295.0
250,295.0,295.0,295.0,295.0
260,295.0,295.0,295.0,295.0
270,295.0,295.0,295.0,295.0
280,295.0,295.0,295.0,295.0
290,295.0,295.0,295.0,295.0
300,295.0,295.0,295.0,295.0
310,295.0,295.0,295.0,295.0
320,295.0,295.0,295.0,295.0
330,295.0,295.0,295.0,295.0
340,295.0,295.0,295.0,295.0
350,295.0,295.0,295.0,295.0
360,295.0,295.0,295.0,295.0
370,295.0,295.0,295.0,295.0
380,295.0,295.0,295.0,295.0
390,295.0,295.0,295.0,295.0
400,295.0,295.0,295.0,295.0
410,295.0,295.0,295.0,295.0
420,295.0,295.0,295.0,295.0
430,295.0,295.0,295.0,295.0
440,295.0,295.0,295.0,295.0
450,295.0,295.0,295.0,295.0
460,295.0,295.0,295.0,295.0
470,295.0,295.0,295.0,295.0
480,295.0,295.0,295.0,295.0
490,295.0,295.0,295.0,295.0
500,295.0,295.0,295.0,295.0
510,295.0,295.0,295.0,295.0
520,295.0,295.0,295.0,295.0
530,295.0,295.0,295.0,295.0
540,295.0,295.0,295.0,295.0
550,295.0,295.0,295.0,295.0
560,295.0,295.0,295.0,295.0
570,295.0,295.0,295.0,295.0
580,295.0,295.0,295.0,295.0
590,295.0,295.0,295.0,295.0
600,295.0,295.0,295.0,295.0
610,295.0,295.0,295.0,295.0
620,295.0,295.0,295.0,295.0
630,295.0,295.0,295.0,295.0
640,295.0,295.0,295.0,295.0
650,295.0,295.0,295.0,295.0
660,295.0,295.0,295.0,295.0
670,295.0,295.0,295.0,295.0
680,295.0,295.0,295.0,295.0
690,295.0,295.0,295.0,295.0
700,295.0,295.0,295.0,295.0
710,295.0,295.0,295.0,295.0
720,295.0,295.0,295.0,295.0
730,295.0,295.0,295.0,295.0
740,295.0,295.0,295.0,295.0
750,295.0,295.0,295.0,295.0
760,295.0,295.0,295.0,295.0
770,295.0,295.0,295.0,295.0
780,295.0,295.0,295.0,295.0
790,295.0,295.0,295.0,295.0
800,295.0,295.0,295.0,295.0
810,295.0,295.0,295.0,295.0
820,295.0,295.0,295.0,295.0
830,295.0,295.0,295.0,295.0
840,295.0,295.0,295.0,295.0
850,295.0,295.0,295.0,295.0
860,295.0,295.0,295.0,295.0
870,295.0,295.0,295.0,295.0
880,295.0,295.0,295.0,295.0
890,295.0,295.0,295.0,295.0
900,295.0,295.0,295.0,295.0
910,295.0,295.0,295.0,295.0
920,295.0,295.0,295.0,295.0
930,295.0,295.0,295.0,295.0
940,295.0,295.0,295.0,295.0
950,295.0,295.0,295.0,295.0
960,295.0,295.0,295.0,295.0
970,295.0,295.0,295.0,295.0
980,295.0,295.0,295.0,295.0
990,295.0,295.0,295.0,295.0
1000,295.0,295.0,295.0,295.0
1010,295.0,295.0,295.0,295.0
1020,295.0,295.0,295.0,295.0
1030,295.0,295.0,295.0,295.0
1040,295.0,295.0,295.0,295.0
1050,295.0,295.0,295.0,295.0
1060,295.0,295.0,295.0,295.0
1070,295.0,295.0,295.0,295.0
1080,295.0,295.0,295.0,295.0
1090,295.0,295.0,295.0,295.0
1100,295.0,295.0,295.0,295.0
1110,295.0,295.0,295.0,295.0
1120,295.0,295.0,295.0,295.0
1130,295.0,295.0,295.0,295.0
1140,295.0,295.0,295.0,295.0
1150,295.0,295.0,295.0,295.0
1160,295.0,295.0,295.0,295.0
1170,295.0,295.0,295.0,295.0
1180,295.0,295.0,295.0,295.0
1190,295.0,295.0,295.0,295.0
1200,295.0,295.0,295.0,295.0
1210,295.0,295.0,295.0,295.0
1220,295.0,295.0,295.0,295.0
1230,295.0,295.0,295.0,295.0
1240,295.0,295.0,295.0,295.0
1250,295.0,295.0,295.0,295.0
1260,295.0,295.0,295.0,295.0
1270,295.0,295.0,295.0,295.0
1280,295.0,295.0,295.0,295.0
1290,295.0,295.0,295.0,295.0
1300,295.0,295.0,295.0,295.0
1310,295.0,295.0,295.0,295.0
1320,295.0,295.0,295.0,295.0
1330,295.0,295.0,295.0,295.0
1340,295.0,295.0,295.0,295.0
1350,295.0,295.0,295.0,295.0
1360,295.0,295.0,295.0,295.0
1370,295.0,295.0,295.0,295.0
1380,295.0,295.0,295.0,295.0
1390,295.0,295.0,295.0,295.0
1400,295.0,295.0,295.0,295.0
1410,295.0,295.0,295.0,295.0
1420,295.0,295.0,295.0,295.0
1430,295.0,295.0,295.0,295.0
1440,295.0,295.0,295.0,295.0
1440,295.0,295.0,295.0,295.0
1450,294.94533333333334,295.0,294.99533333333335,294.9446480547222
1460,294.8906666666667,295.0,294.99066666666664,294.88929610944444
1470,294.836,295.0,294.986,294.83394416416667
1480,294.78133333333335,295.0,294.98133333333334,294.7785922188889
1490,294.7266666666667,295.0,294.9766666666667,294.7232402736111
1500,294.672,295.0,294.972,294.66788832833333
1510,294.61733333333336,295.0,294.96733333333333,294.61253638305556
1520,294.56266666666664,295.0,294.9626666666667,294.5571844377778
1530,294.508,295.0,294.958,294.5018324925
1540,294.4533333333333,295.0,294.9533333333333,294.4464805472222
1550,294.39866666666666,295.0,294.94866666666667,294.39112860194444
1560,294.344,295.0,294.944,294.33577665666667
1570,294.28933333333333,295.0,294.93933333333337,294.2804247113889
1580,294.23466666666667,295.0,294.93466666666666,294.2250727661111
1590,294.18,295.0,294.93,294.16972082083333
1600,294.22933333333333,295.08133333333336,294.93666666666667,294.31342652
