Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
10,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
20,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
30,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
40,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
50,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
60,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
70,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
80,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
90,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
100,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
110,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
120,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
130,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
140,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
150,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
160,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
170,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
180,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
190,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
200,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
210,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
220,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
230,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
240,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
250,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
260,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
270,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
280,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
290,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
300,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
310,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
320,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
330,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
340,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
350,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
360,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
370,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
380,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
390,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
400,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
410,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
420,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
430,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
440,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
450,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
460,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
470,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
480,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
490,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
500,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
510,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
520,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
530,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
540,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
550,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
560,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
570,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
580,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
590,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
600,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
610,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
620,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
630,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
640,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
650,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
660,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
670,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
680,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
690,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
700,123.8257876685432,123.8257876685432,123.8257876685432,123.8257876685432
