Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,154.957487657778,154.957487657778,154.957487657778,154.957487657778
10,154.957487657778,154.957487657778,154.957487657778,154.957487657778
20,154.957487657778,154.957487657778,154.957487657778,154.957487657778
30,154.957487657778,154.957487657778,154.957487657778,154.957487657778
40,154.957487657778,154.957487657778,154.957487657778,154.957487657778
50,154.957487657778,154.957487657778,154.957487657778,154.957487657778
60,154.957487657778,154.957487657778,154.957487657778,154.957487657778
70,154.957487657778,154.957487657778,154.957487657778,154.957487657778
80,154.957487657778,154.957487657778,154.957487657778,154.957487657778
90,154.957487657778,154.957487657778,154.957487657778,154.957487657778
100,154.957487657778,154.957487657778,154.957487657778,154.957487657778
110,154.957487657778,154.957487657778,154.957487657778,154.957487657778
120,154.957487657778,154.957487657778,154.957487657778,154.957487657778
130,154.957487657778,154.957487657778,154.957487657778,154.957487657778
140,154.957487657778,154.957487657778,154.957487657778,154.957487657778
150,154.957487657778,154.957487657778,154.957487657778,154.957487657778
160,154.957487657778,154.957487657778,154.957487657778,154.957487657778
170,154.957487657778,154.957487657778,154.957487657778,154.957487657778
180,154.957487657778,154.957487657778,154.957487657778,154.957487657778
190,154.957487657778,154.957487657778,154.957487657778,154.957487657778
200,154.957487657778,154.957487657778,154.957487657778,154.957487657778
210,154.957487657778,154.957487657778,154.957487657778,154.957487657778
220,154.957487657778,154.957487657778,154.957487657778,154.957487657778
230,154.957487657778,154.957487657778,154.957487657778,154.957487657778
240,154.957487657778,154.957487657778,154.957487657778,154.957487657778
250,154.957487657778,154.957487657778,154.957487657778,154.957487657778
260,154.957487657778,154.957487657778,154.957487657778,154.957487657778
270,154.957487657778,154.957487657778,154.957487657778,154.957487657778
280,154.957487657778,154.957487657778,154.957487657778,154.957487657778
290,154.957487657778,154.957487657778,154.957487657778,154.957487657778
300,154.957487657778,154.957487657778,154.957487657778,154.957487657778
310,154.957487657778,154.957487657778,154.957487657778,154.957487657778
320,154.957487657778,154.957487657778,154.957487657778,154.957487657778
330,154.957487657778,154.957487657778,154.957487657778,154.957487657778
340,154.957487657778,154.957487657778,154.957487657778,154.957487657778
350,154.957487657778,154.957487657778,154.957487657778,154.957487657778
360,154.957487657778,154.957487657778,154.957487657778,154.957487657778
370,154.957487657778,154.957487657778,154.957487657778,154.957487657778
380,154.957487657778,154.957487657778,154.957487657778,154.957487657778
390,154.957487657778,154.957487657778,154.957487657778,154.957487657778
400,154.957487657778,154.957487657778,154.957487657778,154.957487657778
410,154.957487657778,154.957487657778,154.957487657778,154.957487657778
420,154.957487657778,154.957487657778,154.957487657778,154.957487657778
430,154.957487657778,154.957487657778,154.957487657778,154.957487657778
440,154.957487657778,154.957487657778,154.957487657778,154.957487657778
450,154.957487657778,154.957487657778,154.957487657778,154.957487657778
460,154.957487657778,154.957487657778,154.957487657778,154.957487657778
470,154.957487657778,154.957487657778,154.957487657778,154.957487657778
480,154.957487657778,154.957487657778,154.957487657778,154.957487657778
490,154.957487657778,154.957487657778,154.957487657778,154.957487657778
