Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,300,300,300,300
10,300,300,300,300
20,300,300,300,300
30,300,300,300,300
40,300,300,300,300
50,300,300,300,300
60,300,300,300,300
70,300,300,300,300
80,300,300,300,300
90,300,300,300,300
100,300,300,300,300
110,300,300,300,300
120,300,300,300,300
130,300,300,300,300
140,300,300,300,300
150,300,300,300,300
160,300,300,300,300
170,300,300,300,300
180,300,300,300,300
190,300,300,300,300
200,300,300,300,300
210,300,300,300,300
220,300,300,300,300
230,300,300,300,300
240,300,300,300,300
250,300,300,300,300
260,300,300,300,300
270,300,300,300,300
280,300,300,300,300
290,300,300,300,300
300,300,300,300,300
310,300,300,300,300
320,300,300,300,300
330,300,300,300,300
340,300,300,300,300
350,300,300,300,300
360,300,300,300,300
370,300,300,300,300
380,300,300,300,300
390,300,300,300,300
400,300,300,300,300
410,300,300,300,300
420,300,300,300,300
430,300,300,300,300
440,300,300,300,300
450,300,300,300,300
460,300,300,300,300
470,300,300,300,300
480,300,300,300,300
490,300,300,300,300
500,300,300,300,300
510,300,300,300,300
520,300,300,300,300
530,300,300,300,300
540,300,300,300,300
550,300,300,300,300
560,300,300,300,300
570,300,300,300,300
580,300,300,300,300
590,300,300,300,300
600,300,300,300,300
610,300,300,300,300
620,300,300,300,300
630,300,300,300,300
640,300,300,300,300
650,300,300,300,300
660,300,300,300,300
670,300,300,300,300
680,300,300,300,300
690,300,300,300,300
700,300,300,300,300
710,300,300,300,300
720,300,300,300,300
730,300,300,300,300
740,300,300,300,300
750,300,300,300,300
760,300,300,300,300
770,300,300,300,300
780,300,300,300,300
790,300,300,300,300
800,300,300,300,300
810,300,300,300,300
820,300,300,300,300
830,300,300,300,300
840,300,300,300,300
850,300,300,300,300
860,300,300,300,300
870,300,300,300,300
880,300,300,300,300
890,300,300,300,300
900,300,300,300,300
910,300,300,300,300
920,300,300,300,300
930,300,300,300,300
940,300,300,300,300
950,300,300,300,300
960,300,300,300,300
970,300,300,300,300
980,300,300,300,300
990,300,300,300,300
1000,300,300,300,300
1010,300,300,300,300
1020,300,300,300,300
1030,300,300,300,300
1040,300,300,300,300
1050,300,300,300,300
1060,300,300,300,300
1070,300,300,300,300
1080,300,300,300,300
1090,300,300,300,300
1100,300,300,300,300
1110,300,300,300,300
1120,300,300,300,300
1130,300,300,300,300
1140,300,300,300,300
1150,300,300,300,300
1160,300,300,300,300
1170,300,300,300,300
1180,300,300,300,300
1190,300,300,300,300
1200,300,300,300,300
1210,300,300,300,300
1220,300,300,300,300
1230,300,300,300,300
1240,300,300,300,300
1250,300,300,300,300
1260,300,300,300,300
1270,300,300,300,300
1280,300,300,300,300
1290,300,300,300,300
1300,300,300,300,300
1310,300,300,300,300
1320,300,300,300,300
1330,300,300,300,300
1340,300,300,300,300
1350,300,300,300,300
1360,300,300,300,300
1370,300,300,300,300
1380,300,300,300,300
1390,300,300,300,300
1400,300,300,300,300
1410,300,300,300,300
1420,300,300,300,300
1430,300,300,300,300
1440,300,300,300,300
1440,300,300,300,300
1450,300,300.2673333,300.0266667,300.2777778
1460,300,300.5346667,300.0533333,300.5555556
1470,300,300.802,300.08,300.8333333
1480,300,301.0693333,300.1066667,301.1111111
1490,300,301.3366667,300.1333333,301.3888889
1500,300,301.604,300.16,301.6666667
1510,300,301.8713333,300.1866667,301.9444444
1520,300,302.1386667,300.2133333,302.2222222
1530,300,302.406,300.24,302.5
1540,300,302.6733333,300.2666667,302.7777778
1550,300,302.9406667,300.2933333,303.0555556
1560,300,303.208,300.32,303.3333333
1570,300,303.4753333,300.3466667,303.6111111
1580,300,303.7426667,300.3733333,303.8888889
1590,300,304.01,300.4,304.1666667
1600,300,304.2833333,300.4406667,304.4444444
1610,300,304.5566667,300.4813333,304.7222222
1620,300,304.83,300.522,305
1630,300,305.1033333,300.5626667,305.2777778
1640,300,305.3766667,300.6033333,305.5555556
1650,300,305.65,300.644,305.8333333
1660,300,305.9233333,300.6846667,306.1111111
1670,300,306.1966667,300.7253333,306.3888889
1680,300,306.47,300.766,306.6666667
1690,300,306.7433333,300.8066667,306.9444444
1700,300,307.0166667,300.8473333,307.2222222
1710,300,307.29,300.888,307.5
1720,300,307.5633333,300.9286667,307.7777778
1730,300,307.8366667,300.9693333,308.0555556
1740,300,308.11,301.01,308.3333333
1750,300,308.384,301.0593333,308.6111111
1760,300,308.658,301.1086667,308.8888889
1770,300,308.932,301.158,309.1666667
1780,300,309.206,301.2073333,309.4444444
1790,300,309.48,301.2566667,309.7222222
1800,300,309.754,301.306,310
1810,300,310.028,301.3553333,310.2777778
1820,300,310.302,301.4046667,310.5555556
1830,300,310.576,301.454,310.8333333
1840,300,310.85,301.5033333,311.1111111
1850,300,311.124,301.5526667,311.3888889
1860,300,311.398,301.602,311.6666667
1870,300,311.672,301.6513333,311.9444444
1880,300,311.946,301.7006667,312.2222222
1890,300,312.22,301.75,312.5
1900,300,312.4946667,301.8066667,312.7777778
1910,300,312.7693333,301.8633333,313.0555556
1920,300,313.044,301.92,313.3333333
1930,300,313.3186667,301.9766667,313.6111111
1940,300,313.5933333,302.0333333,313.8888889
1950,300,313.868,302.09,314.1666667
1960,300,314.1426667,302.1466667,314.4444444
1970,300,314.4173333,302.2033333,314.7222222
1980,300,314.692,302.26,315
1990,300,314.9666667,302.3166667,315.2777778
2000,300,315.2413333,302.3733333,315.5555556
2010,300,315.516,302.43,315.8333333
2020,300,315.7906667,302.4866667,316.1111111
2030,300,316.0653333,302.5433333,316.3888889
2040,300,316.34,302.6,316.6666667
2050,300.0013333,316.6153333,302.662,316.9444444
2060,300.0026667,316.8906667,302.724,317.2222222
2070,300.004,317.166,302.786,317.5
2080,300.0053333,317.4413333,302.848,317.7777778
2090,300.0066667,317.7166667,302.91,318.0555556
2100,300.008,317.992,302.972,318.3333333
2110,300.0093333,318.2673333,303.034,318.6111111
2120,300.0106667,318.5426667,303.096,318.8888889
2130,300.012,318.818,303.158,319.1666667
2140,300.0133333,319.0933333,303.22,319.4444444
2150,300.0146667,319.3686667,303.282,319.7222222
2160,300.016,319.644,303.344,320
2170,300.0173333,319.9193333,303.406,320.2777778
2180,300.0186667,320.1946667,303.468,320.5555556
2190,300.02,320.47,303.53,320.8333333
2200,300.022,320.7446667,303.5966667,321.1111111
2210,300.024,321.0193333,303.6633333,321.3888889
2220,300.026,321.294,303.73,321.6666667
2230,300.028,321.5686667,303.7966667,321.9444444
2240,300.03,321.8433333,303.8633333,322.2222222
2250,300.032,322.118,303.93,322.5
2260,300.034,322.3926667,303.9966667,322.7777778
2270,300.036,322.6673333,304.0633333,323.0555556
2280,300.038,322.942,304.13,323.3333333
2290,300.04,323.2166667,304.1966667,323.6111111
2300,300.042,323.4913333,304.2633333,323.8888889
2310,300.044,323.766,304.33,324.1666667
2320,300.046,324.0406667,304.3966667,324.4444444
2330,300.048,324.3153333,304.4633333,324.7222222
2340,300.05,324.59,304.53,325
2350,300.0533333,324.8653333,304.6013333,325.2777778
2360,300.0566667,325.1406667,304.6726667,325.5555556
2370,300.06,325.416,304.744,325.8333333
2380,300.0633333,325.6913333,304.8153333,326.1111111
2390,300.0666667,325.9666667,304.8866667,326.3888889
2400,300.07,326.242,304.958,326.6666667
2410,300.0733333,326.5173333,305.0293333,326.9444444
2420,300.0766667,326.7926667,305.1006667,327.2222222
2430,300.08,327.068,305.172,327.5
2440,300.0833333,327.3433333,305.2433333,327.7777778
2450,300.0866667,327.6186667,305.3146667,328.0555556
2460,300.09,327.894,305.386,328.3333333
2470,300.0933333,328.1693333,305.4573333,328.6111111
2480,300.0966667,328.4446667,305.5286667,328.8888889
2490,300.1,328.72,305.6,329.1666667
2500,300.106,328.9953333,305.676,329.4444444
2510,300.112,329.2706667,305.752,329.7222222
2520,300.118,329.546,305.828,330
2530,300.124,329.8213333,305.904,330.2777778
2540,300.13,330.0966667,305.98,330.5555556
2550,300.136,330.372,306.056,330.8333333
2560,300.142,330.6473333,306.132,331.1111111
2570,300.148,330.9226667,306.208,331.3888889
2580,300.154,331.198,306.284,331.6666667
2590,300.16,331.4733333,306.36,331.9444444
2600,300.166,331.7486667,306.436,332.2222222
2610,300.172,332.024,306.512,332.5
2620,300.178,332.2993333,306.588,332.7777778
2630,300.184,332.5746667,306.664,333.0555556
2640,300.19,332.85,306.74,333.3333333
2650,300.1986667,333.1253333,306.8193333,333.6111111
2660,300.2073333,333.4006667,306.8986667,333.8888889
2670,300.216,333.676,306.978,334.1666667
2680,300.2246667,333.9513333,307.0573333,334.4444444
2690,300.2333333,334.2266667,307.1366667,334.7222222
2700,300.242,334.502,307.216,335
2710,300.2506667,334.7773333,307.2953333,335.2777778
2720,300.2593333,335.0526667,307.3746667,335.5555556
2730,300.268,335.328,307.454,335.8333333
2740,300.2766667,335.6033333,307.5333333,336.1111111
2750,300.2853333,335.8786667,307.6126667,336.3888889
2760,300.294,336.154,307.692,336.6666667
2770,300.3026667,336.4293333,307.7713333,336.9444444
2780,300.3113333,336.7046667,307.8506667,337.2222222
2790,300.32,336.98,307.93,337.5
2800,300.3313333,337.2553333,308.0133333,337.7777778
2810,300.3426667,337.5306667,308.0966667,338.0555556
2820,300.354,337.806,308.18,338.3333333
2830,300.3653333,338.0813333,308.2633333,338.6111111
2840,300.3766667,338.3566667,308.3466667,338.8888889
2850,300.388,338.632,308.43,339.1666667
2860,300.3993333,338.9073333,308.5133333,339.4444444
2870,300.4106667,339.1826667,308.5966667,339.7222222
2880,300.422,339.458,308.68,340
2890,300.4333333,339.7333333,308.7633333,340.2777778
2900,300.4446667,340.0086667,308.8466667,340.5555556
2910,300.456,340.284,308.93,340.8333333
2920,300.4673333,340.5593333,309.0133333,341.1111111
2930,300.4786667,340.8346667,309.0966667,341.3888889
2940,300.49,341.11,309.18,341.6666667
2950,300.504,341.3866667,309.2666667,341.9444444
2960,300.518,341.6633333,309.3533333,342.2222222
2970,300.532,341.94,309.44,342.5
2980,300.546,342.2166667,309.5266667,342.7777778
2990,300.56,342.4933333,309.6133333,343.0555556
3000,300.574,342.77,309.7,343.3333333
3010,300.588,343.0466667,309.7866667,343.6111111
3020,300.602,343.3233333,309.8733333,343.8888889
3030,300.616,343.6,309.96,344.1666667
3040,300.63,343.8766667,310.0466667,344.4444444
3050,300.644,344.1533333,310.1333333,344.7222222
3060,300.658,344.43,310.22,345
3070,300.672,344.7066667,310.3066667,345.2777778
3080,300.686,344.9833333,310.3933333,345.5555556
3090,300.7,345.26,310.48,345.8333333
3100,300.718,345.5353333,310.5673333,346.1111111
3110,300.736,345.8106667,310.6546667,346.3888889
3120,300.754,346.086,310.742,346.6666667
3130,300.772,346.3613333,310.8293333,346.9444444
3140,300.79,346.6366667,310.9166667,347.2222222
3150,300.808,346.912,311.004,347.5
3160,300.826,347.1873333,311.0913333,347.7777778
3170,300.844,347.4626667,311.1786667,348.0555556
3180,300.862,347.738,311.266,348.3333333
3190,300.88,348.0133333,311.3533333,348.6111111
3200,300.898,348.2886667,311.4406667,348.8888889
3210,300.916,348.564,311.528,349.1666667
3220,300.934,348.8393333,311.6153333,349.4444444
3230,300.952,349.1146667,311.7026667,349.7222222
3240,300.97,349.39,311.79,350
3250,300.9906667,349.398,311.8553333,350
3260,301.0113333,349.406,311.9206667,350
3270,301.032,349.414,311.986,350
3280,301.0526667,349.422,312.0513333,350
3290,301.0733333,349.43,312.1166667,350
3300,301.094,349.438,312.182,350
3310,301.1146667,349.446,312.2473333,350
3320,301.1353333,349.454,312.3126667,350
3330,301.156,349.462,312.378,350
3340,301.1766667,349.47,312.4433333,350
3350,301.1973333,349.478,312.5086667,350
3360,301.218,349.486,312.574,350
3370,301.2386667,349.494,312.6393333,350
3380,301.2593333,349.502,312.7046667,350
3390,301.28,349.51,312.77,350
3400,301.3046667,349.512,312.8246667,350
3410,301.3293333,349.514,312.8793333,350
3420,301.354,349.516,312.934,350
3430,301.3786667,349.518,312.9886667,350
3440,301.4033333,349.52,313.0433333,350
3450,301.428,349.522,313.098,350
3460,301.4526667,349.524,313.1526667,350
3470,301.4773333,349.526,313.2073333,350
3480,301.502,349.528,313.262,350
3490,301.5266667,349.53,313.3166667,350
3500,301.5513333,349.532,313.3713333,350
3510,301.576,349.534,313.426,350
3520,301.6006667,349.536,313.4806667,350
3530,301.6253333,349.538,313.5353333,350
3540,301.65,349.54,313.59,350
3550,301.678,349.5413333,313.6386667,350
3560,301.706,349.5426667,313.6873333,350
3570,301.734,349.544,313.736,350
3580,301.762,349.5453333,313.7846667,350
3590,301.79,349.5466667,313.8333333,350
3600,301.818,349.548,313.882,350
3610,301.846,349.5493333,313.9306667,350
3620,301.874,349.5506667,313.9793333,350
3630,301.902,349.552,314.028,350
3640,301.93,349.5533333,314.0766667,350
3650,301.958,349.5546667,314.1253333,350
3660,301.986,349.556,314.174,350
3670,302.014,349.5573333,314.2226667,350
3680,302.042,349.5586667,314.2713333,350
3690,302.07,349.56,314.32,350
3700,302.1013333,349.5613333,314.3653333,350
3710,302.1326667,349.5626667,314.4106667,350
3720,302.164,349.564,314.456,350
3730,302.1953333,349.5653333,314.5013333,350
3740,302.2266667,349.5666667,314.5466667,350
3750,302.258,349.568,314.592,350
3760,302.2893333,349.5693333,314.6373333,350
3770,302.3206667,349.5706667,314.6826667,350
3780,302.352,349.572,314.728,350
3790,302.3833333,349.5733333,314.7733333,350
3800,302.4146667,349.5746667,314.8186667,350
3810,302.446,349.576,314.864,350
3820,302.4773333,349.5773333,314.9093333,350
3830,302.5086667,349.5786667,314.9546667,350
3840,302.54,349.58,315,350
3850,302.574,349.5806667,315.042,350
3860,302.608,349.5813333,315.084,350
3870,302.642,349.582,315.126,350
3880,302.676,349.5826667,315.168,350
3890,302.71,349.5833333,315.21,350
3900,302.744,349.584,315.252,350
3910,302.778,349.5846667,315.294,350
3920,302.812,349.5853333,315.336,350
3930,302.846,349.586,315.378,350
3940,302.88,349.5866667,315.42,350
3950,302.914,349.5873333,315.462,350
3960,302.948,349.588,315.504,350
3970,302.982,349.5886667,315.546,350
3980,303.016,349.5893333,315.588,350
3990,303.05,349.59,315.63,350
4000,303.0866667,349.5913333,315.6706667,350
4010,303.1233333,349.5926667,315.7113333,350
4020,303.16,349.594,315.752,350
4030,303.1966667,349.5953333,315.7926667,350
4040,303.2333333,349.5966667,315.8333333,350
4050,303.27,349.598,315.874,350
4060,303.3066667,349.5993333,315.9146667,350
4070,303.3433333,349.6006667,315.9553333,350
4080,303.38,349.602,315.996,350
4090,303.4166667,349.6033333,316.0366667,350
4100,303.4533333,349.6046667,316.0773333,350
4110,303.49,349.606,316.118,350
4120,303.5266667,349.6073333,316.1586667,350
4130,303.5633333,349.6086667,316.1993333,350
4140,303.6,349.61,316.24,350
4150,303.6386667,349.6106667,316.278,350
4160,303.6773333,349.6113333,316.316,350
4170,303.716,349.612,316.354,350
4180,303.7546667,349.6126667,316.392,350
4190,303.7933333,349.6133333,316.43,350
4200,303.832,349.614,316.468,350
4210,303.8706667,349.6146667,316.506,350
4220,303.9093333,349.6153333,316.544,350
4230,303.948,349.616,316.582,350
4240,303.9866667,349.6166667,316.62,350
4250,304.0253333,349.6173333,316.658,350
4260,304.064,349.618,316.696,350
4270,304.1026667,349.6186667,316.734,350
4280,304.1413333,349.6193333,316.772,350
4290,304.18,349.62,316.81,350
4300,304.22,349.6206667,316.8473333,350
4310,304.26,349.6213333,316.8846667,350
4320,304.3,349.622,316.922,350
4330,304.34,349.6226667,316.9593333,350
4340,304.38,349.6233333,316.9966667,350
4350,304.42,349.624,317.034,350
4360,304.46,349.6246667,317.0713333,350
4370,304.5,349.6253333,317.1086667,350
4380,304.54,349.626,317.146,350
4390,304.58,349.6266667,317.1833333,350
4400,304.62,349.6273333,317.2206667,350
4410,304.66,349.628,317.258,350
4420,304.7,349.6286667,317.2953333,350
4430,304.74,349.6293333,317.3326667,350
4440,304.78,349.63,317.37,350
4450,304.8206667,349.63,317.4053333,350
4460,304.8613333,349.63,317.4406667,350
4470,304.902,349.63,317.476,350
4480,304.9426667,349.63,317.5113333,350
4490,304.9833333,349.63,317.5466667,350
4500,305.024,349.63,317.582,350
4510,305.0646667,349.63,317.6173333,350
4520,305.1053333,349.63,317.6526667,350
4530,305.146,349.63,317.688,350
4540,305.1866667,349.63,317.7233333,350
4550,305.2273333,349.63,317.7586667,350
4560,305.268,349.63,317.794,350
4570,305.3086667,349.63,317.8293333,350
4580,305.3493333,349.63,317.8646667,350
4590,305.39,349.63,317.9,350
4600,305.4313333,349.6306667,317.9346667,350
4610,305.4726667,349.6313333,317.9693333,350
4620,305.514,349.632,318.004,350
4630,305.5553333,349.6326667,318.0386667,350
4640,305.5966667,349.6333333,318.0733333,350
4650,305.638,349.634,318.108,350
4660,305.6793333,349.6346667,318.1426667,350
4670,305.7206667,349.6353333,318.1773333,350
4680,305.762,349.636,318.212,350
4690,305.8033333,349.6366667,318.2466667,350
4700,305.8446667,349.6373333,318.2813333,350
4710,305.886,349.638,318.316,350
4720,305.9273333,349.6386667,318.3506667,350
4730,305.9686667,349.6393333,318.3853333,350
4740,306.01,349.64,318.42,350
4750,306.0513333,349.6406667,318.454,350
4760,306.0926667,349.6413333,318.488,350
4770,306.134,349.642,318.522,350
4780,306.1753333,349.6426667,318.556,350
4790,306.2166667,349.6433333,318.59,350
4800,306.258,349.644,318.624,350
4810,306.2993333,349.6446667,318.658,350
4820,306.3406667,349.6453333,318.692,350
4830,306.382,349.646,318.726,350
4840,306.4233333,349.6466667,318.76,350
4850,306.4646667,349.6473333,318.794,350
4860,306.506,349.648,318.828,350
4870,306.5473333,349.6486667,318.862,350
4880,306.5886667,349.6493333,318.896,350
4890,306.63,349.65,318.93,350
4900,306.672,349.65,318.9633333,350
4910,306.714,349.65,318.9966667,350
4920,306.756,349.65,319.03,350
4930,306.798,349.65,319.0633333,350
4940,306.84,349.65,319.0966667,350
4950,306.882,349.65,319.13,350
4960,306.924,349.65,319.1633333,350
4970,306.966,349.65,319.1966667,350
4980,307.008,349.65,319.23,350
4990,307.05,349.65,319.2633333,350
5000,307.092,349.65,319.2966667,350
5010,307.134,349.65,319.33,350
5020,307.176,349.65,319.3633333,350
5030,307.218,349.65,319.3966667,350
5040,307.26,349.65,319.43,350
5050,307.302,349.6506667,319.462,350
5060,307.344,349.6513333,319.494,350
5070,307.386,349.652,319.526,350
5080,307.428,349.6526667,319.558,350
