Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,160.0,160.0,160.0,160.0
10,160.0,160.0,160.0,160.0
20,160.0,160.0,160.0,160.0
30,160.0,160.0,160.0,160.0
40,160.0,160.0,160.0,160.0
50,160.0,160.0,160.0,160.0
60,160.0,160.0,160.0,160.0
70,160.0,160.0,160.0,160.0
80,160.0,160.0,160.0,160.0
90,160.0,160.0,160.0,160.0
100,160.0,160.0,160.0,160.0
110,160.0,160.0,160.0,160.0
120,160.0,160.0,160.0,160.0
130,160.0,160.0,160.0,160.0
140,160.0,160.0,160.0,160.0
150,160.0,160.0,160.0,160.0
160,160.0,160.0,160.0,160.0
170,160.0,160.0,160.0,160.0
180,160.0,160.0,160.0,160.0
190,160.0,160.0,160.0,160.0
200,160.0,160.0,160.0,160.0
210,160.0,160.0,160.0,160.0
220,160.0,160.0,160.0,160.0
230,160.0,160.0,160.0,160.0
240,160.0,160.0,160.0,160.0
250,160.0,160.0,160.0,160.0
260,160.0,160.0,160.0,160.0
270,160.0,160.0,160.0,160.0
280,160.0,160.0,160.0,160.0
290,160.0,160.0,160.0,160.0
300,160.0,160.0,160.0,160.0
310,160.0,160.0,160.0,160.0
320,160.0,160.0,160.0,160.0
330,160.0,160.0,160.0,160.0
340,160.0,160.0,160.0,160.0
350,160.0,160.0,160.0,160.0
360,160.0,160.0,160.0,160.0
370,160.0,160.0,160.0,160.0
380,160.0,160.0,160.0,160.0
390,160.0,160.0,160.0,160.0
400,160.0,160.0,160.0,160.0
410,160.0,160.0,160.0,160.0
420,160.0,160.0,160.0,160.0
430,160.0,160.0,160.0,160.0
440,160.0,160.0,160.0,160.0
450,160.0,160.0,160.0,160.0
460,160.0,160.0,160.0,160.0
470,160.0,160.0,160.0,160.0
480,160.0,160.0,160.0,160.0
490,160.0,160.0,160.0,160.0
500,160.0,160.0,160.0,160.0
510,160.0,160.0,160.0,160.0
520,160.0,160.0,160.0,160.0
530,160.0,160.0,160.0,160.0
540,160.0,160.0,160.0,160.0
550,160.0,160.0,160.0,160.0
560,160.0,160.0,160.0,160.0
570,160.0,160.0,160.0,160.0
580,160.0,160.0,160.0,160.0
590,160.0,160.0,160.0,160.0
600,160.0,160.0,160.0,160.0
610,160.0,160.0,160.0,160.0
620,160.0,160.0,160.0,160.0
630,160.0,160.0,160.0,160.0
640,160.0,160.0,160.0,160.0
650,160.0,160.0,160.0,160.0
660,160.0,160.0,160.0,160.0
670,160.0,160.0,160.0,160.0
680,160.0,160.0,160.0,160.0
690,160.0,160.0,160.0,160.0
700,160.0,160.0,160.0,160.0
710,160.0,160.0,160.0,160.0
720,160.0,160.0,160.0,160.0
730,160.0,160.0,160.0,160.0
740,160.0,160.0,160.0,160.0
750,160.0,160.0,160.0,160.0
760,160.0,160.0,160.0,160.0
770,160.0,160.0,160.0,160.0
780,160.0,160.0,160.0,160.0
790,160.0,160.0,160.0,160.0
800,160.0,160.0,160.0,160.0
810,160.0,160.0,160.0,160.0
820,160.0,160.0,160.0,160.0
830,160.0,160.0,160.0,160.0
840,160.0,160.0,160.0,160.0
850,160.0,160.0,160.0,160.0
860,160.0,160.0,160.0,160.0
870,160.0,160.0,160.0,160.0
880,160.0,160.0,160.0,160.0
890,160.0,160.0,160.0,160.0
900,160.0,160.0,160.0,160.0
910,160.0,160.0,160.0,160.0
920,160.0,160.0,160.0,160.0
930,160.0,160.0,160.0,160.0
940,160.0,160.0,160.0,160.0
950,160.0,160.0,160.0,160.0
960,160.0,160.0,160.0,160.0
970,160.0,160.0,160.0,160.0
980,160.0,160.0,160.0,160.0
990,160.0,160.0,160.0,160.0
1000,160.0,160.0,160.0,160.0
1010,160.0,160.0,160.0,160.0
1020,160.0,160.0,160.0,160.0
1030,160.0,160.0,160.0,160.0
1040,160.0,160.0,160.0,160.0
1050,160.0,160.0,160.0,160.0
1060,160.0,160.0,160.0,160.0
1070,160.0,160.0,160.0,160.0
1080,160.0,160.0,160.0,160.0
1090,160.0,160.0,160.0,160.0
1100,160.0,160.0,160.0,160.0
1110,160.0,160.0,160.0,160.0
1120,160.0,160.0,160.0,160.0
1130,160.0,160.0,160.0,160.0
1140,160.0,160.0,160.0,160.0
1150,160.0,160.0,160.0,160.0
1160,160.0,160.0,160.0,160.0
1170,160.0,160.0,160.0,160.0
1180,160.0,160.0,160.0,160.0
1190,160.0,160.0,160.0,160.0
1200,160.0,160.0,160.0,160.0
1210,160.0,160.0,160.0,160.0
1220,160.0,160.0,160.0,160.0
1230,160.0,160.0,160.0,160.0
1240,160.0,160.0,160.0,160.0
1250,160.0,160.0,160.0,160.0
1260,160.0,160.0,160.0,160.0
1270,160.0,160.0,160.0,160.0
1280,160.0,160.0,160.0,160.0
1290,160.0,160.0,160.0,160.0
1300,160.0,160.0,160.0,160.0
1310,160.0,160.0,160.0,160.0
1320,160.0,160.0,160.0,160.0
1330,160.0,160.0,160.0,160.0
1340,160.0,160.0,160.0,160.0
1350,160.0,160.0,160.0,160.0
1360,160.0,160.0,160.0,160.0
1370,160.0,160.0,160.0,160.0
1380,160.0,160.0,160.0,160.0
1390,160.0,160.0,160.0,160.0
1400,160.0,160.0,160.0,160.0
1410,160.0,160.0,160.0,160.0
1420,160.0,160.0,160.0,160.0
1430,160.0,160.0,160.0,160.0
1440,160.0,160.0,160.0,160.0
1440,160.0,160.0,160.0,160.0
1450,160.0,160.12533333333334,160.02133333333333,160.125
1460,160.0,160.25066666666666,160.04266666666666,160.25
1470,160.0,160.376,160.064,160.375
1480,160.0,160.50133333333332,160.08533333333332,160.5
1490,160.0,160.62666666666667,160.10666666666665,160.625
1500,160.0,160.752,160.128,160.75
1510,160.0,160.87733333333333,160.14933333333332,160.875
1520,160.0,161.00266666666667,160.17066666666668,161.0
1530,160.0,161.128,160.192,161.125
1540,160.0,161.25333333333333,160.21333333333334,161.25
1550,160.0,161.37866666666667,160.23466666666667,161.375
1560,160.0,161.504,160.256,161.5
1570,160.0,161.62933333333334,160.27733333333333,161.625
1580,160.0,161.75466666666665,160.29866666666666,161.75
1590,160.0,161.88,160.32,161.875
1600,160.0,162.00466666666665,160.34733333333332,162.0
1610,160.0,162.12933333333334,160.37466666666666,162.125
1620,160.0,162.254,160.402,162.25
1630,160.0,162.37866666666667,160.42933333333332,162.375
1640,160.0,162.50333333333333,160.45666666666665,162.5
1650,160.0,162.628,160.48399999999998,162.625
1660,160.0,162.75266666666667,160.5113333333333,162.75
1670,160.0,162.87733333333333,160.53866666666667,162.875
1680,160.0,163.002,160.566,163.0
1690,160.0,163.12666666666667,160.59333333333333,163.125
1700,160.0,163.25133333333332,160.62066666666666,163.25
1710,160.0,163.376,160.648,163.375
1720,160.0,163.50066666666666,160.67533333333333,163.5
1730,160.0,163.62533333333334,160.70266666666666,163.625
1740,160.0,163.75,160.73,163.75
1750,160.0,163.87533333333334,160.7613333333333,163.875
1760,160.0,164.00066666666666,160.79266666666666,164.0
1770,160.0,164.126,160.82399999999998,164.125
1780,160.0,164.25133333333332,160.85533333333333,164.25
1790,160.0,164.37666666666667,160.88666666666666,164.375
1800,160.0,164.502,160.91799999999998,164.5
1810,160.0,164.62733333333333,160.94933333333333,164.625
1820,160.0,164.75266666666667,160.98066666666665,164.75
1830,160.0,164.878,161.012,164.875
1840,160.0,165.00333333333333,161.04333333333332,165.0
1850,160.0,165.12866666666667,161.07466666666664,165.125
1860,160.0,165.254,161.106,165.25
1870,160.0,165.37933333333334,161.13733333333332,165.375
1880,160.0,165.50466666666665,161.16866666666667,165.5
1890,160.0,165.63,161.2,165.625
1900,160.00066666666666,165.75466666666665,161.23533333333333,165.75
1910,160.00133333333332,165.87933333333334,161.27066666666664,165.875
1920,160.002,166.004,161.30599999999998,166.0
1930,160.00266666666667,166.12866666666667,161.34133333333332,166.125
1940,160.00333333333333,166.25333333333333,161.37666666666667,166.25
1950,160.004,166.378,161.41199999999998,166.375
1960,160.00466666666665,166.50266666666667,161.44733333333332,166.5
1970,160.00533333333334,166.62733333333333,161.48266666666666,166.625
1980,160.006,166.752,161.518,166.75
1990,160.00666666666666,166.87666666666667,161.5533333333333,166.875
2000,160.00733333333332,167.00133333333332,161.58866666666665,167.0
2010,160.00799999999998,167.126,161.624,167.125
2020,160.00866666666667,167.25066666666666,161.65933333333334,167.25
2030,160.00933333333333,167.37533333333334,161.69466666666665,167.375
2040,160.01,167.5,161.73,167.5
2050,160.01066666666665,167.62533333333334,161.7673333333333,167.625
2060,160.01133333333334,167.75066666666666,161.80466666666666,167.75
2070,160.012,167.876,161.84199999999998,167.875
2080,160.01266666666666,168.00133333333332,161.87933333333334,168.0
2090,160.01333333333332,168.12666666666667,161.91666666666666,168.125
2100,160.014,168.252,161.95399999999998,168.25
2110,160.01466666666667,168.37733333333333,161.99133333333333,168.375
2120,160.01533333333333,168.50266666666667,162.02866666666665,168.5
2130,160.016,168.628,162.066,168.625
2140,160.01666666666668,168.75333333333333,162.10333333333332,168.75
2150,160.01733333333334,168.87866666666667,162.14066666666665,168.875
2160,160.018,169.004,162.178,169.0
2170,160.01866666666666,169.12933333333334,162.21533333333332,169.125
2180,160.01933333333335,169.25466666666665,162.25266666666667,169.25
2190,160.02,169.38,162.29,169.375
2200,160.02200000000002,169.50466666666665,162.32933333333332,169.5
2210,160.024,169.62933333333334,162.36866666666666,169.625
2220,160.026,169.754,162.408,169.75
2230,160.02800000000002,169.87866666666667,162.44733333333332,169.875
2240,160.03,170.00333333333333,162.48666666666665,170.0
2250,160.032,170.128,162.52599999999998,170.125
2260,160.03400000000002,170.25266666666667,162.5653333333333,170.25
2270,160.036,170.37733333333333,162.60466666666667,170.375
2280,160.038,170.502,162.644,170.5
2290,160.04000000000002,170.62666666666667,162.68333333333334,170.625
2300,160.042,170.75133333333332,162.72266666666667,170.75
2310,160.044,170.876,162.762,170.875
2320,160.04600000000002,171.00066666666666,162.80133333333333,171.0
2330,160.048,171.12533333333334,162.84066666666666,171.125
2340,160.05,171.25,162.88,171.25
2350,160.05266666666668,171.37533333333334,162.922,171.375
2360,160.05533333333335,171.50066666666666,162.964,171.5
2370,160.05800000000002,171.626,163.006,171.625
2380,160.06066666666666,171.75133333333332,163.048,171.75
2390,160.06333333333333,171.87666666666667,163.09,171.875
2400,160.066,172.002,163.132,172.0
2410,160.06866666666667,172.12733333333333,163.174,172.125
2420,160.07133333333334,172.25266666666667,163.21599999999998,172.25
2430,160.074,172.378,163.25799999999998,172.375
2440,160.07666666666668,172.50333333333333,163.29999999999998,172.5
2450,160.07933333333335,172.62866666666667,163.34199999999998,172.625
2460,160.082,172.754,163.384,172.75
2470,160.08466666666666,172.87933333333334,163.426,172.875
2480,160.08733333333333,173.00466666666665,163.468,173.0
2490,160.09,173.13,163.51,173.125
2500,160.09466666666668,173.25466666666665,163.554,173.25
2510,160.09933333333333,173.37933333333334,163.59799999999998,173.375
2520,160.104,173.504,163.642,173.5
2530,160.10866666666666,173.62866666666667,163.68599999999998,173.625
2540,160.11333333333334,173.75333333333333,163.73,173.75
2550,160.118,173.878,163.774,173.875
2560,160.12266666666667,174.00266666666667,163.81799999999998,174.0
2570,160.12733333333333,174.12733333333333,163.862,174.125
2580,160.132,174.252,163.90599999999998,174.25
2590,160.13666666666666,174.37666666666667,163.95,174.375
2600,160.14133333333334,174.50133333333332,163.994,174.5
2610,160.146,174.626,164.03799999999998,174.625
2620,160.15066666666667,174.75066666666666,164.082,174.75
2630,160.15533333333332,174.87533333333334,164.12599999999998,174.875
2640,160.16,175.0,164.17,175.0
2650,160.16666666666666,175.12533333333334,164.21533333333332,175.125
2660,160.17333333333332,175.25066666666666,164.26066666666665,175.25
2670,160.18,175.376,164.30599999999998,175.375
2680,160.18666666666667,175.50133333333332,164.35133333333332,175.5
2690,160.19333333333333,175.62666666666667,164.39666666666665,175.625
2700,160.2,175.752,164.44199999999998,175.75
2710,160.20666666666665,175.87733333333333,164.4873333333333,175.875
2720,160.21333333333334,176.00266666666667,164.53266666666667,176.0
2730,160.22,176.128,164.578,176.125
2740,160.22666666666666,176.25333333333333,164.62333333333333,176.25
2750,160.23333333333332,176.37866666666667,164.66866666666667,176.375
2760,160.23999999999998,176.504,164.714,176.5
2770,160.24666666666667,176.62933333333334,164.75933333333333,176.625
2780,160.25333333333333,176.75466666666665,164.80466666666666,176.75
2790,160.26,176.88,164.85,176.875
2800,160.268,177.00466666666665,164.89733333333334,177.0
2810,160.27599999999998,177.12933333333334,164.94466666666665,177.125
2820,160.284,177.254,164.992,177.25
2830,160.292,177.37866666666667,165.03933333333333,177.375
2840,160.29999999999998,177.50333333333333,165.08666666666667,177.5
2850,160.308,177.628,165.134,177.625
2860,160.316,177.75266666666667,165.18133333333333,177.75
2870,160.32399999999998,177.87733333333333,165.22866666666667,177.875
2880,160.332,178.002,165.276,178.0
2890,160.34,178.12666666666667,165.32333333333332,178.125
2900,160.34799999999998,178.25133333333332,165.37066666666666,178.25
2910,160.356,178.376,165.418,178.375
2920,160.364,178.50066666666666,165.46533333333335,178.5
2930,160.37199999999999,178.62533333333334,165.51266666666666,178.625
2940,160.38,178.75,165.56,178.75
2950,160.39,178.87533333333334,165.60866666666666,178.875
2960,160.4,179.00066666666666,165.65733333333333,179.0
2970,160.41,179.126,165.706,179.125
2980,160.42,179.25133333333332,165.75466666666668,179.25
2990,160.43,179.37666666666667,165.80333333333334,179.375
3000,160.44,179.502,165.852,179.5
3010,160.45,179.62733333333333,165.90066666666667,179.625
3020,160.46,179.75266666666667,165.94933333333333,179.75
3030,160.47,179.878,165.998,179.875
3040,160.48,180.00333333333333,166.04666666666665,180.0
3050,160.49,180.12866666666667,166.09533333333331,180.125
3060,160.5,180.254,166.144,180.25
