Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,264.0,264.0,264.0,264.0
10,264.0,264.0,264.0,264.0
20,264.0,264.0,264.0,264.0
30,264.0,264.0,264.0,264.0
40,264.0,264.0,264.0,264.0
50,264.0,264.0,264.0,264.0
60,264.0,264.0,264.0,264.0
70,264.0,264.0,264.0,264.0
80,264.0,264.0,264.0,264.0
90,264.0,264.0,264.0,264.0
100,264.0,264.0,264.0,264.0
110,264.0,264.0,264.0,264.0
120,264.0,264.0,264.0,264.0
130,264.0,264.0,264.0,264.0
140,264.0,264.0,264.0,264.0
150,264.0,264.0,264.0,264.0
160,264.0,264.0,264.0,264.0
170,264.0,264.0,264.0,264.0
180,264.0,264.0,264.0,264.0
190,264.0,264.0,264.0,264.0
200,264.0,264.0,264.0,264.0
210,264.0,264.0,264.0,264.0
220,264.0,264.0,264.0,264.0
230,264.0,264.0,264.0,264.0
240,264.0,264.0,264.0,264.0
250,264.0,264.0,264.0,264.0
260,264.0,264.0,264.0,264.0
270,264.0,264.0,264.0,264.0
280,264.0,264.0,264.0,264.0
290,264.0,264.0,264.0,264.0
300,264.0,264.0,264.0,264.0
310,264.0,264.0,264.0,264.0
320,264.0,264.0,264.0,264.0
330,264.0,264.0,264.0,264.0
340,264.0,264.0,264.0,264.0
350,264.0,264.0,264.0,264.0
360,264.0,264.0,264.0,264.0
370,264.0,264.0,264.0,264.0
380,264.0,264.0,264.0,264.0
390,264.0,264.0,264.0,264.0
400,264.0,264.0,264.0,264.0
410,264.0,264.0,264.0,264.0
420,264.0,264.0,264.0,264.0
430,264.0,264.0,264.0,264.0
440,264.0,264.0,264.0,264.0
450,264.0,264.0,264.0,264.0
460,264.0,264.0,264.0,264.0
470,264.0,264.0,264.0,264.0
480,264.0,264.0,264.0,264.0
490,264.0,264.0,264.0,264.0
500,264.0,264.0,264.0,264.0
510,264.0,264.0,264.0,264.0
520,264.0,264.0,264.0,264.0
530,264.0,264.0,264.0,264.0
540,264.0,264.0,264.0,264.0
550,264.0,264.0,264.0,264.0
560,264.0,264.0,264.0,264.0
570,264.0,264.0,264.0,264.0
580,264.0,264.0,264.0,264.0
590,264.0,264.0,264.0,264.0
600,264.0,264.0,264.0,264.0
610,264.0,264.0,264.0,264.0
620,264.0,264.0,264.0,264.0
630,264.0,264.0,264.0,264.0
640,264.0,264.0,264.0,264.0
650,264.0,264.0,264.0,264.0
660,264.0,264.0,264.0,264.0
670,264.0,264.0,264.0,264.0
680,264.0,264.0,264.0,264.0
690,264.0,264.0,264.0,264.0
700,264.0,264.0,264.0,264.0
710,264.0,264.0,264.0,264.0
720,264.0,264.0,264.0,264.0
730,264.0,264.0,264.0,264.0
740,264.0,264.0,264.0,264.0
750,264.0,264.0,264.0,264.0
760,264.0,264.0,264.0,264.0
770,264.0,264.0,264.0,264.0
780,264.0,264.0,264.0,264.0
790,264.0,264.0,264.0,264.0
800,264.0,264.0,264.0,264.0
