Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.5,100.5,100.5,100.5
10,100.5,100.5,100.5,100.5
20,100.5,100.5,100.5,100.5
30,100.5,100.5,100.5,100.5
40,100.5,100.5,100.5,100.5
50,100.5,100.5,100.5,100.5
60,100.5,100.5,100.5,100.5
70,100.5,100.5,100.5,100.5
80,100.5,100.5,100.5,100.5
90,100.5,100.5,100.5,100.5
100,100.5,100.5,100.5,100.5
110,100.5,100.5,100.5,100.5
120,100.5,100.5,100.5,100.5
130,100.5,100.5,100.5,100.5
140,100.5,100.5,100.5,100.5
150,100.5,100.5,100.5,100.5
160,100.5,100.5,100.5,100.5
170,100.5,100.5,100.5,100.5
180,100.5,100.5,100.5,100.5
190,100.5,100.5,100.5,100.5
200,100.5,100.5,100.5,100.5
210,100.5,100.5,100.5,100.5
220,100.5,100.5,100.5,100.5
230,100.5,100.5,100.5,100.5
240,100.5,100.5,100.5,100.5
250,100.5,100.5,100.5,100.5
260,100.5,100.5,100.5,100.5
270,100.5,100.5,100.5,100.5
280,100.5,100.5,100.5,100.5
290,100.5,100.5,100.5,100.5
300,100.5,100.5,100.5,100.5
310,100.5,100.5,100.5,100.5
320,100.5,100.5,100.5,100.5
330,100.5,100.5,100.5,100.5
340,100.5,100.5,100.5,100.5
350,100.5,100.5,100.5,100.5
360,100.5,100.5,100.5,100.5
370,100.5,100.5,100.5,100.5
380,100.5,100.5,100.5,100.5
390,100.5,100.5,100.5,100.5
400,100.5,100.5,100.5,100.5
410,100.5,100.5,100.5,100.5
420,100.5,100.5,100.5,100.5
430,100.5,100.5,100.5,100.5
440,100.5,100.5,100.5,100.5
450,100.5,100.5,100.5,100.5
460,100.5,100.5,100.5,100.5
470,100.5,100.5,100.5,100.5
480,100.5,100.5,100.5,100.5
490,100.5,100.5,100.5,100.5
500,100.5,100.5,100.5,100.5
510,100.5,100.5,100.5,100.5
520,100.5,100.5,100.5,100.5
530,100.5,100.5,100.5,100.5
540,100.5,100.5,100.5,100.5
550,100.5,100.5,100.5,100.5
560,100.5,100.5,100.5,100.5
570,100.5,100.5,100.5,100.5
580,100.5,100.5,100.5,100.5
590,100.5,100.5,100.5,100.5
600,100.5,100.5,100.5,100.5
610,100.5,100.5,100.5,100.5
620,100.5,100.5,100.5,100.5
630,100.5,100.5,100.5,100.5
640,100.5,100.5,100.5,100.5
650,100.5,100.5,100.5,100.5
660,100.5,100.5,100.5,100.5
670,100.5,100.5,100.5,100.5
680,100.5,100.5,100.5,100.5
690,100.5,100.5,100.5,100.5
700,100.5,100.5,100.5,100.5
710,100.5,100.5,100.5,100.5
720,100.5,100.5,100.5,100.5
730,100.5,100.5,100.5,100.5
740,100.5,100.5,100.5,100.5
750,100.5,100.5,100.5,100.5
760,100.5,100.5,100.5,100.5
770,100.5,100.5,100.5,100.5
780,100.5,100.5,100.5,100.5
790,100.5,100.5,100.5,100.5
800,100.5,100.5,100.5,100.5
810,100.5,100.5,100.5,100.5
820,100.5,100.5,100.5,100.5
830,100.5,100.5,100.5,100.5
840,100.5,100.5,100.5,100.5
850,100.5,100.5,100.5,100.5
860,100.5,100.5,100.5,100.5
870,100.5,100.5,100.5,100.5
880,100.5,100.5,100.5,100.5
890,100.5,100.5,100.5,100.5
900,100.5,100.5,100.5,100.5
910,100.5,100.5,100.5,100.5
920,100.5,100.5,100.5,100.5
930,100.5,100.5,100.5,100.5
940,100.5,100.5,100.5,100.5
950,100.5,100.5,100.5,100.5
960,100.5,100.5,100.5,100.5
970,100.5,100.5,100.5,100.5
980,100.5,100.5,100.5,100.5
990,100.5,100.5,100.5,100.5
1000,100.5,100.5,100.5,100.5
1010,100.5,100.5,100.5,100.5
1020,100.5,100.5,100.5,100.5
1030,100.5,100.5,100.5,100.5
1040,100.5,100.5,100.5,100.5
1050,100.5,100.5,100.5,100.5
1060,100.5,100.5,100.5,100.5
1070,100.5,100.5,100.5,100.5
1080,100.5,100.5,100.5,100.5
1090,100.5,100.5,100.5,100.5
1100,100.5,100.5,100.5,100.5
1110,100.5,100.5,100.5,100.5
1120,100.5,100.5,100.5,100.5
1130,100.5,100.5,100.5,100.5
1140,100.5,100.5,100.5,100.5
1150,100.5,100.5,100.5,100.5
