Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,180.0,180.0,180.0,180.0
150,180.0,200.17,182.13,200.7446506480941
300,180.0,206.54,183.74,207.0850832191928
450,180.01,211.74,185.22,212.30942637442317
600,180.06,215.68,186.62,216.22677882111165
750,180.17,218.93,187.93,219.49063591352927
900,180.36,222.18,189.22,222.7544930059469
1050,180.63,225.16,190.49,225.721527785694
1200,180.98,227.53,191.66,228.09491794010015
1350,181.41,229.89,192.83,230.4683080945063
1500,181.91,232.26,194.0,232.84169824891248
1650,182.47,234.2,195.14,234.7749933475836
1800,183.08,236.13,196.26,236.70828844625467
1950,183.74,238.05,197.39,238.64158354492577
2100,184.44,239.75,198.5,240.32991760584596
2250,185.18,241.31,199.59,241.89577114789063
2400,185.95,242.87,200.67,243.46162468993532
2550,186.75,244.43,201.75,245.02747823198007
2700,187.58,246.0,202.84,246.5933317740248
2850,188.43,247.56,203.93,248.15918531606948
3000,189.31,249.12,205.02,249.7250388581142
3150,190.2,250.4,206.1,251.0005379463917
3300,191.1,251.67,207.17,252.2760370346692
3450,192.02,252.95,208.23,253.55153612294663
3600,192.96,254.22,209.29,254.8270352112241
3750,193.91,255.49,210.36,256.10253429950166
3900,194.86,256.77,211.42,257.3780333877791
4050,195.83,257.98,212.49,258.593544238374
4200,196.81,259.08,213.54,259.6890786136038
4350,197.79,260.17,214.58,260.7846129888335
4500,198.78,261.27,215.62,261.8801473640632
4650,199.77,262.36,216.66,262.9756817392929
4800,200.77,263.46,217.7,264.07121611452266
4950,201.78,264.55,218.74,265.1667504897524
5100,202.79,265.57,219.78,266.17900978856903
5250,203.8,266.54,220.8,267.14963154917905
5400,204.81,267.51,221.82,268.12025330978906
5550,205.83,268.48,222.84,269.0908750703991
5700,206.84,269.46,223.85,270.0614968310091
5850,207.84,270.44,224.84,271.0321185916192
6000,208.82,271.41,225.8,272.0027403522292
6150,209.79,272.29,226.76,272.8804595813852
6300,210.77,273.17,227.71,273.75817881054115
6450,211.74,274.05,228.66,274.6358980396972
6600,212.71,274.93,229.61,275.5136172688531
6750,213.68,275.81,230.55,276.39133649800914
6900,214.65,276.69,231.5,277.2690557271651
7050,215.61,277.55,232.44,278.1314247369436
7200,216.58,278.39,233.38,278.9630933079671
7350,217.54,258.24,232.2,258.218442659873
7500,218.51,251.88,231.48,251.87801008877432
7650,219.46,246.7,230.84,246.65366693354397
7800,220.39,242.9,230.25,242.87240821078228
7950,221.25,239.85,229.76,239.81269170425497
8100,222.05,236.82,229.28,236.7529751977277
8250,222.76,233.78,228.78,233.69325869120036
8400,223.39,230.75,228.25,230.63354218467305
8550,223.94,228.75,227.78,228.6444933320126
8700,224.4,226.77,227.33,226.65544447935216
8850,224.8,224.79,226.89,224.66639562669172
9000,225.12,222.82,226.43,222.67734677403132
9150,225.38,220.85,225.96,220.6882979213709
9300,225.59,218.87,225.47,218.6992490687105
9450,225.74,217.05,224.97,216.87528763789192
9600,225.85,215.57,224.49,215.38150105075704
9750,225.91,214.08,224.02,213.88771446362216
9900,225.94,212.6,223.54,212.39392787648728
10050,225.92,211.12,223.05,210.9001412893524
10200,225.87,209.63,222.54,209.4063547022175
10350,225.79,208.15,222.03,207.91256811508265
10500,225.67,206.83,221.51,206.59247754637957
10650,225.53,205.61,221.0,205.3592349868924
10800,225.36,204.38,220.48,204.1259924274052
10950,225.17,203.15,219.96,202.892749867918
11100,224.95,201.93,219.43,201.65950730843085
11250,224.71,200.7,218.88,200.42626474894365
11400,224.45,199.48,218.33,199.19302218945649
11550,224.17,198.41,217.78,198.12587903320085
11700,223.87,197.35,217.23,197.0587358769452
11850,223.55,196.29,216.68,195.9915927206896
12000,223.22,195.23,216.12,194.92444956443396
12150,222.87,194.16,215.55,193.85730640817832
12300,222.5,193.1,214.97,192.79016325192268
12450,222.12,192.07,214.39,191.75373797528272
12600,221.73,191.1,213.81,190.77874845787412
12750,221.33,190.13,213.23,189.8037589404656
12900,220.91,189.16,212.64,188.828769423057
13050,220.48,188.23,212.05,187.90384959124552
13200,220.04,187.31,211.46,186.978929759434
13350,219.59,186.39,210.86,186.05400992762253
13500,219.13,185.5,210.26,185.15825606312464
13650,218.66,184.62,209.66,184.2770851822836
13800,218.18,183.74,209.06,183.3959143014425
13950,217.69,182.87,208.46,182.52702318840332
14100,217.2,182.03,207.85,181.682691610968
14250,216.69,181.19,207.24,180.8383600335327
14400,216.18,180.35,206.63,180.0
