Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,318.0,318.0,318.0,318.0
150,318.0,335.76,319.71,336.2552925703228
300,318.0,341.37,321.03,341.83487323288966
450,318.0,345.95,322.25,346.4322952094924
600,318.02,349.41,323.4,349.87956536257826
750,318.07,352.28,324.47,352.7517596039058
900,318.16,355.14,325.53,355.6239538452333
1050,318.3,357.75,326.57,358.23494445141074
1200,318.5,359.84,327.56,360.3235277872881
1350,318.75,361.92,328.53,362.4121111231656
1500,319.06,364.01,329.48,364.50069445904296
1650,319.41,365.68,330.39,366.1602514533493
1800,319.81,367.33,331.29,367.8198084476557
1950,320.26,368.99,332.19,369.479365441962
2100,320.73,370.64,333.09,371.13892243626833
2250,321.24,372.13,333.98,372.6229354365429
2400,321.78,373.49,334.86,373.989919107463
2550,322.35,374.85,335.73,375.356902778383
2700,322.94,376.22,336.6,376.7238864493031
2850,323.55,377.58,337.47,378.0908701202231
3000,324.18,378.79,338.34,379.3035557120059
3150,324.83,379.97,339.2,380.4776667840045
3300,325.49,381.14,340.05,381.651777856003
3450,326.17,382.31,340.91,382.8258889280015
3600,326.86,383.48,341.77,384.0
3750,327.57,384.52,342.62,385.0402391578229
3900,328.28,385.56,343.46,386.0804783156457
4050,329.01,386.6,344.31,387.1207174734685
4200,329.74,387.64,345.15,388.16095663129136
4350,330.49,388.66,346.0,389.18128260459656
4500,331.24,389.6,346.84,390.1219558398312
4650,332.0,390.54,347.67,391.0626290750658
4800,332.76,391.48,348.5,392.00330231030034
4950,333.53,392.42,349.34,392.94397554553495
5100,334.3,393.33,350.17,393.8536084996524
5250,335.08,394.2,351.0,394.7166810320942
5400,335.87,395.06,351.82,395.579753564536
5550,336.65,395.92,352.64,396.4428260969777
5700,337.44,396.79,353.47,397.30589862941946
5850,338.24,397.61,354.29,398.1314306940797
6000,339.03,398.41,355.1,398.9319357802189
6150,339.83,399.22,355.91,399.73244086635816
6300,340.63,400.02,356.72,400.5329459524974
6450,341.43,400.82,357.53,401.3334510386366
6600,342.24,401.58,358.34,402.0925470650556
6750,343.04,402.33,359.14,402.8412908265444
6900,343.85,403.08,359.94,403.5900345880333
7050,344.65,403.83,360.74,404.33877834952216
7200,345.46,404.58,361.54,405.087522111011
7350,346.26,405.28,362.33,405.7925703209463
7500,347.07,405.99,363.12,406.4976185308815
7650,347.87,406.7,363.9,407.2026667408167
7800,348.68,407.4,364.68,407.907714950752
7950,349.49,408.1,365.47,408.6052646362816
8100,350.26,408.79,366.21,409.2728202241894
8250,351.03,409.45,366.95,409.9403758120972
8400,351.8,410.12,367.69,410.6079314000049
8550,352.57,410.79,368.42,411.2754869879126
8700,353.33,411.45,369.16,411.9300005751054
8850,354.1,412.08,369.89,412.56495116122585
9000,354.86,412.72,370.62,413.1999017473463
9150,355.62,413.36,371.35,413.8348523334666
9300,356.38,413.99,372.08,414.4698029195871
9450,357.14,414.61,372.8,415.0875482675696
9600,357.9,415.22,373.52,415.6938234567936
9750,358.65,415.83,374.24,416.3000986460176
9900,359.41,416.43,374.96,416.9063738352416
10050,360.16,417.04,375.67,417.5126490244656
10200,360.91,417.63,376.38,418.0985546983276
10350,361.66,418.21,377.09,418.6793679933492
10500,362.41,418.79,377.8,419.2601812883707
10650,363.15,419.38,378.5,419.8409945833922
10800,363.9,419.96,379.2,420.42180787841374
10950,364.64,420.52,379.9,420.9798256175199
11100,365.38,421.08,380.59,421.53784335662607
11250,366.11,421.64,381.28,422.0958610957322
11400,366.85,422.2,381.97,422.6538788348384
11550,367.58,422.75,382.66,423.207785522225
11700,368.32,423.29,383.34,423.745248002734
11850,369.04,423.83,384.02,424.28271048324297
12000,369.77,424.37,384.7,424.8201729637519
12150,370.5,424.91,385.38,425.3576354442608
12300,371.22,425.44,386.05,425.8876370578725
12450,371.94,425.96,386.72,426.4064473711382
12600,372.66,426.48,387.38,426.925257684404
12750,373.37,427.0,388.05,427.44406799766966
12900,374.09,427.52,388.71,427.96287831093537
13050,374.8,428.03,389.37,428.4714767277685
13200,375.51,428.54,390.02,428.9732672136466
13350,376.21,429.04,390.68,429.4750576995246
13500,376.92,429.54,391.33,429.9768481854027
13650,377.62,430.05,391.97,430.4786386712808
13800,378.32,430.54,392.62,430.9679430328951
13950,379.01,431.03,393.26,431.4541258634434
14100,379.71,431.51,393.9,431.9403086939917
14250,380.4,432.0,394.53,432.42649152454
14400,381.09,432.49,395.17,432.9126743550884
