Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
150,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
300,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
450,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
600,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
750,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
900,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
1050,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
1200,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
1350,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
1350,246.0753342790922,246.0753342790922,246.0753342790922,246.0753342790922
1500,246.08,253.95,246.76,254.26966109166568
1650,246.08,256.89,247.51,257.07503815359144
1800,246.08,260.38,248.11,260.7928163686786
1950,246.09,271.11,249.59,271.72434664073626
2100,246.12,276.61,251.03,277.15923451997253
2250,246.17,280.97,252.39,281.5110769435537
2400,246.27,285.92,253.76,286.57167154438923
2550,246.42,293.4,255.44,294.1328159553886
2700,246.64,300.73,257.28,301.5471406886551
2850,246.92,310.42,259.43,311.42102140626434
3000,247.28,319.51,261.88,320.502313924531
3150,247.71,324.56,264.05,325.5388740597696
3300,248.23,324.8,265.74,325.6098881047075
3450,248.84,333.02,267.76,334.1850365261752
3600,249.55,342.58,270.35,343.6650873119707
3750,250.35,345.41,272.45,346.45080844989207
3900,251.23,350.41,274.6,351.5181198026884
4050,252.2,356.94,276.9,358.15168803063625
4200,253.24,363.49,279.38,364.7196313265891
4350,254.37,368.35,281.77,369.5900678834002
4500,255.57,374.65,284.28,375.96130044852544
4650,256.84,382.47,286.95,383.8655532595689
4800,258.17,390.26,289.76,391.6890636565782
4950,259.57,396.36,292.53,397.8180689796007
5100,261.04,396.57,294.84,397.8303058650444
5250,262.58,395.92,296.82,397.0886895470374
5400,264.19,394.34,298.53,395.4035022390693
5550,265.86,391.6,299.96,392.5850261546297
5700,267.59,394.34,301.65,395.4721145156505
5850,269.36,396.24,303.44,397.3474739404933
6000,271.16,396.66,305.13,397.68979981890266
6150,272.97,395.01,306.55,395.9777875406233
6300,274.79,395.78,308.03,396.7964864000325
6450,276.6,395.79,309.49,396.7615781433008
6600,278.41,395.02,310.84,395.9386072376816
6750,280.21,393.52,312.05,394.3931181504277
6900,281.99,394.36,313.36,395.2890867382517
7050,283.76,393.65,314.61,394.50658866333777
7200,285.5,393.36,315.78,394.26327361024056
7350,287.22,395.83,317.2,396.776791263515
7500,288.92,392.96,318.3,393.7235926554248
7650,290.59,391.98,319.31,392.78405943486257
7800,292.23,392.19,320.42,392.99194496553525
7950,293.84,392.58,321.57,393.38100261114994
8100,295.43,389.52,322.44,390.17882440979497
8250,296.99,392.59,323.56,393.4940961308199
8400,298.52,396.49,325.14,397.32016570895047
8550,300.02,394.9,326.28,395.6503810789121
8700,301.47,387.32,326.76,387.7802027909733
8850,302.84,382.64,327.01,383.1153702209253
9000,304.19,377.19,327.2,377.44968960071577
9150,305.52,366.51,326.69,366.5769671622924
9300,306.83,362.56,326.35,362.7408781214447
9450,308.09,357.08,325.99,357.15631051230696
9600,309.31,351.02,325.43,351.0474328071715
9750,310.46,345.66,324.84,345.63841347833085
9900,311.53,339.48,324.11,339.3788912645388
10050,312.53,332.17,323.18,331.9479786793128
10200,313.44,325.18,322.07,324.93765447591505
10350,314.27,320.21,321.06,319.93989740760736
10500,315.01,313.85,319.93,313.48765582308823
10650,315.66,308.34,318.75,307.9628282683196
10800,316.21,303.16,317.57,302.73819376581275
10950,316.67,297.66,316.29,297.1865313380789
11100,317.03,291.51,314.88,290.9605427809413
11250,317.31,283.44,313.24,282.7456204756256
11400,317.49,275.69,311.38,274.99320031258213
11550,317.58,270.86,309.7,270.15471818226086
11700,317.57,262.82,307.79,261.9675039801421
11850,317.48,256.04,305.78,255.17238221489785
12000,317.29,250.46,303.76,249.5763242237182
12150,317.0,245.88,301.85,244.9863013437933
12300,316.62,247.95,300.53,247.29552079837543
12450,316.14,246.51,299.3,245.76296439453108
12600,315.56,244.7,297.94,244.0311905357495
12750,314.9,246.33,296.97,245.7427576255201
12900,314.17,245.48,295.97,244.84731280297316
13050,313.37,246.43,295.09,245.8917717365432
13200,312.53,246.74,294.33,246.1315020606956
13350,311.65,243.5,293.23,242.82187140989552
13500,310.75,245.03,292.4,244.5043040487213
13650,309.83,246.09,291.71,245.5850844852772
13800,308.91,246.87,291.06,246.3790956406088
13950,307.97,247.67,290.45,247.2012204357617
14100,307.04,248.32,289.87,247.8666229521964
14250,306.11,247.16,289.17,246.63014302867936
14400,305.19,244.95,288.28,244.38310154444437
14550,304.28,242.61,287.3,242.0168193787248
14700,303.38,243.62,286.54,243.1407520887914
14850,302.5,243.7,285.85,243.19611642942016
15000,301.62,244.95,285.2,244.58285601202104
15150,300.75,249.95,285.05,249.70091444800408
15300,299.89,245.79,284.35,245.2518257898007
15450,299.03,245.54,283.6,245.1324749022371
15600,298.19,246.46,283.11,246.02590592026183
15750,297.36,245.08,282.43,244.61516297882343
