Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,350.0,350.0,350.0,350.0
150,350.0,350.0,350.0,350.0
300,350.0,350.0,350.0,350.0
450,350.0,350.0,350.0,350.0
600,350.0,350.0,350.0,350.0
750,350.0,350.0,350.0,350.0
900,350.0,350.0,350.0,350.0
1050,350.0,350.0,350.0,350.0
1200,350.0,350.0,350.0,350.0
1350,350.0,350.0,350.0,350.0
1350,350.0,350.0,350.0,350.0
1500,350.0,356.0,351.03,356.1722222222222
1650,350.0,358.97,351.76,359.17555555555555
1800,350.0,361.94,352.54,362.1788888888889
1950,350.01,364.05,353.25,364.27
2100,350.02,365.68,353.87,365.905
2250,350.05,367.3,354.49,367.54
2400,350.1,368.81,355.1,369.049
2550,350.17,370.07,355.67,370.306
2700,350.27,371.32,356.23,371.563
2850,350.39,372.57,356.8,372.82
3000,350.53,373.63,357.34,373.879
3150,350.7,374.68,357.88,374.938
3300,350.9,375.74,358.42,375.997
3450,351.11,376.68,358.95,376.943
3600,351.34,377.57,359.46,377.8325
3750,351.59,378.46,359.98,378.722
3900,351.85,379.34,360.49,379.6115
4050,352.13,380.23,361.01,380.501
4200,352.43,381.11,361.53,381.3905
4350,352.73,382.0,362.06,382.28
4500,353.05,382.75,362.57,383.0285
4650,353.38,383.49,363.07,383.777
4800,353.72,384.24,363.58,384.5255
4950,354.07,384.99,364.08,385.274
5100,354.43,385.73,364.59,386.0225
5250,354.8,386.48,365.1,386.771
5400,355.18,387.2,365.61,387.49
5550,355.56,387.86,366.11,388.15
5700,355.95,388.52,366.61,388.81
5850,356.34,389.17,367.11,389.47
6000,356.74,389.83,367.61,390.13
6150,357.15,390.49,368.11,390.79
6300,357.56,391.15,368.62,391.45
6450,357.98,391.77,369.12,392.067
6600,358.4,392.36,369.61,392.6625
6750,358.83,392.96,370.11,393.258
6900,359.26,393.55,370.6,393.8535
7050,359.69,394.15,371.1,394.449
7200,360.13,394.74,371.6,395.0445
7350,360.57,395.34,372.09,395.64
7500,361.01,395.89,372.56,396.189
7650,361.44,396.44,373.04,396.738
7800,361.89,396.99,373.51,397.287
7950,362.33,397.54,373.99,397.836
8100,362.77,398.08,374.47,398.385
8250,363.22,398.63,374.95,398.934
8400,363.67,399.17,375.43,399.475
8550,364.12,399.7,375.91,400.0
8700,364.57,397.74,376.0,397.945
8850,365.02,395.93,375.98,396.106
9000,365.47,394.22,375.93,394.375
9150,365.92,392.52,375.83,392.644
9300,366.37,390.81,375.69,390.913
9450,366.82,389.1,375.51,389.182
9600,367.25,387.38,375.31,387.451
9750,367.67,385.67,375.07,385.72
9900,368.08,383.95,374.8,383.9785
10050,368.46,382.23,374.51,382.237
10200,368.82,380.5,374.19,380.4955
10350,369.16,378.78,373.85,378.754
10500,369.48,377.05,373.49,377.0125000000001
10650,369.77,375.33,373.11,375.271
10800,370.04,373.74,372.72,373.676
10950,370.28,372.44,372.38,372.374
11100,370.5,371.15,372.02,371.072
11250,370.68,369.86,371.67,369.77
11400,370.85,368.57,371.3,368.468
11550,370.98,367.27,370.92,367.166
11700,371.1,365.98,370.53,365.864
11850,371.19,364.87,370.15,364.755
12000,371.26,363.87,369.8,363.7425
12150,371.3,362.86,369.43,362.73
12300,371.33,361.85,369.07,361.7175
12450,371.33,360.85,368.7,360.705
12600,371.32,359.84,368.32,359.6925
12750,371.28,358.84,367.93,358.68
12900,371.23,358.11,367.58,357.957
13050,371.17,357.39,367.24,357.234
13200,371.08,356.67,366.9,356.511
13350,370.99,355.95,366.55,355.788
13500,370.88,355.23,366.21,355.065
13650,370.75,354.51,365.86,354.342
13800,370.62,353.86,365.51,353.69100000000003
13950,370.47,353.35,365.19,353.184
14100,370.31,352.85,364.88,352.677
14250,370.14,352.34,364.56,352.17
14400,369.97,351.98,364.27,351.81
14550,369.78,351.62,363.98,351.45000000000005
14700,369.59,351.26,363.7,351.09000000000003
14850,369.39,350.99,363.43,350.824
15000,369.18,350.77,363.18,350.605
15150,368.97,350.55,362.93,350.386
15300,368.75,350.37,362.69,350.21333333333337
15450,368.53,350.28,362.48,350.1333333333333
15600,368.3,350.2,362.26,350.05333333333334
15750,368.07,350.14,362.06,350.0
