Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,295.0,295.0,295.0,295.0
150,295.0,295.0,295.0,295.0
300,295.0,295.0,295.0,295.0
450,295.0,295.0,295.0,295.0
600,295.0,295.0,295.0,295.0
750,295.0,295.0,295.0,295.0
900,295.0,295.0,295.0,295.0
1050,295.0,295.0,295.0,295.0
1200,295.0,295.0,295.0,295.0
1350,295.0,295.0,295.0,295.0
1350,295.0,295.0,295.0,295.0
1500,295.0,333.96,298.88,334.97571448022563
1650,295.0,342.89,301.45,343.7697881282339
1800,295.01,349.86,303.66,350.74873029573746
1950,295.05,354.93,305.7,355.7597887628968
2100,295.16,358.96,307.54,359.78690537988405
2250,295.37,362.98,309.32,363.8140219968713
2400,295.69,366.6,311.05,367.42358104058064
2550,296.11,369.38,312.67,370.1980249377343
2700,296.64,372.16,314.25,372.9724688348881
2850,297.25,374.93,315.8,375.7469127320418
3000,297.96,377.06,317.29,377.86836575808456
3150,298.74,379.19,318.74,379.9898187841273
3300,299.58,381.3,320.17,382.1112718101701
3450,300.48,383.42,321.6,384.23272483621287
3600,301.42,385.32,322.95,386.09627866847313
3750,302.4,387.01,324.26,387.7878997048784
3900,303.42,388.7,325.57,389.4795207412837
4050,304.46,390.39,326.87,391.1711417776889
4200,305.52,392.08,328.17,392.8627628140941
4350,306.61,393.55,329.46,394.3342391844793
4500,307.71,394.97,330.73,395.7506793883595
4650,308.83,396.39,332.0,397.16711959223966
4800,309.96,397.8,333.26,398.5835597961199
4950,311.1,399.22,334.52,400.0
5100,312.26,400.45,335.76,401.2298118096088
5250,313.42,401.69,337.0,402.4596236192176
5400,314.59,402.92,338.23,403.6894354288263
5550,315.77,404.15,339.45,404.9192472384351
5700,316.96,405.35,340.67,406.1218123300378
5850,318.14,406.45,341.88,407.2153905496164
6000,319.34,407.55,343.08,408.30896876919496
6150,320.54,408.64,344.28,409.4025469887735
6300,321.73,409.74,345.47,410.49612520835205
6450,322.94,410.79,346.65,411.54789276765456
6600,324.14,411.78,347.83,412.5369443365431
6750,325.34,412.78,349.0,413.5259959054316
6900,326.54,413.77,350.16,414.5150474743201
7050,327.75,414.76,351.32,415.5040990432087
7200,328.95,415.7,352.47,416.443263758812
7350,330.15,416.61,353.61,417.3491705722252
7500,331.35,417.52,354.74,418.2550773856384
7650,332.55,418.43,355.87,419.16098419905154
7800,333.74,419.34,357.0,420.0668910124647
7950,334.93,420.19,358.12,420.91842087949215
8100,336.12,421.04,359.22,421.7563565099232
8250,337.31,421.88,360.33,422.5942921403542
8400,338.49,422.72,361.42,423.4322277707852
8550,339.67,423.56,362.52,424.2701634012162
8700,340.85,424.34,363.6,425.05132574703737
8850,342.02,425.13,364.68,425.83248809285845
9000,343.19,425.91,365.75,426.61365043867954
9150,344.31,426.72,366.79,427.3948127845007
9300,345.4,427.49,367.81,428.1663253797664
9450,346.5,428.23,368.82,428.89923897281074
9600,347.58,428.97,369.82,429.6321525658551
9750,348.67,429.7,370.82,430.3650661588994
9900,349.75,430.44,371.81,431.0979797519437
10050,350.83,431.16,372.79,431.81425596457103
10200,351.9,431.85,373.77,432.5055761065728
10350,352.97,432.55,374.74,433.19689624857455
10500,354.03,433.24,375.71,433.8882163905764
10650,355.09,433.94,376.67,434.5795365325781
10800,356.15,434.61,377.63,435.24908413353165
10950,357.2,435.27,378.58,435.9041167071197
11100,358.24,435.93,379.53,436.5591492807077
11250,359.29,436.58,380.47,437.2141818542958
11400,360.32,437.24,381.4,437.86921442788383
11550,361.36,437.88,382.33,438.4986612660296
11700,362.38,438.5,383.25,439.1217116703149
11850,363.41,439.13,384.17,439.7447620746001
12000,364.43,439.75,385.08,440.3678124788853
12150,365.44,440.38,385.99,440.9908628831705
12300,366.45,440.98,386.89,441.5854777924324
12450,367.45,441.58,387.79,442.1800927016943
12600,368.45,442.18,388.68,442.7747076109563
12750,369.44,442.77,389.57,443.3693225202182
12900,370.43,443.37,390.45,443.9588423347376
13050,371.41,443.94,391.32,444.5279817702872
13200,372.39,444.51,392.19,445.09712120583686
13350,373.37,445.08,393.06,445.6662606413864
13500,374.33,445.66,393.92,446.235400076936
13650,375.3,446.22,394.77,446.7953488089838
13800,376.25,446.77,395.62,447.3415114857789
13950,377.21,447.32,396.46,447.88767416257406
14100,378.15,447.87,397.3,448.4338368393692
14250,379.09,448.42,398.14,448.9799995161644
14400,380.03,448.96,398.97,449.5136544867592
14550,380.96,449.48,399.79,450.0389709865539
14700,381.89,450.01,400.61,450.5642874863486
14850,382.81,450.54,401.42,451.0896039861433
15000,383.73,451.07,402.23,451.614920485938
15150,384.64,451.58,403.04,452.1250264021794
15300,385.54,452.09,403.83,452.6313296725325
15450,386.44,452.6,404.63,453.1376329428856
15600,387.34,453.11,405.42,453.6439362132387
15750,388.23,453.62,406.2,454.1502394835918
